---config@码表分类=主码-3
---config@允许编辑=否
---config@码表别名=系统英文
a	a#序10000
ard	ard#序10000
are	are#序10000
arf	arf#序10000
ark	ark#序10000
arm	arm#序10000
art	art#序10000
aru	aru#序10000
asa	asa#序10000
asc	asc#序10000
ase	ase#序10000
ash	ash#序10000
asi	asi#序10000
ask	ask#序10000
asl	asl#序10000
aso	aso#序10000
asp	asp#序10000
ass	ass#序10000
ast	ast#序10000
asu	asu#序10000
ata	ata#序10000
atd	atd#序10000
ate	ate#序10000
atm	atm#序10000
ato	ato#序10000
att	att#序10000
auc	auc#序10000
aug	aug#序10000
auk	auk#序10000
aus	aus#序10000
aut	aut#序10000
ave	ave#序10000
avg	avg#序10000
avi	avi#序10000
avn	avn#序10000
avo	avo#序10000
avp	avp#序10000
avt	avt#序10000
awe	awe#序10000
awl	awl#序10000
awn	awn#序10000
aws	aws#序10000
axe	axe#序10000
ayc	ayc#序10000
ayd	ayd#序10000
aye	aye#序10000
ayh	ayh#序10000
aym	aym#序10000
azc	azc#序10000
azo	azo#序10000
azt	azt#序10000
baa	baa#序10000
bab	bab#序10000
bac	bac#序10000
bad	bad#序10000
bae	bae#序10000
bag	bag#序10000
bah	bah#序10000
bak	bak#序10000
bam	bam#序10000
ban	ban#序10000
bar	bar#序10000
bas	bas#序10000
bat	bat#序10000
bay	bay#序10000
bba	bba#序10000
bbb	bbb#序10000
bbc	bbc#序10000
bbe	bbe#序10000
bbl	bbl#序10000
bbs	bbs#序10000
bcc	bcc#序10000
bds	bds#序10000
bea	bea#序10000
bec	bec#序10000
bed	bed#序10000
bef	bef#序10000
beg	beg#序10000
bel	bel#序10000
ben	ben#序10000
ber	ber#序10000
bes	bes#序10000
bet	bet#序10000
bev	bev#序10000
bey	bey#序10000
bez	bez#序10000
bfa	bfa#序10000
bfc	bfc#序10000
bfr	bfr#序10000
bft	bft#序10000
bgc	bgc#序10000
bgp	bgp#序10000
bha	bha#序10000
bhc	bhc#序10000
bhl	bhl#序10000
bhn	bhn#序10000
bht	bht#序10000
bia	bia#序10000
bib	bib#序10000
bid	bid#序10000
bie	bie#序10000
big	big#序10000
bil	bil#序10000
bim	bim#序10000
bin	bin#序10000
bio	bio#序10000
bir	bir#序10000
bis	bis#序10000
bit	bit#序10000
biz	biz#序10000
bks	bks#序10000
bla	bla#序10000
blc	blc#序10000
ble	ble#序10000
blm	blm#序10000
blt	blt#序10000
bly	bly#序10000
bma	bma#序10000
bmc	bmc#序10000
bmd	bmd#序10000
bmj	bmj#序10000
bmr	bmr#序10000
bms	bms#序10000
bmv	bmv#序10000
bmw	bmw#序10000
bmx	bmx#序10000
bnd	bnd#序10000
boa	boa#序10000
bob	bob#序10000
bof	bof#序10000
bog	bog#序10000
boh	boh#序10000
bok	bok#序10000
bon	bon#序10000
boo	boo#序10000
bop	bop#序10000
bot	bot#序10000
bow	bow#序10000
box	box#序10000
boy	boy#序10000
boz	boz#序10000
bpa	bpa#序10000
bpc	bpc#序10000
bpd	bpd#序10000
bpi	bpi#序10000
bps	bps#序10000
bra	bra#序10000
brd	brd#序10000
bre	bre#序10000
bri	bri#序10000
brs	brs#序10000
bsb	bsb#序10000
bsd	bsd#序10000
bsn	bsn#序10000
bso	bso#序10000
bss	bss#序10000
bta	bta#序10000
btm	btm#序10000
bto	bto#序10000
btu	btu#序10000
btw	btw#序10000
bub	bub#序10000
bud	bud#序10000
bug	bug#序10000
bum	bum#序10000
bun	bun#序10000
bup	bup#序10000
bur	bur#序10000
bus	bus#序10000
but	but#序10000
buy	buy#序10000
bva	bva#序10000
bvi	bvi#序10000
bvm	bvm#序10000
bwr	bwr#序10000
bye	bye#序10000
byo	byo#序10000
byr	byr#序10000
cab	cab#序10000
cac	cac#序10000
cad	cad#序10000
cai	cai#序10000
cam	cam#序10000
can	can#序10000
cao	cao#序10000
cap	cap#序10000
car	car#序10000
cav	cav#序10000
cay	cay#序10000
cbc	cbc#序10000
cbd	cbd#序10000
cbu	cbu#序10000
cbx	cbx#序10000
cca	cca#序10000
ccc	ccc#序10000
ccd	ccd#序10000
ccm	ccm#序10000
ccp	ccp#序10000
ccs	ccs#序10000
ccu	ccu#序10000
ccw	ccw#序10000
cdd	cdd#序10000
cdi	cdi#序10000
cdp	cdp#序10000
cdt	cdt#序10000
ced	ced#序10000
cem	cem#序10000
ceo	ceo#序10000
cep	cep#序10000
ceq	ceq#序10000
cer	cer#序10000
ces	ces#序10000
cfc	cfc#序10000
cfs	cfs#序10000
cga	cga#序10000
cge	cge#序10000
cgh	cgh#序10000
cgi	cgi#序10000
cgm	cgm#序10000
cgs	cgs#序10000
cgt	cgt#序10000
cha	cha#序10000
chd	chd#序10000
chi	chi#序10000
chu	chu#序10000
cia	cia#序10000
cid	cid#序10000
cig	cig#序10000
cio	cio#序10000
cip	cip#序10000
ciq	ciq#序10000
cis	cis#序10000
cit	cit#序10000
ckd	ckd#序10000
cla	cla#序10000
clc	clc#序10000
clu	clu#序10000
clv	clv#序10000
clx	clx#序10000
cma	cma#序10000
cmb	cmb#序10000
cmd	cmd#序10000
cmh	cmh#序10000
cms	cms#序10000
cmy	cmy#序10000
cnd	cnd#序10000
cnn	cnn#序10000
cno	cno#序10000
cns	cns#序10000
cob	cob#序10000
cod	cod#序10000
cog	cog#序10000
coi	coi#序10000
col	col#序10000
con	con#序10000
coo	coo#序10000
cop	cop#序10000
coq	coq#序10000
cor	cor#序10000
cos	cos#序10000
cot	cot#序10000
cou	cou#序10000
cow	cow#序10000
cox	cox#序10000
coy	coy#序10000
coz	coz#序10000
cpa	cpa#序10000
cpc	cpc#序10000
cpe	cpe#序10000
cpi	cpi#序10000
cpo	cpo#序10000
cpt	cpt#序10000
cpu	cpu#序10000
cqd	cqd#序10000
cqt	cqt#序10000
crm	crm#序10000
crt	crt#序10000
cry	cry#序10000
csa	csa#序10000
csb	csb#序10000
csf	csf#序10000
css	css#序10000
cst	cst#序10000
ctd	ctd#序10000
ctn	ctn#序10000
ctt	ctt#序10000
cub	cub#序10000
cud	cud#序10000
cue	cue#序10000
cum	cum#序10000
cup	cup#序10000
cur	cur#序10000
cut	cut#序10000
cvi	cvi#序10000
cvo	cvo#序10000
cyc	cyc#序10000
cyo	cyo#序10000
cyp	cyp#序10000
daa	daa#序10000
dab	dab#序10000
dac	dac#序10000
dad	dad#序10000
dae	dae#序10000
daf	daf#序10000
dag	dag#序10000
dah	dah#序10000
dak	dak#序10000
dam	dam#序10000
dao	dao#序10000
dap	dap#序10000
dar	dar#序10000
das	das#序10000
dat	dat#序10000
dav	dav#序10000
day	day#序10000
dba	dba#序10000
dbe	dbe#序10000
dbh	dbh#序10000
dcc	dcc#序10000
dcm	dcm#序10000
dcs	dcs#序10000
dct	dct#序10000
ddd	ddd#序10000
dde	dde#序10000
ddk	ddk#序10000
ddn	ddn#序10000
ddr	ddr#序10000
deb	deb#序10000
dec	dec#序10000
dee	dee#序10000
dek	dek#序10000
den	den#序10000
dep	dep#序10000
des	des#序10000
det	det#序10000
dew	dew#序10000
dex	dex#序10000
dey	dey#序10000
dfa	dfa#序10000
dft	dft#序10000
dhl	dhl#序10000
dhu	dhu#序10000
dia	dia#序10000
dib	dib#序10000
dic	dic#序10000
did	did#序10000
die	die#序10000
dig	dig#序10000
dim	dim#序10000
din	din#序10000
dis	dis#序10000
dit	dit#序10000
diu	diu#序10000
diy	diy#序10000
dlc	dlc#序10000
dll	dll#序10000
dlp	dlp#序10000
dls	dls#序10000
dma	dma#序10000
dmd	dmd#序10000
dme	dme#序10000
dml	dml#序10000
dmn	dmn#序10000
dmp	dmp#序10000
dmt	dmt#序10000
dmz	dmz#序10000
dna	dna#序10000
dnb	dnb#序10000
dnf	dnf#序10000
dnp	dnp#序10000
dns	dns#序10000
doa	doa#序10000
dob	dob#序10000
doe	doe#序10000
dog	dog#序10000
dol	dol#序10000
don	don#序10000
dop	dop#序10000
dor	dor#序10000
dos	dos#序10000
dot	dot#序10000
dou	dou#序10000
doz	doz#序10000
dpe	dpe#序10000
dpg	dpg#序10000
dpi	dpi#序10000
dpl	dpl#序10000
dpm	dpm#序10000
dpn	dpn#序10000
dps	dps#序10000
dpt	dpt#序10000
dry	dry#序10000
dsc	dsc#序10000
dsl	dsl#序10000
dsn	dsn#序10000
dsp	dsp#序10000
dst	dst#序10000
dtp	dtp#序10000
dts	dts#序10000
dtv	dtv#序10000
dub	dub#序10000
dud	dud#序10000
due	due#序10000
dug	dug#序10000
duh	duh#序10000
dui	dui#序10000
dun	dun#序10000
duo	duo#序10000
dup	dup#序10000
dux	dux#序10000
dvb	dvb#序10000
dvd	dvd#序10000
dvi	dvi#序10000
dvm	dvm#序10000
dwc	dwc#序10000
dye	dye#序10000
dyn	dyn#序10000
eai	eai#序10000
eam	eam#序10000
eap	eap#序10000
ear	ear#序10000
eat	eat#序10000
eau	eau#序10000
ebb	ebb#序10000
ebn	ebn#序10000
ebu	ebu#序10000
eca	eca#序10000
ecc	ecc#序10000
ece	ece#序10000
ecp	ecp#序10000
ecr	ecr#序10000
eda	eda#序10000
edb	edb#序10000
edc	edc#序10000
edd	edd#序10000
edh	edh#序10000
edi	edi#序10000
edo	edo#序10000
eds	eds#序10000
edt	edt#序10000
eec	eec#序10000
eek	eek#序10000
eel	eel#序10000
eeo	eeo#序10000
eer	eer#序10000
eez	eez#序10000
eff	eff#序10000
efs	efs#序10000
eft	eft#序10000
ega	ega#序10000
egg	egg#序10000
ego	ego#序10000
egp	egp#序10000
ehf	ehf#序10000
eht	eht#序10000
ehv	ehv#序10000
eia	eia#序10000
eib	eib#序10000
eke	eke#序10000
elb	elb#序10000
eld	eld#序10000
elf	elf#序10000
elk	elk#序10000
ell	ell#序10000
elm	elm#序10000
elt	elt#序10000
ely	ely#序10000
emi	emi#序10000
emp	emp#序10000
emr	emr#序10000
ems	ems#序10000
emt	emt#序10000
end	end#序10000
eng	eng#序10000
ens	ens#序10000
ent	ent#序10000
eom	eom#序10000
eon	eon#序10000
eos	eos#序10000
epa	epa#序10000
epb	epb#序10000
epp	epp#序10000
ept	ept#序10000
epu	epu#序10000
era	era#序10000
ere	ere#序10000
erf	erf#序10000
erg	erg#序10000
erk	erk#序10000
ern	ern#序10000
erp	erp#序10000
err	err#序10000
esa	esa#序10000
esb	esb#序10000
esc	esc#序10000
esl	esl#序10000
esp	esp#序10000
esr	esr#序10000
ess	ess#序10000
est	est#序10000
esu	esu#序10000
esv	esv#序10000
eta	eta#序10000
etc	etc#序10000
etd	etd#序10000
eth	eth#序10000
eto	eto#序10000
etr	etr#序10000
etu	etu#序10000
eva	eva#序10000
eve	eve#序10000
exe	exe#序10000
exp	exp#序10000
eye	eye#序10000
faa	faa#序10000
fab	fab#序10000
fac	fac#序10000
fad	fad#序10000
fag	fag#序10000
fan	fan#序10000
fao	fao#序10000
faq	faq#序10000
far	far#序10000
fat	fat#序10000
fax	fax#序10000
fay	fay#序10000
fbi	fbi#序10000
fcc	fcc#序10000
fco	fco#序10000
fda	fda#序10000
fdr	fdr#序10000
fdt	fdt#序10000
fea	fea#序10000
feb	feb#序10000
fed	fed#序10000
fee	fee#序10000
feh	feh#序10000
fen	fen#序10000
feu	feu#序10000
few	few#序10000
fey	fey#序10000
fez	fez#序10000
fib	fib#序10000
fid	fid#序10000
fie	fie#序10000
fig	fig#序10000
fil	fil#序10000
fim	fim#序10000
fin	fin#序10000
fio	fio#序10000
fip	fip#序10000
fis	fis#序10000
fit	fit#序10000
fix	fix#序10000
fiz	fiz#序10000
fjp	fjp#序10000
flo	flo#序10000
flq	flq#序10000
fls	fls#序10000
fly	fly#序10000
fmc	fmc#序10000
fmi	fmi#序10000
fmn	fmn#序10000
foa	foa#序10000
fob	fob#序10000
foe	foe#序10000
fog	fog#序10000
foh	foh#序10000
foi	foi#序10000
fop	fop#序10000
for	for#序10000
fos	fos#序10000
fot	fot#序10000
fou	fou#序10000
fox	fox#序10000
foy	foy#序10000
fpe	fpe#序10000
fpm	fpm#序10000
fra	fra#序10000
frb	frb#序10000
frg	frg#序10000
fro	fro#序10000
fry	fry#序10000
fsb	fsb#序10000
fsf	fsf#序10000
fsm	fsm#序10000
fsn	fsn#序10000
fso	fso#序10000
fsp	fsp#序10000
fst	fst#序10000
ftc	ftc#序10000
fth	fth#序10000
fti	fti#序10000
ftp	ftp#序10000
fub	fub#序10000
fug	fug#序10000
fun	fun#序10000
fur	fur#序10000
fut	fut#序10000
fyi	fyi#序10000
fyn	fyn#序10000
fzs	fzs#序10000
gab	gab#序10000
gad	gad#序10000
gag	gag#序10000
gah	gah#序10000
gal	gal#序10000
gam	gam#序10000
gan	gan#序10000
gao	gao#序10000
gap	gap#序10000
gar	gar#序10000
gat	gat#序10000
gaw	gaw#序10000
gax	gax#序10000
gay	gay#序10000
gbe	gbe#序10000
gbf	gbf#序10000
gbh	gbh#序10000
gbs	gbs#序10000
gca	gca#序10000
gcb	gcb#序10000
gcc	gcc#序10000
gcf	gcf#序10000
gch	gch#序10000
gcl	gcl#序10000
gcm	gcm#序10000
gct	gct#序10000
gdi	gdi#序10000
gdr	gdr#序10000
gec	gec#序10000
ged	ged#序10000
gee	gee#序10000
gel	gel#序10000
gem	gem#序10000
gen	gen#序10000
geo	geo#序10000
ger	ger#序10000
get	get#序10000
gev	gev#序10000
gey	gey#序10000
gfr	gfr#序10000
gha	gha#序10000
ghi	ghi#序10000
ghz	ghz#序10000
gib	gib#序10000
gid	gid#序10000
gig	gig#序10000
gin	gin#序10000
gio	gio#序10000
gip	gip#序10000
gis	gis#序10000
gks	gks#序10000
glm	glm#序10000
gls	gls#序10000
gms	gms#序10000
gmt	gmt#序10000
gni	gni#序10000
gnn	gnn#序10000
gnp	gnp#序10000
gnu	gnu#序10000
goa	goa#序10000
gob	gob#序10000
god	god#序10000
gom	gom#序10000
goo	goo#序10000
gop	gop#序10000
got	got#序10000
gox	gox#序10000
goy	goy#序10000
gpd	gpd#序10000
gpf	gpf#序10000
gph	gph#序10000
gpi	gpi#序10000
gpl	gpl#序10000
gpm	gpm#序10000
gpt	gpt#序10000
gre	gre#序10000
gru	gru#序10000
gsc	gsc#序10000
gsm	gsm#序10000
gso	gso#序10000
gsp	gsp#序10000
gst	gst#序10000
gsv	gsv#序10000
gtc	gtc#序10000
gui	gui#序10000
gul	gul#序10000
gum	gum#序10000
gun	gun#序10000
gur	gur#序10000
gus	gus#序10000
gut	gut#序10000
guy	guy#序10000
gym	gym#序10000
gyp	gyp#序10000
hac	hac#序10000
had	had#序10000
hae	hae#序10000
hag	hag#序10000
hah	hah#序10000
haj	haj#序10000
hal	hal#序10000
ham	ham#序10000
hap	hap#序10000
has	has#序10000
hat	hat#序10000
haw	haw#序10000
hcg	hcg#序10000
hcj	hcj#序10000
hcl	hcl#序10000
hcs	hcs#序10000
hdd	hdd#序10000
hdf	hdf#序10000
hdl	hdl#序10000
hel	hel#序10000
hem	hem#序10000
hen	hen#序10000
hep	hep#序10000
her	her#序10000
hex	hex#序10000
hey	hey#序10000
hfs	hfs#序10000
hgh	hgh#序10000
hgv	hgv#序10000
hhd	hhd#序10000
hhs	hhs#序10000
hia	hia#序10000
hic	hic#序10000
hid	hid#序10000
hif	hif#序10000
hih	hih#序10000
hii	hii#序10000
him	him#序10000
hin	hin#序10000
hip	hip#序10000
his	his#序10000
hit	hit#序10000
hjs	hjs#序10000
hlf	hlf#序10000
hls	hls#序10000
hma	hma#序10000
hmd	hmd#序10000
hmf	hmf#序10000
hmv	hmv#序10000
hns	hns#序10000
hob	hob#序10000
hod	hod#序10000
hoe	hoe#序10000
hog	hog#序10000
hol	hol#序10000
hoo	hoo#序10000
hop	hop#序10000
hot	hot#序10000
how	how#序10000
hoy	hoy#序10000
hpv	hpv#序10000
hrs	hrs#序10000
hsf	hsf#序10000
hsh	hsh#序10000
hsv	hsv#序10000
htr	htr#序10000
hua	hua#序10000
hub	hub#序10000
hud	hud#序10000
hue	hue#序10000
huh	huh#序10000
hum	hum#序10000
hun	hun#序10000
hup	hup#序10000
hut	hut#序10000
hyp	hyp#序10000
iaa	iaa#序10000
iab	iab#序10000
iad	iad#序10000
iaf	iaf#序10000
ial	ial#序10000
iam	iam#序10000
iaz	iaz#序10000
iba	iba#序10000
ibm	ibm#序10000
ibo	ibo#序10000
ibs	ibs#序10000
iby	iby#序10000
ica	ica#序10000
icc	icc#序10000
ice	ice#序10000
icf	icf#序10000
ici	ici#序10000
icj	icj#序10000
icp	icp#序10000
icr	icr#序10000
icu	icu#序10000
icw	icw#序10000
icy	icy#序10000
ida	ida#序10000
idc	idc#序10000
idd	idd#序10000
ide	ide#序10000
idg	idg#序10000
ido	ido#序10000
iea	iea#序10000
iec	iec#序10000
iee	iee#序10000
ier	ier#序10000
ifc	ifc#序10000
ifo	ifo#序10000
ifr	ifr#序10000
igg	igg#序10000
igo	igo#序10000
igy	igy#序10000
ihp	ihp#序10000
ihs	ihs#序10000
iht	iht#序10000
iii	iii#序10000
iil	iil#序10000
iis	iis#序10000
ike	ike#序10000
ila	ila#序10000
ile	ile#序10000
ilk	ilk#序10000
ill	ill#序10000
ilo	ilo#序10000
ilp	ilp#序10000
imf	imf#序10000
imm	imm#序10000
imo	imo#序10000
imp	imp#序10000
imu	imu#序10000
ina	ina#序10000
inc	inc#序10000
ind	ind#序10000
inh	inh#序10000
ini	ini#序10000
inn	inn#序10000
inp	inp#序10000
ins	ins#序10000
ioc	ioc#序10000
ioe	ioe#序10000
iou	iou#序10000
ipa	ipa#序10000
ipc	ipc#序10000
ipm	ipm#序10000
ips	ips#序10000
ipx	ipx#序10000
ipy	ipy#序10000
ira	ira#序10000
irc	irc#序10000
irk	irk#序10000
irl	irl#序10000
irq	irq#序10000
irs	irs#序10000
irv	irv#序10000
isa	isa#序10000
isc	isc#序10000
isd	isd#序10000
ise	ise#序10000
isf	isf#序10000
ism	ism#序10000
isn	isn#序10000
iso	iso#序10000
isp	isp#序10000
ist	ist#序10000
isv	isv#序10000
ita	ita#序10000
itn	itn#序10000
ito	ito#序10000
itr	itr#序10000
its	its#序10000
itt	itt#序10000
itu	itu#序10000
ius	ius#序10000
ivb	ivb#序10000
ivr	ivr#序10000
ivy	ivy#序10000
iww	iww#序10000
jaa	jaa#序10000
jab	jab#序10000
jag	jag#序10000
jah	jah#序10000
jai	jai#序10000
jal	jal#序10000
jam	jam#序10000
jan	jan#序10000
jap	jap#序10000
jar	jar#序10000
jat	jat#序10000
jaw	jaw#序10000
jay	jay#序10000
jbs	jbs#序10000
jcb	jcb#序10000
jcc	jcc#序10000
jcl	jcl#序10000
jcr	jcr#序10000
jcs	jcs#序10000
jct	jct#序10000
jdk	jdk#序10000
jed	jed#序10000
jee	jee#序10000
jet	jet#序10000
jeu	jeu#序10000
jew	jew#序10000
jib	jib#序10000
jig	jig#序10000
jim	jim#序10000
jin	jin#序10000
jis	jis#序10000
jmb	jmb#序10000
jnd	jnd#序10000
job	job#序10000
jog	jog#序10000
jol	jol#序10000
jor	jor#序10000
jot	jot#序10000
jow	jow#序10000
joy	joy#序10000
jps	jps#序10000
jrc	jrc#序10000
jsd	jsd#序10000
jsp	jsp#序10000
jst	jst#序10000
jud	jud#序10000
jug	jug#序10000
jul	jul#序10000
jun	jun#序10000
jus	jus#序10000
jut	jut#序10000
jvc	jvc#序10000
jwb	jwb#序10000
jwv	jwv#序10000
kab	kab#序10000
kaf	kaf#序10000
kan	kan#序10000
kat	kat#序10000
kay	kay#序10000
kbe	kbe#序10000
kbl	kbl#序10000
kbp	kbp#序10000
kcb	kcb#序10000
kdc	kdc#序10000
kea	kea#序10000
ked	ked#序10000
kef	kef#序10000
ken	ken#序10000
kep	kep#序10000
kev	kev#序10000
key	key#序10000
kgb	kgb#序10000
kgr	kgr#序10000
khi	khi#序10000
khz	khz#序10000
kia	kia#序10000
kid	kid#序10000
kif	kif#序10000
kil	kil#序10000
kin	kin#序10000
kip	kip#序10000
kit	kit#序10000
kjv	kjv#序10000
kkk	kkk#序10000
klm	klm#序10000
kmt	kmt#序10000
knp	knp#序10000
koa	koa#序10000
kob	kob#序10000
kop	kop#序10000
kor	kor#序10000
kos	kos#序10000
kpc	kpc#序10000
kru	kru#序10000
kts	kts#序10000
kue	kue#序10000
kum	kum#序10000
kwa	kwa#序10000
kwh	kwh#序10000
kyd	kyd#序10000
laa	laa#序10000
lab	lab#序10000
lad	lad#序10000
lae	lae#序10000
laf	laf#序10000
lag	lag#序10000
lah	lah#序10000
lai	lai#序10000
lak	lak#序10000
lam	lam#序10000
lao	lao#序10000
lap	lap#序10000
lar	lar#序10000
lat	lat#序10000
lav	lav#序10000
lax	lax#序10000
lay	lay#序10000
