一万	yiwjaaap#序20000
万福	wjfuappt#序20000
万端	wjdraple#序20000
万米	wjmiapdm#序20000
万能	wjngapsb#序20000
万贯	wjgrapvr#序20000
万里	wjliapla#序20000
万金	wjjbapra#序20000
万难	wjnjapyf#序20000
丈人	vhrfanpn#序20000
丈量	vhllandl#序20000
三七	sjqiaeav#序20000
三万	sjwjaeap#序20000
三个	sjgeaerl#序20000
三九	sjjqaepv#序20000
三亚	sjyaaeay#序20000
三人	sjrfaepn#序20000
三代	sjddaery#序20000
三八	sjbaaepn#序20000
三分	sjffaebd#序20000
三匹	sjpiaeke#序20000
三十	sjuiaeal#序20000
三千	sjqmaepu#序20000
三周	sjvzaekk#序20000
三围	sjwwaekw#序20000
三国	sjgoaeky#序20000
三天	sjtmaead#序20000
三套	sjtcaeds#序20000
三岁	sjsvaeex#序20000
三峡	sjxxaeej#序20000
三张	sjvhaegi#序20000
三思	sjsiaetx#序20000
三排	sjpdaeff#序20000
三星	sjxkaeou#序20000
三更	sjggaean#序20000
三月	sjytaeka#序20000
三本	sjbfaeaa#序20000
三枚	sjmwaemw#序20000
三次	sjciaedr#序20000
三流	sjlqaedv#序20000
三点	sjdmaelh#序20000
三瓶	sjpkaebw#序20000
三百	sjbdaeab#序20000
三盆	sjpfaebm#序20000
三盒	sjheaerm#序20000
三盘	sjpjaevm#序20000
三种	sjvsaehv#序20000
三篇	sjpmaevc#序20000
三级	sjjiaesj#序20000
三角	sjjnaedy#序20000
三辆	sjllaeil#序20000
三通	sjtsaezy#序20000
三遍	sjbmaezc#序20000
三门	sjmfaedv#序20000
三陪	sjpwaeek#序20000
上上	uhuhlala#序20000
上下	uhxxlaab#序20000
上个	uhgelarl#序20000
上了	uhlelavl#序20000
上交	uhjnlawx#序20000
上传	uhirlarv#序20000
上体	uhtilarb#序20000
上冲	uhisladv#序20000
上前	uhqmlabd#序20000
上升	uhuglapc#序20000
上午	uhwulapg#序20000
上古	uhgulauk#序20000
上句	uhjulabk#序20000
上台	uhtdlask#序20000
上司	uhsilavk#序20000
上吊	uhdnlakj#序20000
上周	uhvzlakk#序20000
上回	uhhvlakk#序20000
上图	uhtulakd#序20000
上坟	uhfflatw#序20000
上坡	uhpolaty#序20000
上天	uhtmlaad#序20000
上头	uhtzladd#序20000
上学	uhxtlaxz#序20000
上官	uhgrlabk#序20000
上宾	uhbblabb#序20000
上将	uhjlladc#序20000
上层	uhcglaus#序20000
上屏	uhpklauk#序20000
上山	uhujlalk#序20000
上岗	uhghlaex#序20000
上岸	uhanlaeg#序20000
上市	uhuilawj#序20000
上帝	uhdilawj#序20000
上年	uhnmlapl#序20000
上床	uhillagm#序20000
上座	uhzolagt#序20000
上当	uhdhlaxe#序20000
上手	uhuzlapl#序20000
上扬	uhyhlafp#序20000
上报	uhbclafy#序20000
上排	uhpdlaff#序20000
上操	uhcclafm#序20000
上攻	uhgslagw#序20000
上文	uhwflawx#序20000
上方	uhfhladw#序20000
上旬	uhxylabo#序20000
上映	uhyklaoy#序20000
上月	uhytlaka#序20000
上期	uhqilaqo#序20000
上来	uhldlaan#序20000
上校	uhxnlamx#序20000
上桌	uhvolalm#序20000
上楼	uhlzlamn#序20000
上榜	uhbhlamf#序20000
上次	uhciladr#序20000
上流	uhlqladv#序20000
上浮	uhfuladz#序20000
上海	uhhdladm#序20000
上涨	uhvhladi#序20000
上游	uhyzladz#序20000
上演	uhyjladb#序20000
上火	uhholadr#序20000
上班	uhbjlaww#序20000
上瘾	uhyblabx#序20000
上百	uhbdlaab#序20000
上税	uhuvlahe#序20000
上空	uhkslabg#序20000
上端	uhdrlale#序20000
上等	uhdglavc#序20000
上策	uhcelavn#序20000
上算	uhsrlavc#序20000
上篇	uhpmlavc#序20000
上级	uhjilasj#序20000
上线	uhxmlasj#序20000
上网	uhwhlakx#序20000
上翘	uhqnlaax#序20000
上联	uhlmlaet#序20000
上肢	uhvilaoy#序20000
上膛	uhthlaot#序20000
上色	uhseladb#序20000
上苍	uhchlacv#序20000
上药	uhyclacu#序20000
上菜	uhcdlacm#序20000
上行	uhxklaii#序20000
上街	uhjplaii#序20000
上衣	uhyilawy#序20000
上装	uhvllady#序20000
上证	uhvglayv#序20000
上诉	uhsulayi#序20000
上课	uhkelayg#序20000
上调	uhtnlayk#序20000
上路	uhlulazk#序20000
上身	uhuflapp#序20000
上车	uhielaal#序20000
上边	uhbmlazl#序20000
上进	uhjblazj#序20000
上述	uhuulazu#序20000
上部	uhbulale#序20000
上钩	uhgzlajs#序20000
上锁	uhsolajr#序20000
上门	uhmfladv#序20000
上阵	uhvflaei#序20000
上面	uhmmlaaa#序20000
上颌	uhhelarr#序20000
上颚	uheelakr#序20000
上饶	uhrclauw#序20000
上马	uhmalava#序20000
下个	xxgeabrl#序20000
下乘	xxigabqn#序20000
下乡	xxxlabvp#序20000
下了	xxleabvl#序20000
下令	xxlkabrs#序20000
下体	xxtiabrb#序20000
下作	xxzoabrv#序20000
下凡	xxfjabjd#序20000
下列	xxlpabdd#序20000
下午	xxwuabpg#序20000
下单	xxdjabbl#序20000
下厨	xxiuabic#序20000
下发	xxfaabvd#序20000
下句	xxjuabbk#序20000
下台	xxtdabsk#序20000
下同	xxtsabkk#序20000
下周	xxvzabkk#序20000
下回	xxhvabkk#序20000
下图	xxtuabkd#序20000
下场	xxihabtp#序20000
下坠	xxvvabet#序20000
下坡	xxpoabty#序20000
下垂	xxivabpa#序20000
下头	xxtzabdd#序20000
下套	xxtcabds#序20000
下定	xxdkabbr#序20000
下家	xxjxabbu#序20000
下层	xxcgabus#序20000
下届	xxjpabuy#序20000
下属	xxuuabuy#序20000
下山	xxujablk#序20000
下岗	xxghabex#序20000
下巴	xxbaabsl#序20000
下床	xxilabgm#序20000
下手	xxuzabpl#序20000
下拉	xxlaabfl#序20000
下排	xxpdabff#序20000
下探	xxtjabfm#序20000
下文	xxwfabwx#序20000
下方	xxfhabdw#序20000
下旬	xxxyabbo#序20000
下月	xxytabka#序20000
下来	xxldaban#序20000
下标	xxbnabmx#序20000
下框	xxklabmw#序20000
下棋	xxqiabmb#序20000
下楼	xxlzabmn#序20000
下榻	xxtaabmx#序20000
下次	xxciabdr#序20000
下水	xxuvabln#序20000
下沉	xxifabdj#序20000
下注	xxvuabdv#序20000
下流	xxlqabdv#序20000
下浮	xxfuabdz#序20000
下海	xxhdabdm#序20000
下游	xxyzabdz#序20000
下潜	xxqmabdo#序20000
下班	xxbjabww#序20000
下盘	xxpjabvm#序20000
下端	xxdrable#序20000
下笔	xxbiabvm#序20000
下等	xxdgabvc#序20000
下策	xxceabvn#序20000
下线	xxxmabsj#序20000
下联	xxlmabet#序20000
下肚	xxduabot#序20000
下肢	xxviaboy#序20000
下脚	xxjnaboe#序20000
下落	xxloabck#序20000
下葬	xxzhabcc#序20000
下行	xxxkabii#序20000
下设	xxueabyy#序20000
下课	xxkeabyg#序20000
下调	xxtnabyk#序20000
下贱	xxjmabkj#序20000
下跌	xxdpabzu#序20000
下跪	xxgvabzv#序20000
下身	xxufabpp#序20000
下车	xxieabal#序20000
下载	xxzdabui#序20000
下边	xxbmabzl#序20000
下达	xxdaabzd#序20000
下部	xxbuable#序20000
下酒	xxjqabdy#序20000
下铺	xxpuabjf#序20000
下降	xxjlabel#序20000
下雨	xxyuabad#序20000
下雪	xxxtabye#序20000
下面	xxmmabaa#序20000
下页	xxyeabar#序20000
下颌	xxheabrr#序20000
下颚	xxeeabkr#序20000
下风	xxfgabjx#序20000
下马	xxmaabva#序20000
不久	bujqadpn#序20000
不买	bumdadvd#序20000
不予	buyuadsl#序20000
不二	bueradaa#序20000
不仅	bujbadry#序20000
不会	buhvadrs#序20000
不但	budjadrd#序20000
不信	buxbadrk#序20000
不做	buzoadrw#序20000
不停	butkadrd#序20000
不光	bugladxw#序20000
不免	bummaddv#序20000
不全	buqradrw#序20000
不公	bugsadbs#序20000
不冷	bulgadds#序20000
不准	buvyaddf#序20000
不凡	bufjadjd#序20000
不到	budcadad#序20000
不变	bubmadwy#序20000
不同	butsadkk#序20000
不含	buhjadrk#序20000
不和	buheadhk#序20000
不哭	bukuadkq#序20000
不图	butuadkd#序20000
不在	buzdadut#序20000
不坏	buhkadtb#序20000
不堪	bukjadtv#序20000
不备	bubwadwt#序20000
不外	buwdadxb#序20000
不多	budoadxx#序20000
不够	bugzadbx#序20000
不大	budaadun#序20000
不好	buhcadnz#序20000
不如	buruadnk#序20000
不妙	bumnadnu#序20000
不妥	butoadpn#序20000
不妨	bufhadnf#序20000
不学	buxtadxz#序20000
不安	buanadbn#序20000
不宜	buyiadbq#序20000
不容	bursadbk#序20000
不对	budvadyc#序20000
不小	buxnadld#序20000
不少	buucadxp#序20000
不屑	buxpaduo#序20000
不巧	buqnadgv#序20000
不差	buiaadyg#序20000
不平	bupkadau#序20000
不应	buykadga#序20000
不当	budhadxe#序20000
不很	buhfadig#序20000
不得	budeadic#序20000
不必	bubiaddd#序20000
不忍	burfadrx#序20000
不忘	buwhadwx#序20000
不忙	bumhadxw#序20000
不快	bukkadxg#序20000
不怕	bupaadxb#序20000
不急	bujiaddx#序20000
不怪	bugkadxt#序20000
不悦	buytadxe#序20000
不惜	buxiadxo#序20000
不想	buxladmx#序20000
不愁	buizadhx#序20000
不愧	bukvadxg#序20000
不愿	buyradix#序20000
不慌	buhladxv#序20000
不慎	buufadxb#序20000
不懂	budsadxv#序20000
不成	buigadwv#序20000
不提	butiadfr#序20000
不敌	budiadqw#序20000
不敢	bugjadvw#序20000
不料	bulnadmu#序20000
不断	budradmj#序20000
不无	buwuadav#序20000
不日	buriadka#序20000
不明	bumkadoo#序20000
不是	buuiador#序20000
不曾	bucgadbo#序20000
不朽	buxqadmv#序20000
不来	buldadan#序20000
不死	busiaddb#序20000
不求	buqqadad#序20000
不测	buceaddd#序20000
不满	bumjaddl#序20000
不灭	bumpadah#序20000
不灵	bulkadeh#序20000
不热	bureadfh#序20000
不然	burjadph#序20000
不爽	buuladdx#序20000
不玩	buwjadwe#序20000
不理	buliadwl#序20000
不用	buysadkl#序20000
不由	buyzadla#序20000
不留	bulqadpt#序20000
不疼	butgadbd#序20000
不符	bufuadvc#序20000
不笨	bubfadvb#序20000
不等	budgadvc#序20000
不算	busradvc#序20000
不管	bugradvk#序20000
不累	bulwadtx#序20000
不给	bugwadsk#序20000
不缺	buqtadfg#序20000
不肯	bukfadvo#序20000
不胜	buugadou#序20000
不能	bungadsb#序20000
不舍	buueadrk#序20000
不良	bulladdg#序20000
不菲	bufwadcf#序20000
不行	buxkadii#序20000
不要	buycadxn#序20000
不觉	bujtadxe#序20000
不解	bujpaddn#序20000
不让	burhadyu#序20000
不许	buxuadyw#序20000
不论	bulyadyb#序20000
不该	bugdadyr#序20000
不说	buuoadye#序20000
不败	bubdadkw#序20000
不贵	bugvadvr#序20000
不足	buzuadkr#序20000
不跟	bugfadzg#序20000
不辞	buciadqu#序20000
不过	bugoadzc#序20000
不还	buhradzb#序20000
不迟	buiiadzi#序20000
不送	bussadzt#序20000
不逊	buxyadzx#序20000
不都	budzadle#序20000
不配	bupwadyj#序20000
不错	bucoadjo#序20000
不问	buwfadmk#序20000
不限	buxmadeg#序20000
不难	bunjadyf#序20000
不雅	buyaadyf#序20000
不顺	buuyadir#序20000
不顾	buguadir#序20000
不饿	bueeaduw#序20000
不高	bugcadwk#序20000
与否	yufzaabk#序20000
丐帮	gdbhavfj#序20000
丑女	iznvvava#序20000
丑态	iztdvatx#序20000
丑恶	izeevayx#序20000
丑角	izjtvady#序20000
丑闻	izwfvame#序20000
丑陋	izlzvaev#序20000
专业	vryeadla#序20000
专人	vrrfadpn#序20000
专修	vrxqadrp#序20000
专刊	vrkjadgd#序20000
专列	vrlpaddd#序20000
专利	vrliadhd#序20000
专卖	vrmdadud#序20000
专员	vryradkr#序20000
专家	vrjxadbu#序20000
专属	vruuaduy#序20000
专干	vrgjadau#序20000
专座	vrzoadgt#序20000
专心	vrxbaddd#序20000
专拣	vrjmadfd#序20000
专擅	vrujadfd#序20000
专政	vrvgadvw#序20000
专断	vrdradmj#序20000
专有	vryzaduo#序20000
专杀	vruaadxm#序20000
专柜	vrgvadmj#序20000
专栏	vrljadms#序20000
专案	vranadbm#序20000
专横	vrhgadmb#序20000
专注	vrvuaddv#序20000
专版	vrbjadpy#序20000
专用	vrysadkl#序20000
专科	vrkeadhu#序20000
专程	vrigadhw#序20000
专管	vrgradvk#序20000
专线	vrxmadsj#序20000
专职	vrviadeb#序20000
专营	vrykadck#序20000
专设	vrueadyy#序20000
专访	vrfhadyf#序20000
专责	vrzeadfr#序20000
专车	vrieadal#序20000
专辑	vrjiadie#序20000
专递	vrdiadzp#序20000
专长	vrihadpn#序20000
专门	vrmfaddv#序20000
专题	vrtiador#序20000
且不	qpbulaad#序20000
且慢	qpmjlaxy#序20000
且有	qpyzlauo#序20000
且看	qpkjlauo#序20000
且说	qpuolaye#序20000
世仇	uiizavrj#序20000
世界	uijpavtl#序20000
世道	uidcavzz#序20000
丘陵	qqlkpaew#序20000
业主	yevuladw#序20000
业余	yeyularh#序20000
业内	yenwlald#序20000
业务	yewulawl#序20000
业已	yeyilavv#序20000
业界	yejplatl#序20000
业绩	yejilasr#序20000
业者	yevelalo#序20000
业障	yevhlaeu#序20000
丛林	cslbramm#序20000
丛生	csugrapf#序20000
东东	dsdsadad#序20000
东亚	dsyaaday#序20000
东京	dsjkadwx#序20000
东北	dsbwadlb#序20000
东升	dsugadpc#序20000
东南	dsnjadug#序20000
东坡	dspoadty#序20000
东家	dsjxadbu#序20000
东山	dsujadlk#序20000
东方	dsfhaddw#序20000
东欧	dsouadkr#序20000
东汉	dshjaddy#序20000
东海	dshdaddm#序20000
东瀛	dsykaddf#序20000
东盟	dsmgadom#序20000
东站	dsvjadlk#序20000
东莞	dsgradce#序20000
东西	dsxiadaa#序20000
东路	dsluadzk#序20000
东边	dsbmadzl#序20000
东部	dsbuadle#序20000
东郭	dsgoadwe#序20000
东门	dsmfaddv#序20000
东非	dsfwadla#序20000
东风	dsfgadjx#序20000
丝带	siddvafj#序20000
丝毫	sihcvawm#序20000
丝瓜	sigxvapn#序20000
丝绸	siizvask#序20000
丝袜	siwavapm#序20000
丢下	dqxxpsab#序20000
丢丑	dqizpsva#序20000
丢了	dqlepsvl#序20000
丢人	dqrfpspn#序20000
丢到	dqdcpsad#序20000
丢失	dquipspf#序20000
丢弃	dqqipswc#序20000
丢掉	dqdnpsfu#序20000
丢给	dqgwpssk#序20000
丢脸	dqlmpsoa#序20000
丢钱	dqqmpsjj#序20000
两万	llwjadap#序20000
两下	llxxadab#序20000
两个	llgeadrl#序20000
两人	llrfadpn#序20000
两代	llddadry#序20000
两位	llwwadrl#序20000
两侧	llceadrd#序20000
两倍	llbwadrk#序20000
两全	llqradrw#序20000
两匹	llpiadke#序20000
两千	llqmadpu#序20000
两口	llkzadla#序20000
两句	lljuadbk#序20000
两台	lltdadsk#序20000
两名	llmkadxk#序20000
两周	llvzadkk#序20000
两回	llhvadkk#序20000
两国	llgoadky#序20000
两地	lldiadty#序20000
两天	lltmadad#序20000
两头	lltzaddd#序20000
两套	lltcadds#序20000
两家	lljxadbu#序20000
两对	lldvadyc#序20000
两岁	llsvadex#序20000
两岸	llanadeg#序20000
两年	llnmadpl#序20000
两张	llvhadgi#序20000
两弹	lldjadgl#序20000
两手	lluzadpl#序20000
两把	llbaadfb#序20000
两排	llpdadff#序20000
两旁	llphadwf#序20000
两日	llriadka#序20000
两本	llbfadaa#序20000
两条	lltnadwm#序20000
两枚	llmwadmw#序20000
两样	llyhadmy#序20000
两根	llgfadmg#序20000
两次	llciaddr#序20000
两款	llkradur#序20000
两步	llbuadvp#序20000
两点	lldmadlh#序20000
两瓶	llpkadbw#序20000
两用	llysadkl#序20000
两百	llbdadab#序20000
两盆	llpfadbm#序20000
两盒	llheadrm#序20000
两盘	llpjadvm#序20000
两眼	llyjadog#序20000
两种	llvsadhv#序20000
两端	lldradle#序20000
两篇	llpmadvc#序20000
两米	llmiaddm#序20000
两类	lllwadmd#序20000
两翼	llyiadxb#序20000
两者	llveadlo#序20000
两脚	lljnadoe#序20000
两腿	lltvadoz#序20000
两臂	llbiaduo#序20000
两行	llhhadii#序20000
两辆	lllladil#序20000
两遍	llbmadzc#序20000
两道	lldcadzz#序20000
两门	llmfaddv#序20000
两难	llnjadyf#序20000
两面	llmmadaa#序20000
两颗	llkeadgr#序20000
严令	yjlkyprs#序20000
严办	yjbjypld#序20000
严密	yjmiypbe#序20000
严寒	yjhjypbd#序20000
严峻	yjjyypew#序20000
严惩	yjigypix#序20000
严控	yjksypfg#序20000
严明	yjmkypoo#序20000
严查	yjiaypmd#序20000
严格	yjgeypmk#序20000
严禁	yjjbypmx#序20000
严肃	yjsuypvd#序20000
严谨	yjjbypya#序20000
严酷	yjkuypyk#序20000
严重	yjvsyppa#序20000
严防	yjfhypef#序20000
丧偶	shouunry#序20000
丧命	shmkunre#序20000
丧失	shuiunpf#序20000
丧气	shqiunpv#序20000
丧生	shugunpf#序20000
丧礼	shliunpv#序20000
丧胆	shdjunod#序20000
丧葬	shzhuncc#序20000
丧钟	shvsunjv#序20000
个体	getirlrb#序20000
个别	gebprlkd#序20000
个头	getzrldd#序20000
个性	gexkrlxu#序20000
个把	gebarlfb#序20000
个数	geuurlmw#序20000
个案	geanrlbm#序20000
个税	geuvrlhe#序20000
个股	gegurloy#序20000
丫头	yatzbldd#序20000
丫环	yahrblwb#序20000
中东	vsdsllad#序20000
中亚	vsyallay#序20000
中介	vsjpllrl#序20000
中伤	vsuhllrl#序20000
中俄	vseellrw#序20000
中共	vsgsllcb#序20000
中医	vsyillku#序20000
中午	vswullpg#序20000
中华	vshxllru#序20000
中原	vsyrllix#序20000
中叶	vsyellku#序20000
中听	vstkllkj#序20000
中国	vsgollky#序20000
中场	vsihlltp#序20000
中堂	vsthllxt#序20000
中外	vswdllxb#序20000
中央	vsyhlllg#序20000
中奖	vsjllldd#序20000
中学	vsxtllxz#序20000
中尉	vswwlluc#序20000
中层	vscgllus#序20000
中山	vsujlllk#序20000
中年	vsnmllpl#序20000
中德	vsdellix#序20000
中性	vsxkllxu#序20000
中招	vsvcllfk#序20000
中指	vsvillfo#序20000
中排	vspdllff#序20000
中文	vswfllwx#序20000
中断	vsdrllmj#序20000
中方	vsfhlldw#序20000
中日	vsrillka#序20000
中旬	vsxyllbo#序20000
中期	vsqillqo#序20000
中枢	vsuullmx#序20000
中枪	vsqlllmv#序20000
中档	vsdhllme#序20000
中欧	vsoullkr#序20000
中毒	vsdullfm#序20000
中法	vsfallds#序20000
中波	vsbolldy#序20000
中盘	vspjllvm#序20000
中秋	vsqqllhh#序20000
中立	vslillwa#序20000
中等	vsdgllvc#序20000
中签	vsqmllva#序20000
中篇	vspmllvc#序20000
中级	vsjillsj#序20000
中线	vsxmllsj#序20000
中美	vsmwllyd#序20000
中考	vskclllv#序20000
中肯	vskfllvo#序20000
中英	vsykllcy#序20000
中行	vshhllii#序20000
中西	vsxillaa#序20000
中路	vslullzk#序20000
中转	vsvrlliv#序20000
中途	vstullzh#序20000
中邪	vsxpllye#序20000
中部	vsbullle#序20000
中锋	vsfglljf#序20000
中间	vsjmllmo#序20000
中队	vsdvller#序20000
中非	vsfwllla#序20000
中韩	vshjlluw#序20000
中音	vsyblllo#序20000
中餐	vscjllll#序20000
中饭	vsfjlluy#序20000
丰乳	fgrualpv#序20000
丰厚	fghzaliz#序20000
丰富	fgfualbt#序20000
丰收	fguzalvw#序20000
丰润	fgryaldw#序20000
丰满	fgmjaldl#序20000
丰田	fgtmalku#序20000
丰盈	fgykalnm#序20000
丰盛	fgugalim#序20000
丰硕	fguoalur#序20000
丰碑	fgbwaluu#序20000
丰美	fgmwalyd#序20000
丰胸	fgxsalok#序20000
丰足	fgzualkr#序20000
丰饶	fgrcaluw#序20000
串串	irirllll#序20000
串供	irgsllrb#序20000
串口	irkzllla#序20000
串烧	irucllhw#序20000
串联	irlmllet#序20000
串行	irhhllii#序20000
串门	irmflldv#序20000
临产	lbijlllp#序20000
临别	lbbpllkd#序20000
临到	lbdcllad#序20000
临头	lbtzlldd#序20000
临帖	lbtplljk#序20000
临床	lbilllgm#序20000
临战	lbvjlllg#序20000
临摹	lbmollcu#序20000
临时	lbuilloc#序20000
临死	lbsilldb#序20000
临潼	lbtslldl#序20000
临界	lbjplltl#序20000
临盆	lbpfllbm#序20000
临睡	lbuvlloi#序20000
临空	lbksllbg#序20000
临终	lbvsllsd#序20000
临考	lbkclllv#序20000
临行	lbxkllii#序20000
临走	lbzzlltr#序20000
临近	lbjbllzj#序20000
临门	lbmflldv#序20000
临阵	lbvfllei#序20000
丸子	wjzipdva#序20000
丹东	djdspaad#序20000
丹田	djtmpaku#序20000
丹砂	djuapauu#序20000
丹青	djqkpafo#序20000
丹麦	djmdpafw#序20000
为主	wwvudddw#序20000
为了	wwleddvl#序20000
为人	wwrfddpn#序20000
为何	wwheddrk#序20000
为佳	wwjxddrt#序20000
为兄	wwxsddke#序20000
为准	wwvydddf#序20000
为啥	wwuaddkk#序20000
为国	wwgoddky#序20000
为患	wwhrddix#序20000
为本	wwbfddaa#序20000
为此	wwciddvb#序20000
为民	wwmbddvv#序20000
为祸	wwhoddpn#序20000
为荣	wwrsddcm#序20000
为重	wwvsddpa#序20000
为难	wwnjddyf#序20000
为首	wwuzddbz#序20000
主仆	vupudwrb#序20000
主任	vurfdwrr#序20000
主修	vuxqdwrp#序20000
主公	vugsdwbs#序20000
主办	vubjdwld#序20000
主动	vudsdwel#序20000
主卧	vuwodwib#序20000
主场	vuihdwtp#序20000
主婚	vuhydwno#序20000
主宰	vuzddwbu#序20000
主导	vudcdwsc#序20000
主帅	vuukdwlj#序20000
主席	vuxidwgj#序20000
主干	vugjdwau#序20000
主张	vuvhdwgi#序20000
主意	vuyidwlx#序20000
主打	vudadwfd#序20000
主抓	vuvxdwfv#序20000
主持	vuiidwfc#序20000
主推	vutvdwff#序20000
主播	vubodwft#序20000
主机	vujidwmj#序20000
主权	vuqrdwmy#序20000
主次	vucidwdr#序20000
主流	vulqdwdv#序20000
主演	vuyjdwdb#序20000
主笔	vubidwvm#序20000
主管	vugrdwvk#序20000
主线	vuxmdwsj#序20000
主编	vubmdwsc#序20000
主考	vukcdwlv#序20000
主营	vuykdwck#序20000
主要	vuycdwxn#序20000
主观	vugrdwye#序20000
主角	vujtdwdy#序20000
主语	vuyudwyk#序20000
主谋	vumzdwym#序20000
主选	vuxrdwze#序20000
主页	vuyedwar#序20000
主顾	vugudwir#序20000
主频	vupbdwvr#序20000
主题	vutidwor#序20000
丽日	liriadka#序20000
丽江	lijladdg#序20000
乃至	ndvivpat#序20000
久仰	jqyhpnre#序20000
久别	jqbppnkd#序20000
久留	jqlqpnpt#序20000
久等	jqdgpnvc#序20000
久违	jqwwpnzw#序20000
义务	yiwudxwl#序20000
义女	yinvdxva#序20000
之一	viyidnaa#序20000
之上	viuhdnla#序20000
之下	vixxdnab#序20000
之中	vivsdnll#序20000
之光	vigldnxw#序20000
之内	vinwdnld#序20000
之列	vilpdndd#序20000
之前	viqmdnbd#序20000
之后	vihzdnpk#序20000
之外	viwddnxb#序20000
之多	vidodnxx#序20000
之年	vinmdnpl#序20000
之战	vivjdnlg#序20000
之日	viridnka#序20000
之歌	vigednar#序20000
之母	vimudnvd#序20000
之策	vicednvn#序20000
之类	vilwdnmd#序20000
之路	viludnzk#序20000
之选	vixrdnze#序20000
之门	vimfdndv#序20000
之间	vijmdnmo#序20000
乌云	wuyypaes#序20000
乌纱	wuuapasu#序20000
乌贼	wuzwpaku#序20000
乌鸦	wuyapayn#序20000
乌黑	wuhwpalh#序20000
乌龙	wulspaud#序20000
乌龟	wugvpadv#序20000
乍得	vadepaic#序20000
乍见	vajmpake#序20000
乏味	fawwpvkw#序20000
乐事	leuipdal#序20000
乐于	leyupdal#序20000
乐器	ytqipdkk#序20000
乐团	yttrpdkc#序20000
