---config@码表分类=主码-4
---config@允许编辑=是
---config@码表别名=低频简词
打开	dakd#序65000
付费	fufw#序65000
最有	zvyz#序65000
奥运	aoyy#序65000
全身	qruf#序65000
默默	momo#序65000
得不	debu#序65000
烟台	yjtd#序65000
召开	vckd#序65000
没带	mwdd#序65000
钱不	qmbu#序65000
携带	xpdd#序65000
七度	qidu#序65000
唉呀	aiya#序65000
他刚	tagh#序65000
儿也	erye#序65000
会更	hvgg#序65000
风速	fgsu#序65000
再帮	zdbh#序65000
查一	iayi#序65000
都买	dzmd#序65000
访问	fhwf#序65000
给予	jiyu#序65000
实惠	uihv#序65000
丽江	lijl#序65000
这才	vecd#序65000
调小	dnxn#序65000
讲到	jldc#序65000
是出	uiiu#序65000
介入	jpru#序65000
亮灯	lldg#序65000
是平	uipk#序65000
越好	ythc#序65000
省电	ugdm#序65000
市区	uiqu#序65000
是完	uiwj#序65000
编号	bmhc#序65000
山水	ujuv#序65000
设施	ueui#序65000
元素	yrsu#序65000
就怕	jqpa#序65000
依照	yivc#序65000
他买	tamd#序65000
它说	tauo#序65000
天生	tmug#序65000
三毛	sjmc#序65000
但不	djbu#序65000
想换	xlhr#序65000
基于	jiyu#序65000
早早	zczc#序65000
仅仅	jbjb#序65000
六级	lqji#序65000
喂喂	wwww#序65000
股市	guui#序65000
会用	hvys#序65000
有说	yzuo#序65000
一身	yiuf#序65000
气球	qiqq#序65000
蟋蟀	xiuk#序65000
医学	yixt#序65000
猪猪	vuvu#序65000
有八	yzba#序65000
无人	wurf#序65000
点八	dmba#序65000
他开	takd#序65000
慢点	mjdm#序65000
要回	ychv#序65000
我拍	wopd#序65000
要播	ycbo#序65000
搞定	gcdk#序65000
躲在	dozd#序65000
街上	jpuh#序65000
剧组	juzu#序65000
前就	qmjq#序65000
梦见	mgjm#序65000
请求	qkqq#序65000
微微	wwww#序65000
出自	iuzi#序65000
已有	yiyz#序65000
第五	diwu#序65000
心妍	xbyj#序65000
吃你	iini#序65000
危害	wwhd#序65000
歌唱	geih#序65000
首都	uzdu#序65000
安娜	anna#序65000
家属	jxuu#序65000
小南	xnnj#序65000
忧伤	yzuh#序65000
陌陌	momo#序65000
厨师	iuui#序65000
出席	iuxi#序65000
显然	xmrj#序65000
漓江	lijl#序65000
要改	ycgd#序65000
冒险	mcxm#序65000
差异	iayi#序65000
要先	ycxm#序65000
以一	yiyi#序65000
数语	uuyu#序65000
几家	jijx#序65000
树枝	uuvi#序65000
高峰	gcfg#序65000
战机	vjji#序65000
预订	yudk#序65000
脂肪	vifh#序65000
总有	zsyz#序65000
如意	ruyi#序65000
联赛	lmsd#序65000
就带	jqdd#序65000
英寸	ykcy#序65000
灯带	dgdd#序65000
一等	yidg#序65000
盐城	yjig#序65000
美美	mwmw#序65000
守护	uzhu#序65000
盛世	ugui#序65000
离线	lixm#序65000
没见	mwjm#序65000
刮风	gxfg#序65000
试图	uitu#序65000
拼音	pbyb#序65000
一带	yidd#序65000
毛钱	mcqm#序65000
吃屎	iiui#序65000
看不	kjbu#序65000
中最	vszv#序65000
降到	jldc#序65000
交完	jnwj#序65000
不找	buvc#序65000
协调	xptn#序65000
破解	pojp#序65000
金山	jbuj#序65000
哪条	natn#序65000
委托	wwto#序65000
指挥	vihv#序65000
没电	mwdm#序65000
绯闻	fwwf#序65000
节省	jpug#序65000
湘西	xlxi#序65000
七块	qikk#序65000
又把	yzba#序65000
家不	jxbu#序65000
纸质	vivi#序65000
在她	zdta#序65000
烟花	yjhx#序65000
不肯	bukf#序65000
七妹	qimw#序65000
战绩	vjji#序65000
告我	gcwo#序65000
只只	vivi#序65000
拉开	lakd#序65000
起到	qidc#序65000
和尚	heuh#序65000
盗墓	dcmu#序65000
犹豫	yzyu#序65000
成一	igyi#序65000
情书	qkuu#序65000
杀毒	uadu#序65000
戏剧	xiju#序65000
专注	vrvu#序65000
夜夜	yeye#序65000
倾城	qkig#序65000
练字	lmzi#序65000
较低	jndi#序65000
凭借	pkjp#序65000
试用	uiys#序65000
前边	qmbm#序65000
罗文	lowf#序65000
期望	qiwh#序65000
到咱	dczj#序65000
辅助	fuvu#序65000
妓女	jinv#序65000
素颜	suyj#序65000
找回	vchv#序65000
海淀	hddm#序65000
马年	manm#序65000
多是	doui#序65000
解放	jpfh#序65000
主流	vulq#序65000
大唐	dath#序65000
当下	dhxx#序65000
之上	viuh#序65000
地带	didd#序65000
搭档	dadh#序65000
至上	viuh#序65000
个样	geyh#序65000
牺牲	xiug#序65000
要分	ycff#序65000
几部	jibu#序65000
食府	uifu#序65000
个数	geuu#序65000
就完	jqwj#序65000
武威	wuww#序65000
路况	lukl#序65000
时时	uiui#序65000
除湿	iuui#序65000
陷入	xmru#序65000
效应	xnyk#序65000
绘画	hvhx#序65000
住着	vuve#序65000
和商	heuh#序65000
和好	hehc#序65000
西湖	xihu#序65000
过好	gohc#序65000
青山	qkuj#序65000
刷单	uxdj#序65000
弥补	mibu#序65000
他再	tazd#序65000
天啊	tmaa#序65000
有上	yzuh#序65000
是万	uiwj#序65000
封神	fguf#序65000
是晚	uiwj#序65000
打仗	davh#序65000
会唱	hvih#序65000
逝去	uiqu#序65000
里还	lihd#序65000
祈祷	qidc#序65000
这在	vezd#序65000
月月	ytyt#序65000
及格	jige#序65000
打得	dade#序65000
时不	uibu#序65000
医药	yiyc#序65000
摸摸	momo#序65000
一有	yiyz#序65000
一门	yimf#序65000
师兄	uixs#序65000
都开	dzkd#序65000
基层	jicg#序65000
亮相	llxl#序65000
商户	uhhu#序65000
娘娘	nlnl#序65000
还带	hddd#序65000
美眉	mwmw#序65000
去山	quuj#序65000
我读	wodu#序65000
合影	heyk#序65000
古城	guig#序65000
鸡西	jixi#序65000
孝顺	xnuy#序65000
申诉	ufsu#序65000
有买	yzmd#序65000
歌声	geug#序65000
威海	wwhd#序65000
欢喜	hrxi#序65000
视剧	uiju#序65000
襄阳	xlyh#序65000
对二	dver#序65000
她买	tamd#序65000
职工	vigs#序65000
回升	hvug#序65000
前景	qmjk#序65000
爱不	aibu#序65000
点吧	dmba#序65000
未能	wwng#序65000
个城	geig#序65000
影音	ykyb#序65000
样儿	yher#序65000
都变	dzbm#序65000
一同	yits#序65000
初期	iuqi#序65000
屋顶	wudk#序65000
申报	ufbc#序65000
检验	jmyj#序65000
太深	tduf#序65000
一整	yivg#序65000
会感	hvgj#序65000
一排	yipd#序65000
也让	yerh#序65000
绥化	svhx#序65000
活该	hogd#序65000
是初	uiiu#序65000
硬盘	ykpj#序65000
种地	vsdi#序65000
下方	xxfh#序65000
打败	dabd#序65000
会生	hvug#序65000
要帮	ycbh#序65000
艰难	jmnj#序65000
信贷	xbdd#序65000
日上	riuh#序65000
四中	sivs#序65000
签订	qmdk#序65000
时还	uihd#序65000
橙子	igzi#序65000
满一	mjyi#序65000
吃不	iibu#序65000
叫张	jnvh#序65000
时会	uihv#序65000
集群	jiqy#序65000
盗窃	dcqp#序65000
表姐	bnjp#序65000
天还	tmhd#序65000
休假	xqjx#序65000
球迷	qqmi#序65000
事不	uibu#序65000
路程	luig#序65000
大方	dafh#序65000
秩序	vixu#序65000
四处	siiu#序65000
毫无	hcwu#序65000
催眠	cvmm#序65000
处置	iuvi#序65000
延长	yjih#序65000
哑巴	yaba#序65000
衡阳	hgyh#序65000
美味	mwww#序65000
道具	dcju#序65000
十亿	uiyi#序65000
向下	xlxx#序65000
死啊	siaa#序65000
尿尿	nnnn#序65000
机遇	jiyu#序65000
是山	uiuj#序65000
铜牌	tspd#序65000
你笑	nixn#序65000
出名	iumk#序65000
是处	uiiu#序65000
以在	yizd#序65000
纠缠	jqij#序65000
供养	gsyh#序65000
他太	tatd#序65000
是具	uiju#序65000
淑女	uunv#序65000
移民	yimb#序65000
咱班	zjbj#序65000
车是	ieui#序65000
吃醋	iicu#序65000
替代	tidd#序65000
想家	xljx#序65000
既有	jiyz#序65000
几万	jiwj#序65000
抢救	qljq#序65000
记载	jizd#序65000
诚意	igyi#序65000
较为	jnww#序65000
持人	iirf#序65000
心就	xbjq#序65000
雨下	yuxx#序65000
黄海	hlhd#序65000
省市	ugui#序65000
她刚	tagh#序65000
好快	hckk#序65000
派人	pdrf#序65000
大白	dabd#序65000
华语	hxyu#序65000
侮辱	wuru#序65000
说谎	uohl#序65000
鸡腿	jitv#序65000
较长	jnvh#序65000
适用	uiys#序65000
四亿	siyi#序65000
多事	doui#序65000
约束	ytuu#序65000
乡下	xlxx#序65000
柏林	bolb#序65000
叫李	jnli#序65000
南口	njkz#序65000
江山	jluj#序65000
冰冰	bkbk#序65000
高低	gcdi#序65000
要重	ycvs#序65000
洗浴	xiyu#序65000
于我	yuwo#序65000
十以	uiyi#序65000
澎湃	pgpd#序65000
去对	qudv#序65000
先要	xmyc#序65000
语速	yusu#序65000
射雕	uedn#序65000
一出	yiiu#序65000
五人	wurf#序65000
费一	fwyi#序65000
诗句	uiju#序65000
鲨鱼	uayu#序65000
过上	gouh#序65000
去演	quyj#序65000
免得	mmde#序65000
巢湖	ichu#序65000
车费	iefw#序65000
新新	xbxb#序65000
鱿鱼	yzyu#序65000
在城	zdig#序65000
食用	uiys#序65000
城一	igyi#序65000
揭阳	jpyh#序65000
会干	hvgj#序65000
与我	yuwo#序65000
不进	bujb#序65000
有吧	yzba#序65000
深入	ufru#序65000
手淫	uzyb#序65000
并按	bkan#序65000
多时	doui#序65000
全班	qrbj#序65000
出事	iuui#序65000
初五	iuwu#序65000
一处	yiiu#序65000
记不	jibu#序65000
街南	jpnj#序65000
变身	bmuf#序65000
基站	jivj#序65000
初级	iuji#序65000
唯美	wwmw#序65000
一不	yibu#序65000
之不	vibu#序65000
各样	geyh#序65000
批准	pivy#序65000
复印	fuyb#序65000
夕阳	xiyh#序65000
祖父	zufu#序65000
接入	jpru#序65000
也带	yedd#序65000
延期	yjqi#序65000
竹子	vuzi#序65000
是错	uico#序65000
借点	jpdm#序65000
全不	qrbu#序65000
取一	quyi#序65000
困境	kyjk#序65000
成名	igmk#序65000
浮云	fuyy#序65000
鹤岗	hegh#序65000
我往	wowh#序65000
细菌	xijy#序65000
上吧	uhba#序65000
随手	svuz#序65000
已在	yizd#序65000
物美	wumw#序65000
时一	uiyi#序65000
会玩	hvwj#序65000
战队	vjdv#序65000
要拍	ycpd#序65000
链家	lmjx#序65000
储蓄	iuxu#序65000
都太	dztd#序65000
奇缘	qiyr#序65000
也为	yeww#序65000
顺义	uyyi#序65000
挂牌	gxpd#序65000
兴华	xkhx#序65000
为为	wwww#序65000
车啊	ieaa#序65000
出海	iuhd#序65000
寄给	jigw#序65000
教会	jnhv#序65000
无关	wugr#序65000
起那	qina#序65000
制服	vifu#序65000
提速	tisu#序65000
也更	yegg#序65000
子都	zidz#序65000
一轮	yily#序65000
毛线	mcxm#序65000
计息	jixi#序65000
五倍	wubw#序65000
以不	yibu#序65000
在它	zdta#序65000
特效	texn#序65000
真能	vfng#序65000
四上	siuh#序65000
照明	vcmk#序65000
近三	jbsj#序65000
日日	riri#序65000
也帮	yebh#序65000
去住	quvu#序65000
又上	yzuh#序65000
前去	qmqu#序65000
个省	geug#序65000
在帮	zdbh#序65000
鸟叔	nnuu#序65000
抑郁	yiyu#序65000
去也	quye#序65000
火腿	hotv#序65000
蹲在	dyzd#序65000
事宜	uiyi#序65000
线去	xmqu#序65000
抚顺	fuuy#序65000
失忆	uiyi#序65000
维维	wwww#序65000
只需	vixu#序65000
一袋	yidd#序65000
迷恋	milm#序65000
节点	jpdm#序65000
笨啊	bfaa#序65000
宜春	yiiy#序65000
已出	yiiu#序65000
话语	hxyu#序65000
下完	xxwj#序65000
我忘	wowh#序65000
有害	yzhd#序65000
结账	jpvh#序65000
出具	iuju#序65000
拿上	nauh#序65000
比您	binb#序65000
除去	iuqu#序65000
课上	keuh#序65000
心眼	xbyj#序65000
紧紧	jbjb#序65000
长度	ihdu#序65000
伤疤	uhba#序65000
遵守	zyuz#序65000
不禁	bujb#序65000
财报	cdbc#序65000
倒数	dcuu#序65000
生育	ugyu#序65000
事事	uiui#序65000
蒙面	mgmm#序65000
是方	uifh#序65000
戒烟	jpyj#序65000
会先	hvxm#序65000
临床	lbil#序65000
痛快	tskk#序65000
有商	yzuh#序65000
一审	yiuf#序65000
去日	quri#序65000
多彩	docd#序65000
说服	uofu#序65000
支队	vidv#序65000
冲刺	isci#序65000
一通	yits#序65000
仙桃	xmtc#序65000
无非	wufw#序65000
翻身	fjuf#序65000
整治	vgvi#序65000
跳水	tnuv#序65000
去修	quxq#序65000
向西	xlxi#序65000
你教	nijn#序65000
画上	hxuh#序65000
二胡	erhu#序65000
适宜	uiyi#序65000
来想	ldxl#序65000
真会	vfhv#序65000
纸上	viuh#序65000
欣欣	xbxb#序65000
寡妇	gxfu#序65000
红灯	hsdg#序65000
保住	bcvu#序65000
初始	iuui#序65000
冒着	mcve#序65000
多才	docd#序65000
积水	jiuv#序65000
自考	zikc#序65000
斯卡	sika#序65000
所属	souu#序65000
几下	jixx#序65000
安踏	anta#序65000
争执	vgvi#序65000
乐曲	ytqu#序65000
口渴	kzke#序65000
违约	wwyt#序65000
要素	ycsu#序65000
跳跃	tnyt#序65000
个更	gegg#序65000
睡睡	uvuv#序65000
她开	takd#序65000
那交	najn#序65000
善于	ujyu#序65000
多买	domd#序65000
我成	woig#序65000
忧郁	yzyu#序65000
岸边	anbm#序65000
用水	ysuv#序65000
寄回	jihv#序65000
点在	dmzd#序65000
唐代	thdd#序65000
量还	llhd#序65000
东海	dshd#序65000
挂掉	gxdn#序65000
划伤	hxuh#序65000
老娘	lcnl#序65000
几楼	jilz#序65000
到对	dcdv#序65000
机都	jidz#序65000
下山	xxuj#序65000
多米	domi#序65000
和政	hevg#序65000
孤舟	guvz#序65000
咱有	zjyz#序65000
爱谁	aiuw#序65000
出息	iuxi#序65000
是绿	uilv#序65000
议论	yily#序65000
一再	yizd#序65000
交谈	jntj#序65000
变好	bmhc#序65000
济源	jiyr#序65000
要小	ycxn#序65000
你跳	nitn#序65000
柱子	vuzi#序65000
远点	yrdm#序65000
点回	dmhv#序65000
六是	lqui#序65000
抱住	bcvu#序65000
看日	kjri#序65000
富人	furf#序65000
月我	ytwo#序65000
直至	vivi#序65000
几声	jiug#序65000
涉事	ueui#序65000
山羊	ujyh#序65000
重返	isfj#序65000
要变	ycbm#序65000
忠诚	vsig#序65000
招牌	vcpd#序65000
一幕	yimu#序65000
不认	burf#序65000
回话	hvhx#序65000
远大	yrda#序65000
一买	yimd#序65000
术语	uuyu#序65000
是福	uifu#序65000
地步	dibu#序65000
中暑	vsuu#序65000
天会	tmhv#序65000
打在	dazd#序65000
羊群	yhqy#序65000
乔丹	qndj#序65000
实用	uiys#序65000
闲书	xmuu#序65000
获胜	houg#序65000
解析	jpxi#序65000
猫咪	mcmi#序65000
省事	ugui#序65000
主导	vudc#序65000
和快	hekk#序65000
传输	iruu#序65000
愚蠢	yuiy#序65000
开就	kdjq#序65000
鲫鱼	jiyu#序65000
会面	hvmm#序65000
会飞	hvfw#序65000
燕山	yjuj#序65000
宙斯	vzsi#序65000
一比	yibi#序65000
泡菜	pccd#序65000
背心	bwxb#序65000
既不	jibu#序65000
师徒	uitu#序65000
福音	fuyb#序65000
昌吉	ihji#序65000
一单	yidj#序65000
制止	vivi#序65000
满天	mjtm#序65000
一村	yicy#序65000
年会	nmhv#序65000
我笑	woxn#序65000
两项	llxl#序65000
风俗	fgsu#序65000
几回	jihv#序65000
薇薇	wwww#序65000
细化	xihx#序65000
西山	xiuj#序65000
共用	gsys#序65000
依依	yiyi#序65000
播音	boyb#序65000
轰动	hsds#序65000
鬼鬼	gvgv#序65000
战术	vjuu#序65000
污水	wuuv#序65000
一心	yixb#序65000
字旁	ziph#序65000
整顿	vgdy#序65000
知足	vizu#序65000
录上	luuh#序65000
两眼	llyj#序65000
流失	lqui#序65000
成河	ighe#序65000
记下	jixx#序65000
去时	quui#序65000
侄女	vinv#序65000
公正	gsvg#序65000
桥下	qnxx#序65000
得开	dekd#序65000
伤病	uhbk#序65000
渔村	yucy#序65000
多到	dodc#序65000
演得	yjde#序65000
汽修	qixq#序65000
巩固	gsgu#序65000
从外	cswd#序65000
之父	vifu#序65000
记在	jizd#序65000
接上	jpuh#序65000
约我	ytwo#序65000
一学	yixt#序65000
对要	dvyc#序65000
知音	viyb#序65000
是运	uiyy#序65000
耗电	hcdm#序65000
预祝	yuvu#序65000
心心	xbxb#序65000
是阿	uiaa#序65000
区是	quui#序65000
修一	xqyi#序65000
惊叹	jktj#序65000
主主	vuvu#序65000
上行	uhxk#序65000
不慎	buuf#序65000
寒风	hjfg#序65000
盼盼	pjpj#序65000
没被	mwbw#序65000
午睡	wuuv#序65000
湿度	uidu#序65000
宣城	xrig#序65000
直直	vivi#序65000
白沙	bdua#序65000
贱货	jmho#序65000
些大	xpda#序65000
千山	qmuj#序65000
出入	iuru#序65000
细心	xixb#序65000
近看	jbkj#序65000
对儿	dver#序65000
躲到	dodc#序65000
适不	uibu#序65000
范文	fjwf#序65000
几步	jibu#序65000
种树	vsuu#序65000
野外	yewd#序65000
除夕	iuxi#序65000
先上	xmuh#序65000
缅甸	mmdm#序65000
言论	yjly#序65000
剑圣	jmug#序65000
已不	yibu#序65000
首富	uzfu#序65000
没点	mwdm#序65000
南沙	njua#序65000
了生	leug#序65000
项央	xlyh#序65000
绿化	lvhx#序65000
起初	qiiu#序65000
几层	jicg#序65000
恶性	eexk#序65000
海带	hddd#序65000
迁就	qmjq#序65000
不花	buhx#序65000
也少	yeuc#序65000
只对	vidv#序65000
从别	csbp#序65000
期满	qimj#序65000
进进	jbjb#序65000
下场	xxih#序65000
自觉	zijt#序65000
多在	dozd#序65000
开好	kdhc#序65000
早都	zcdz#序65000
致富	vifu#序65000
吃人	iirf#序65000
出示	iuui#序65000
金丹	jbdj#序65000
里带	lidd#序65000
上诉	uhsu#序65000
食欲	uiyu#序65000
要与	ycyu#序65000
绵绵	mmmm#序65000
神啊	ufaa#序65000
较劲	jnjb#序65000
吃太	iitd#序65000
改完	gdwj#序65000
住这	vuve#序65000
十足	uizu#序65000
说错	uoco#序65000
鱼塘	yuth#序65000
要人	ycrf#序65000
品本	pbbf#序65000
水水	uvuv#序65000
爱呀	aiya#序65000
之之	vivi#序65000
创下	ilxx#序65000
托福	tofu#序65000
妓院	jiyr#序65000
莲子	lmzi#序65000
几名	jimk#序65000
间房	jmfh#序65000
数到	uudc#序65000
是与	uiyu#序65000
漩涡	xrwo#序65000
一拍	yipd#序65000
人选	rfxr#序65000
麻木	mamu#序65000
到开	dckd#序65000
以此	yici#序65000
依次	yici#序65000
成品	igpb#序65000
直通	vits#序65000
约好	ythc#序65000
是取	uiqu#序65000
入一	ruyi#序65000
文名	wfmk#序65000
易信	yixb#序65000
去石	quui#序65000
奢侈	ueii#序65000
腻了	nile#序65000
丑女	iznv#序65000
吃奶	iind#序65000
向阳	xlyh#序65000
平湖	pkhu#序65000
边下	bmxx#序65000
十余	uiyu#序65000
急救	jijq#序65000
起源	qiyr#序65000
五位	wuww#序65000
一寸	yicy#序65000
条腿	tntv#序65000
各省	geug#序65000
手柄	uzbk#序65000
风神	fguf#序65000
四种	sivs#序65000
高阳	gcyh#序65000
备受	bwuz#序65000
茂密	mcmi#序65000
想都	xldz#序65000
时事	uiui#序65000
为代	wwdd#序65000
事处	uiiu#序65000
一还	yihd#序65000
招待	vcdd#序65000
我曾	wocg#序65000
治水	viuv#序65000
会哭	hvku#序65000
下看	xxkj#序65000
一在	yizd#序65000
正太	vgtd#序65000
威武	wwwu#序65000
逝世	uiui#序65000
二爷	erye#序65000
有帮	yzbh#序65000
高迪	gcdi#序65000
七到	qidc#序65000
公证	gsvg#序65000
达百	dabd#序65000
声乐	ugyt#序65000
征税	vguv#序65000
放飞	fhfw#序65000
毫不	hcbu#序65000
留级	lqji#序65000
低谷	digu#序65000
为给	wwgw#序65000
下半	xxbj#序65000
直不	vibu#序65000
前沿	qmyj#序65000
大洋	dayh#序65000
滑盖	hxgd#序65000
首度	uzdu#序65000
聊些	lnxp#序65000
冒昧	mcmw#序65000
化身	hxuf#序65000
五官	wugr#序65000
依从	yics#序65000
凄清	qiqk#序65000
珊瑚	ujhu#序65000
底部	dibu#序65000
不尽	bujb#序65000
金源	jbyr#序65000
迷糊	mihu#序65000
积攒	jizj#序65000
纸巾	vijb#序65000
为生	wwug#序65000
连网	lmwh#序65000
鑫鑫	xbxb#序65000
绝招	jtvc#序65000
一招	yivc#序65000
生于	ugyu#序65000
下还	xxhd#序65000
官兵	grbk#序65000
舰队	jmdv#序65000
思科	sike#序65000
书名	uumk#序65000
一如	yiru#序65000
机车	jiie#序65000
起出	qiiu#序65000
奇瑞	qirv#序65000
鼹鼠	yjuu#序65000
钱能	qmng#序65000
人带	rfdd#序65000
没骗	mwpm#序65000
嗡嗡	wgwg#序65000
求职	qqvi#序65000
瞩目	vumu#序65000
知不	vibu#序65000
仗义	vhyi#序65000
咬人	ycrf#序65000
她太	tatd#序65000
金金	jbjb#序65000
先挂	xmgx#序65000
更能	ggng#序65000
蛋白	djbd#序65000
得下	dexx#序65000
如一	ruyi#序65000
思议	siyi#序65000
巴音	bayb#序65000
并无	bkwu#序65000
就难	jqnj#序65000
重回	vshv#序65000
抚州	fuvz#序65000
雷电	lwdm#序65000
曲面	qumm#序65000
童声	tsug#序65000
有伤	yzuh#序65000
打入	daru#序65000
核定	hedk#序65000
就满	jqmj#序65000
不招	buvc#序65000
演到	yjdc#序65000
违背	wwbw#序65000
新路	xblu#序65000
制品	vipb#序65000
性命	xkmk#序65000
右眼	yzyj#序65000
复方	fufh#序65000
雄鹰	xsyk#序65000
北辰	bwif#序65000
新家	xbjx#序65000
前端	qmdr#序65000
以有	yiyz#序65000
会场	hvih#序65000
周庄	vzvl#序65000
有余	yzyu#序65000
为每	wwmw#序65000
信然	xbrj#序65000
一信	yixb#序65000
彬彬	bbbb#序65000
养大	yhda#序65000
分身	ffuf#序65000
摊上	tjuh#序65000
现价	xmjx#序65000
河池	heii#序65000
搭在	dazd#序65000
西省	xiug#序65000
良乡	llxl#序65000
唱戏	ihxi#序65000
掘金	jtjb#序65000
小楼	xnlz#序65000
一幺	yiyc#序65000
倡议	ihyi#序65000
圣地	ugdi#序65000
阐述	ijuu#序65000
颤抖	ijdz#序65000
为谁	wwuw#序65000
池子	iizi#序65000
一要	yiyc#序65000
刑警	xkjk#序65000
手腕	uzwj#序65000
搅拌	jnbj#序65000
老将	lcjl#序65000
要贵	ycgv#序65000
鸡排	jipd#序65000
房门	fhmf#序65000
星系	xkxi#序65000
橡树	xluu#序65000
风啊	fgaa#序65000
惊艳	jkyj#序65000
盛典	ugdm#序65000
知乎	vihu#序65000
骑手	qiuz#序65000
商商	uhuh#序65000
疏导	uudc#序65000
看图	kjtu#序65000
紫菜	zicd#序65000
阳春	yhiy#序65000
小年	xnnm#序65000
未还	wwhd#序65000
前段	qmdr#序65000
又买	yzmd#序65000
