---config@码表分类=主码-7
---config@允许编辑=是
---config@码表别名=系统唐诗
渭川田家	wzirtmjwdb#序52000
山月随人归	ujytsvrfgvll#序52000
却顾所来径	qtgusolljyti#序52000
苍苍横翠微	chchhgcvwzci#序52000
相携及田家	xdxxjitmjwmb#序52000
童稚开荆扉	tsvikljyfzlh#序52000
绿竹入幽径	lvvuruybjysi#序52000
青萝拂行衣	qylofuxyyifw#序52000
欢言得所憩	hryjdesoqiyq#序52000
美酒聊共挥	mzjqlcgshvyf#序52000
长歌吟松风	vhgeynssfgpj#序52000
曲尽河星稀	qujnhexyxilh#序52000
我醉君复乐	wozvjpfulepp#序52000
陶然共忘机	tkrjgswhjiem#序52000
花间一壶酒	hwjmyihujqcd#序52000
举杯邀明月	jubzykmyytxk#序52000
对影成三人	dvyyigsjrfyp#序52000
月既不解饮	ytjibujxynku#序52000
影徒随我身	yytusvwoufop#序52000
暂伴月将影	zjbjytjdyyio#序52000
行乐须及春	xylexujiipif#序52000
我歌月徘徊	wogeytplhypi#序52000
我舞影零乱	wowuyylylrpq#序52000
醒时同交欢	xyuitsjchryy#序52000
醉后各分散	zvhbgeffsjyc#序52000
永结无情游	ysjxwuqyybdd#序52000
相期邈云汉	xdqimcyphjmd#序52000
燕草如碧丝	yjckrubisinv#序52000
秦桑低绿枝	qnshdilvvifm#序52000
当君怀归日	dhjphygvrixk#序52000
是妾断肠时	uiqxdrihuioo#序52000
春风不相识	ipfgbuxduify#序52000
何事入罗帏	heuirulowzrj#序52000
岱宗夫如何	dlzsfuruherr#序52000
齐鲁青未了	qiluqywzlcwv#序52000
造化钟神秀	zkhwvsufxqzh#序52000
阴阳割昏晓	ynyhgehpxceo#序52000
荡胸生层云	dhxsugcgypce#序52000
决眦入归鸟	jtzirugvncdp#序52000
决眦入归鸟	jtzirugvncdw#序52000
赠卫八处士	zgwzbaiuuiku#序52000
人生不相见	rfugbuxdjmpk#序52000
动如参与商	dsrucjyuuhew#序52000
今夕复何夕	jnxifuhexirp#序52000
共此灯烛光	gscidgvugdcx#序52000
少壮能几时	ukvdngjiuixo#序52000
鬓发各已苍	bnfageyichac#序52000
访旧半为鬼	fhjqbjwzgvyp#序52000
惊呼热中肠	jyhurevsihxo#序52000
焉知二十载	yjvieruizlvu#序52000
重上君子堂	vsuhjpzithpx#序52000
昔别君未婚	xibxjpwzhpcn#序52000
儿女忽成行	ernvhuighhpi#序52000
怡然敬父执	yirjjyfuvixf#序52000
问我来何方	wfwollhefhmd#序52000
问答乃未已	wfdanlwzyimv#序52000
驱儿罗酒浆	querlojqjdmd#序52000
夜雨剪春韭	yeyujmipjqwf#序52000
新炊间黄粱	xnivjmhdldld#序52000
主称会面难	vuighvmmnjdy#序52000
一举累十觞	yijulzuiuhad#序52000
十觞亦不醉	uiuhyibuzvay#序52000
感子故意长	gjziguyivhwp#序52000
感子故意长	gjziguyivhxp#序52000
明日隔山岳	myrigeujytoq#序52000
世事两茫茫	uiuildmhmhac#序52000
绝代有佳人	jtdlybjwrfsp#序52000
幽居在空谷	ybjuzlksgueb#序52000
自云良家女	ziypldjwnvpv#序52000
零落依草木	lyloyickmuyu#序52000
零落依草木	lyloyickmuya#序52000
关中昔丧乱	grvsxishlrbq#序52000
兄弟遭杀戮	xsdizkualukx#序52000
官高何足论	grgkhezulpby#序52000
不得收骨肉	budeubgurban#序52000
世情恶衰歇	uiqyeeuyxxao#序52000
万事随转烛	wjuisvvrvuah#序52000
夫婿轻薄儿	fuxuqyboerap#序52000
新人美如玉	xnrfmzruyulw#序52000
合昏尚知时	hehpuhviuiro#序52000
鸳鸯不独宿	yryhbudusuxb#序52000
但见新人笑	djjmxnrfxcrv#序52000
那闻旧人哭	nawfjqrfkuvk#序52000
在山泉水清	zlujqruvqyud#序52000
出山泉水浊	iuujqruvvovd#序52000
侍婢卖珠回	uibimlvuhvrk#序52000
牵萝补茅屋	qmlobumkwudu#序52000
摘花不插发	vlhwbuiafafv#序52000
采柏动盈掬	clbldsyyjupf#序52000
天寒翠袖薄	tmhjcvxqbkac#序52000
日暮倚修竹	rimuyixqvukp#序52000
死别已吞声	sibxyitpugdu#序52000
生别常恻恻	ugbxihcecepx#序52000
江南瘴疠地	jdnjvhlididt#序52000
逐客无消息	vukewuxcxizz#序52000
故人入我梦	gurfruwomgum#序52000
明我常相忆	mywoihxdyiox#序52000
君今在罗网	jpjnzllowhyk#序52000
何以有羽翼	heyiybyuyirx#序52000
恐非平生魂	ksfzpyughpge#序52000
路远不可测	luyrbukecezd#序52000
魂来枫林青	hpllfglnqyef#序52000
魂返关塞黑	hpfjgrslhzel#序52000
落月满屋梁	loytmjwuldcd#序52000
犹疑照颜色	ybyivkyjseqd#序52000
水深波浪阔	uvufbolhkolm#序52000
无使蛟龙得	wuuijclsdeai#序52000
浮云终日行	fuypvsrixydi#序52000
游子久不至	ybzijqbuvida#序52000
三夜频梦君	sjyepnmgjpay#序52000
情亲见君意	qyqnjmjpyixl#序52000
告归常局促	gkgvihjucunr#序52000
苦道来不易	kudkllbuyico#序52000
江湖多风波	jdhudofgbodd#序52000
舟楫恐失坠	vbjiksuivvpe#序52000
出门搔白首	iumfskblubvb#序52000
若负平生志	rofupyugvicu#序52000
冠盖满京华	grglmjjyhwbr#序52000
孰云网恢恢	uuypwhhvhvwx#序52000
将老身反累	jdlkuffjlzdt#序52000
千秋万岁名	qmqqwjsvmypx#序52000
寂寞身后事	jimoufhbuiba#序52000
圣代无隐者	ugdlwuynveyl#序52000
英灵尽来归	yylyjnllgvcl#序52000
遂令东山客	svlydsujkezb#序52000
不得顾采薇	budeguclwzac#序52000
既至金门远	jivijnmfyrgz#序52000
孰云吾道非	uuypwudkfzwl#序52000
江淮度寒食	jdhyduhjuidr#序52000
京洛缝春衣	jylofgipyiww#序52000
置酒长安道	vijqvhandksz#序52000
同心与我违	tsxnyuwowzkz#序52000
行当浮桂棹	hhdhfugvvkim#序52000
未几拂荆扉	wzjifujyfzah#序52000
远树带行客	yruudlxykezb#序52000
孤城当落晖	guigdhlohvzo#序52000
吾谋适不用	wumbuibuyswk#序52000
勿谓知音稀	wuwzviynxibh#序52000
下马饮君酒	xwmaynjpjqad#序52000
问君何所之	wfjphesovimd#序52000
君言不得意	jpyjbudeyiyl#序52000
归卧南山陲	gvwonjujivle#序52000
但去莫复问	djqumofuwfrm#序52000
白云无尽时	blypwujnuipo#序52000
言入黄花川	yjruhdhwirwp#序52000
每逐青溪水	mzvuqyxiuvpl#序52000
随山将万转	svujjdwjvrei#序52000
趣途无百里	qutuwubllitl#序52000
声喧乱石中	ugxrlruivsul#序52000
色静深松里	sejyufsslidl#序52000
漾漾泛菱荇	yhyhfjlyxydc#序52000
澄澄映葭苇	igigyyjwwzdc#序52000
我心素已闲	woxnsuyixmpm#序52000
清川澹如此	qyirdjrucidv#序52000
请留盘石上	qylqpjuiuhyl#序52000
垂钓将已矣	ivdcjdyiyips#序52000
斜光照墟落	xxgdvkxulorc#序52000
穷巷牛羊归	qsxdnqyhgvbl#序52000
野老念牧童	yelknmmutsll#序52000
倚杖候荆扉	yivhhbjyfzrh#序52000
雉雊麦苗秀	vigbmlmcxquh#序52000
蚕眠桑叶稀	cjmmshyexith#序52000
田夫荷锄至	tmfuheiuvika#序52000
相见语依依	xdjmyuyiyimr#序52000
即此羡闲逸	jicixmxmyigz#序52000
怅然吟式微	ihrjynuiwzxi#序52000
艳色天下重	yjsetmxwvsfp#序52000
西施宁久微	xiuinyjqwzai#序52000
朝为越溪女	ikwzytxinvuv#序52000
暮作吴宫妃	muzowugsfzcn#序52000
贱日岂殊众	jmriqiuuvskr#序52000
贵来方悟稀	gvllfhwuxivh#序52000
邀人傅粉粉	ykrffuffffzm#序52000
不自著罗衣	buzivuloyiaw#序52000
君宠益娇态	jpisyijctlyt#序52000
君怜无是非	jplmwuuifzyl#序52000
当时浣纱伴	dhuihruabjxr#序52000
莫得同车归	modetsiegvcl#序52000
持谢邻家子	iixxlnjwzifv#序52000
效颦安可希	xcpnankexiwx#序52000
北山白云里	bzujblyplill#序52000
隐者自怡悦	ynveziyiytex#序52000
相望始登高	xdwhuidggkmw#序52000
心随雁飞灭	xnsvyjfzmxda#序52000
愁因薄暮起	ibynbomuqiht#序52000
兴是清秋发	xyuiqyqqfaxv#序52000
时见归村人	uijmgvcprfop#序52000
沙行渡头歇	uaxydutbxxdo#序52000
天边树若荠	tmbmuurojiac#序52000
江畔洲如月	jdpjvbruytdk#序52000
何当载酒来	hedhzljqllra#序52000
共醉重阳节	gszvisyhjxcc#序52000
山光忽西落	ujgdhuxilolc#序52000
池月渐东上	iiytjmdsuhdl#序52000
散发乘夕凉	sjfaigxildcd#序52000
开轩卧闲敞	klxrwoxmihax#序52000
荷风送香气	hefgssxdqicp#序52000
竹露滴清响	vuludiqyxdpk#序52000
欲取鸣琴弹	yuqumyqndjbg#序52000
恨无知音赏	hfwuviynuhxx#序52000
感此怀故人	gjcihygurfwp#序52000
感此怀故人	gjcihygurfxp#序52000
中宵劳梦想	vsxclkmgxdlm#序52000
夕阳度西岭	xiyhduxilype#序52000
群壑倏已暝	qpheuuyimyyo#序52000
松月生夜凉	ssytugyeldmd#序52000
风泉满清听	fgqrmjqytyjk#序52000
樵人归尽欲	qcrfgvjnyumb#序52000
烟鸟栖初定	yjncqiiudyhb#序52000
之子期宿来	viziqisullda#序52000
孤琴候萝径	guqnhblojyzi#序52000
高卧南斋时	gkwonjvluiwo#序52000
开帷月初吐	klwzytiutuak#序52000
清辉淡水木	qyhvdjuvmudu#序52000
清辉淡水木	qyhvdjuvmuda#序52000
演漾在窗户	yjyhzlidhudd#序52000
苒苒几盈虚	rjrjjiyyxuch#序52000
澄澄变今古	igigbmjngudu#序52000
美人清江畔	mzrfqyjdpjyt#序52000
是夜越吟苦	uiyeytynkuoc#序52000
千里其如何	qmliqiruhepr#序52000
微风吹兰杜	wzfgivljduim#序52000
绝顶一茅茨	jtdyyimkcisc#序52000
直上三十里	viuhsjuiliul#序52000
叩关无僮仆	kbgrwutspukr#序52000
窥室惟案几	kvuiwzanjibp#序52000
若非巾柴车	rofzjnilieca#序52000
应是钓秋水	yyuidcqquvgl#序52000
差池不相见	iaiibuxdjmyk#序52000
黾勉空仰止	mnmmksyhvikl#序52000
草色新雨中	cksexnyuvscl#序52000
松声晚窗里	ssugwjidliml#序52000
及兹契幽绝	jiziqiybjtps#序52000
自足荡心耳	zizudhxnerpa#序52000
虽无宾主意	svwubnvuyikl#序52000
颇得清净理	podeqyjylivw#序52000
兴尽方下山	xyjnfhxwujxl#序52000
何必待之子	hebidlvizirv#序52000
春泛若耶溪	ipfjroyexifd#序52000
幽意无断绝	ybyiwudrjtes#序52000
此去随所偶	ciqusvsoouvr#序52000
晚风吹行舟	wjfgivxyvbop#序52000
花路入溪口	hwluruxikbcl#序52000
际夜转西壑	jiyevrxiheel#序52000
隔山望南斗	geujwhnjdbed#序52000
潭烟飞溶溶	tjyjfzrsrsdd#序52000
林月低向后	lnytdixdhbmp#序52000
生事且弥漫	uguiqxmimjpd#序52000
愿为持竿叟	yrwziigjsbip#序52000
清溪深不测	qyxiufbucedd#序52000
隐处惟孤云	yniuwzguypee#序52000
松际露微月	ssjiluwzytmk#序52000
清光犹为君	qygdybwzjpdy#序52000
茅亭宿花影	mktysuhwyyco#序52000
药院滋苔纹	ykyrzitlwfcs#序52000
余亦谢时去	yuyixxuiqurt#序52000
西山鸾鹤群	xiujlrheqpay#序52000
塔势如涌出	tauiruysiutv#序52000
孤高耸天宫	gugksstmgszb#序52000
登临出世界	dglniuuijxvt#序52000
蹬道盘虚空	dgdkpjxukszb#序52000
突兀压神州	tuwuyaufvbbd#序52000
峥嵘如鬼工	vgrsrugvgsea#序52000
四角碍白日	sijcaiblrikk#序52000
七层摩苍穹	qicgmochqsab#序52000
下窥指高鸟	xwkvvigkncap#序52000
下窥指高鸟	xwkvvigkncaw#序52000
俯听闻惊风	futywfjyfgrj#序52000
连山若波涛	lmujrobotkzd#序52000
奔凑如朝东	bfcbruikdsda#序52000
青槐夹驰道	qyhyjwiidkfz#序52000
宫馆何玲珑	gsgrhelylsbw#序52000
秋色从西来	qqsecsxillha#序52000
苍然满关中	chrjmjgrvscl#序52000
五陵北原上	wulybzyruhal#序52000
万古青蒙蒙	wjguqymgmgac#序52000
净理了可悟	jylilekewudx#序52000
胜因夙所宗	ugynsusozsob#序52000
誓将挂冠去	uijdgwgrquft#序52000
觉道资无穷	jtdkziwuqsxb#序52000
贼退示官吏	zztvuigrlika#序52000
兵卫森画戟	bywzsfhwjiqu#序52000
燕寝凝清香	yjqnnyqyxdnh#序52000
海上风雨至	hluhfgyuvida#序52000
逍遥池阁凉	xcykiigeldzd#序52000
烦疴近消散	fjkejnxcsjhc#序52000
嘉宾复满堂	jwbnfumjthux#序52000
自惭居处崇	zicjjuiuispe#序52000
未睹斯民康	wzdusimnkhag#序52000
理会是非遣	lihvuifzqmwz#序52000
性达形迹忘	xydaxyjiwhxw#序52000
鲜肥属时禁	xmfzuuuijnam#序52000
蔬果幸见尝	uugoxyjmihcx#序52000
俯饮一杯酒	fuynyibzjqrd#序52000
仰聆金玉章	yhlyjnyuvhrl#序52000
神欢体自轻	ufhrtiziqypi#序52000
意欲凌风翔	yiyulyfgxdly#序52000
吴中盛文史	wuvsugwfuikl#序52000
群彦今汪洋	qpyjjnwhyhyd#序52000
方知大藩地	fhvidafjdidt#序52000
岂曰财赋强	qiytclfuqdeg#序52000
凄凄去亲爱	qiqiquqnaidp#序52000
泛泛入烟雾	fjfjruyjwudy#序52000
归棹洛阳人	gvvkloyhrflp#序52000
残钟广陵树	cjvsgdlyuudm#序52000
今朝为此别	jnvkwzcibxrk#序52000
何处还相遇	heiuhlxdyurz#序52000
世事波上舟	uiuibouhvbap#序52000
沿洄安得住	yjhvandevudr#序52000
今朝郡斋冷	jnvkjpvllgrd#序52000
忽念山中客	hunmujvskewb#序52000
涧底束荆薪	jmdiuujyxndc#序52000
归来煮白石	gvllvubluila#序52000
欲恃一瓢酒	yuuiyipcjqbd#序52000
远慰风雨夕	yrwzfgyuxizp#序52000
落叶满空山	loyemjksujcl#序52000
何处寻行迹	heiuxpxyjirz#序52000
长安遇冯著	ihanyufgvupc#序52000
客从东方来	kecsdsfhllba#序52000
衣上灞陵雨	yiuhbalyyuwa#序52000
问客何为来	wfkehewzllma#序52000
采山因买斧	clujynmlfupb#序52000
冥冥花正开	mymyhwvgklba#序52000
扬扬燕新乳	yhyhyjxnrufp#序52000
昨别今已春	zobxjnyiipof#序52000
鬓丝生几缕	bnsiugjilvas#序52000
夕次盱眙县	xicixuyixmpq#序52000
落帆逗淮镇	lofjdbhyvfcj#序52000
停舫临孤驿	tyfhlnguyirm#序52000
浩浩风起波	hkhkfgqibodd#序52000
冥冥日沉夕	mymyriifxibp#序52000
人归山郭暗	rfgvujgoanpo#序52000
雁下芦洲白	yjxwluvbblip#序52000
独夜忆秦关	duyeyiqngrqb#序52000
听钟未眠客	tyvswzmmkekb#序52000
吏舍跼终年	liuejuvsnmap#序52000
出郊旷清曙	iujckdqyuuvo#序52000
杨柳散和风	yhlqsjhefgmj#序52000
青山澹吾虑	qyujdjwulvfh#序52000
依丛适自憩	yicsuiziqirq#序52000
缘涧还复去	yrjmhlfuqust#序52000
微雨霭芳原	wzyuaifhyrii#序52000
春鸠鸣何处	ipjqmyheiufw#序52000
乐幽心屡止	leybxnlvvipl#序52000
遵事迹犹遽	zpuijiybjuzz#序52000
终罢斯结庐	vsbasijxlusg#序52000
慕陶真可庶	mutkvfkeuucg#序52000
永日方戚戚	ysrifhqiqidw#序52000
永日方戚戚	ysrifhqiqida#序52000
出行复悠悠	iuxyfuybybvr#序52000
女子今有行	nvzijnybxyvi#序52000
大江溯轻舟	dajdsuqyvbup#序52000
尔辈苦无恃	erbzkuwuuidx#序52000
抚念益慈柔	funmyicirbfs#序52000
幼为长所育	ybwzvhsoyuyw#序52000
两别泣不休	ldbxqibuxqar#序52000
对此结中肠	dvcijxvsihyo#序52000
义往难复留	yiwhnjfulqdp#序52000
自小阙内训	zixcqtnzxppy#序52000
事姑贻我忧	uiguyiwoybax#序52000
赖兹托令门	llzitolymfud#序52000
任恤庶无尤	rfxuuuwuybru#序52000
任恤庶无尤	rfxuuuwuybry#序52000
贫俭诚所尚	pnjmigsouhbx#序52000
资从岂待周	zicsqidlvbdk#序52000
孝恭遵妇道	xcgszpfudklz#序52000
容止顺其猷	rsviupqiybbb#序52000
别离在今晨	bxlizljnifko#序52000
见尔当何秋	jmerdhheqqkh#序52000
居闲始自遣	juxmuiziqmuz#序52000
临感忽难收	lngjhunjublv#序52000
归来视幼女	gvlluiybnvlv#序52000
零泪缘缨流	lylzyryylqyd#序52000
汲井漱寒齿	jijyuuhjiidv#序52000
清心拂尘服	qyxnfuiffudo#序52000
闲持贝叶书	xmiibzyeuumv#序52000
步出东斋读	buiudsvlduvy#序52000
真源了无取	vfyrlcwuquue#序52000
妄迹世所逐	whjiuisovuwz#序52000
遗言冀可冥	yiyjjikemyzb#序52000
缮性何由熟	ujxyheybuusw#序52000
道人庭宇静	dkrftyyujyzf#序52000
苔色连深竹	tlselmufvucp#序52000
日出雾露余	riiuwuluyukr#序52000
青松如膏沐	qyssrugkmufd#序52000
澹然离言说	djrjliyjuody#序52000
悟悦心自足	wuytxnzizuxk#序52000
久为簪组累	jqwzzjzulzpt#序52000
幸此南夷谪	xycinjyivety#序52000
闲依农圃邻	xmyinspulnmr#序52000
偶似山林客	ouuiujlnkerb#序52000
晓耕翻露草	xcggfjluckoc#序52000
夜榜响溪石	yebhxdxiuiwa#序52000
来往不逢人	llwhbufgrfap#序52000
长歌楚天碧	vhgeiutmbipw#序52000
蝉鸣空桑林	ijmyksshlnim#序52000
八月萧关道	baytxcgrdkpz#序52000
出塞复入塞	iuslfuruslvb#序52000
处处黄芦草	iuiuhdluckwc#序52000
从来幽并客	csllybbykerb#序52000
皆向沙场老	jxxduaihlkbl#序52000
莫学游侠儿	moxtybxwercp#序52000
矜夸紫骝好	jnkwzilqhksn#序52000
饮马渡秋水	ynmaduqquvul#序52000
水寒风似刀	uvhjfguidklv#序52000
平沙日未没	pyuariwzmzad#序52000
黯黯见临洮	ananjmlntkhd#序52000
昔日长城战	xiriihigvjcl#序52000
咸言意气高	xmyjyiqigkww#序52000
咸言意气高	xmyjyiqigkaw#序52000
咸言意气高	xmyjyiqigkxw#序52000
黄尘足今古	hdifzujngucu#序52000
白骨乱蓬蒿	blgulrpghkpc#序52000
明月出天山	myytiutmujol#序52000
苍茫云海间	chmhyphljmcm#序52000
长风几万里	vhfgjiwjlipl#序52000
吹度玉门关	ivduyumfgrkb#序52000
汉下白登道	hjxwbldgdkdz#序52000
胡窥青海湾	hukvqyhlwjud#序52000
由来征战地	ybllvgvjdilt#序52000
不见有人还	bujmybrfhlaz#序52000
戍客望边色	uukewhbmsewd#序52000
戍客望边色	uukewhbmsead#序52000
思归多苦颜	sigvdokuyjti#序52000
高楼当此夜	gklbdhciyeww#序52000
叹息未应闲	tjxiwzyyxmkm#序52000
长安一片月	ihanyipmytpk#序52000
万户捣衣声	wjhudkyiugau#序52000
秋风吹不尽	qqfgivbujnhi#序52000
总是玉关情	zsuiyugrqybx#序52000
何日平胡虏	heripyhulurh#序52000
良人罢远征	ldrfbayrvgdi#序52000
妾发初覆额	qxfaiufueelb#序52000
折花门前剧	vehwmfqmjufu#序52000
郎骑竹马来	lhqivumallda#序52000
绕床弄青梅	rkidnsqymzsm#序52000
同居长干里	tsjuvhgjlikl#序52000
两小无嫌猜	ldxcwuxmclaq#序52000
十四为君妇	uisiwzjpfuan#序52000
羞颜未尝开	xqyjwzihklya#序52000
低头向暗壁	ditbxdanbiru#序52000
千唤不一回	qmhrbuyihvpk#序52000
十五始展眉	uiwuuivjmzav#序52000
愿同尘与灰	yrtsifyuhviu#序52000
常存抱柱信	ihcpbkvuxnxr#序52000
岂上望夫台	qiuhwhfutles#序52000
十六君远行	uilqjpyrxyai#序52000
瞿塘滟预堆	quthyjyudvot#序52000
五月不可触	wuytbukeiuad#序52000
猿声天上哀	yrugtmuhaiqw#序52000
门前迟行迹	mfqmiixyjidz#序52000
一一生绿苔	yiyiuglvtlac#序52000
苔深不能扫	tlufbungskcf#序52000
落叶秋风早	loyeqqfgzkco#序52000
八月蝴蝶黄	baythudxhdpc#序52000
双飞西园草	udfzxiyrckyc#序52000
感此伤妾心	gjciuhqxxnwd#序52000
感此伤妾心	gjciuhqxxnxd#序52000
坐愁红颜老	zoibhsyjlkrl#序52000
早晚下三巴	zkwjxwsjbaos#序52000
早晚下三巴	zkwjxwsjbaov#序52000
预将书报家	yujduubkjwsb#序52000
相迎不道远	xdyybudkyrmz#序52000
直至长风沙	vivivhfguaud#序52000
梧桐相待老	wutsxddllkml#序52000
鸳鸯会双死	yryhhvudsixd#序52000
贞妇贵殉夫	vffugvxpfula#序52000
舍生亦如此	ueugyirucirv#序52000
波澜誓不起	boljuibuqidt#序52000
妾心井中水	qxxnjyvsuvll#序52000
游子身上衣	ybziufuhyidw#序52000
报得三春晖	bkdesjiphvfo#序52000
登幽州台歌	dgybvbtlgeva#序52000
男儿事长征	njeruiihvgti#序52000
少小幽燕客	ukxcybyjkexb#序52000
赌胜马蹄下	duugmatixwka#序52000
由来轻七尺	ybllqyqiiilu#序52000
杀人莫敢前	uarfmogjqmxb#序52000
须如猬毛磔	xuruwzmkvepu#序52000
川为静其波	irwzjyqibopd#序52000
鸟亦罢其鸣	ncyibaqimypk#序52000
鸟亦罢其鸣	ncyibaqimywk#序52000
我本楚狂人	wobfiukdrfpp#序52000
凤歌笑孔丘	fggexcksqqjp#序52000
手持绿玉杖	ubiilvyuvhpm#序52000
朝别黄鹤楼	ikbxhdhelbum#序52000
好为庐山谣	hkwzluujykny#序52000
兴因庐山发	xyynluujfaxv#序52000
海客谈瀛洲	hlketjyyvbdd#序52000
越人语天姥	ytrfyutmlktn#序52000
湖月照我影	huytvkwoyydo#序52000
送我至剡溪	sswoviujxizd#序52000
脚著谢公屐	jcvuxxgsjiou#序52000
身登青云梯	ufdgqyyptipm#序52000
半壁见海日	bjbijmhlridk#序52000
空中闻天鸡	ksvswftmjiby#序52000
洛阳女儿行	loyhnverxydi#序52000
蚕丛及鱼凫	cjcsjiyufutp#序52000
开国何茫然	klgohemhrjap#序52000
青泥何盘盘	qynihepjpjfv#序52000
其险也若此	qixmyerociqv#序52000
胡为呼来哉	huwzhullzluu#序52000
所守或匪亲	soubhofzqnpl#序52000
化为狼与豺	hwwzlhyuilrv#序52000
锦城虽云乐	jnigsvyplejp#序52000
不如早还家	buruzkhljwab#序52000
昔日横波目	xirihgbomuck#序52000
今作流泪泉	jnzolqlzqrrb#序52000
不信妾断肠	buxnqxdrihao#序52000
与君歌一曲	yujpgeyiqual#序52000
长者虽有问	vhvesvybwfpm#序52000
役夫敢申恨	yifugjufhfix#序52000
且如今年冬	qxrujnnmdslw#序52000
未休关西卒	wzxqgrxizuaw#序52000
县官急索租	xmgrjisozuqh#序52000
租税从何出	zuuvcsheiuhv#序52000
信知生男恶	xnviugnjeery#序52000
反是生女好	fjuiugnvhkpn#序52000
头上何所有	tbuhhesoybdu#序52000
背后何所见	bzhbhesojmlk#序52000
夫子何为者	fuzihewzveal#序52000
栖栖一代中	xixiyidlvsml#序52000
地犹鄹氏邑	diybzbuiyitk#序52000
宅即鲁王宫	vljiluwhgsbb#序52000
叹凤嗟身否	tjfgjxuffbkb#序52000
伤麟怨道穷	uhlnyrdkqsrb#序52000
今看两楹奠	jnkjldyydmrb#序52000
当与梦时同	dhyumguitsxk#序52000
情人怨遥夜	qyrfyrykyexw#序52000
竟夕起相思	jyxiqixdsilt#序52000
灭烛怜光满	mxvulmgdmjad#序52000
披衣觉露滋	piyijtluzifd#序52000
不堪盈手赠	bukjyyubzgak#序52000
还寝梦佳期	hlqnmgjwqizq#序52000
城阙辅三秦	igqtfusjqntf#序52000
风烟望五津	fgyjwhwujnjd#序52000
与君离别意	yujplibxyial#序52000
同是宦游人	tsuihrybrfkp#序52000
无为在岐路	wuwzzlqiluaz#序52000
儿女共沾巾	ernvgsvjjnpl#序52000
西陆蝉声唱	xiluijugihak#序52000
南冠客思深	njgrkesiufud#序52000
不堪玄鬓影	bukjxrbnyyao#序52000
来对白头吟	lldvbltbynak#序52000
露重飞难进	luvsfznjjnyz#序52000
风多响易沉	fgdoxdyiifjd#序52000
无人信高洁	wurfxngkjxad#序52000
谁为表予心	uvwzbcyuxnyd#序52000
独有宦游人	duybhrybrfqp#序52000
偏惊物候新	pmjywuhbxnrl#序52000
云霞出海曙	ypxwiuhluueo#序52000
梅柳渡江春	mzlqdujdipmf#序52000
淑气催黄鸟	uuqicvhdncdp#序52000
淑气催黄鸟	uuqicvhdncdw#序52000
晴光转绿苹	qygdvrlvpyoc#序52000
