---config@码表分类=主码-4
---config@允许编辑=是
---config@码表别名=低频简词
以后	yihb#序65000
实体	uiti#序65000
贵了	gvle#序65000
遇上	yuuh#序65000
接口	jxkb#序65000
个高	gegk#序65000
地块	diky#序65000
那具	naju#序65000
先吃	xmii#序65000
寄到	jidk#序65000
海淀	hldm#序65000
马年	manm#序65000
去白	qubl#序65000
卫士	wzui#序65000
宜宾	yibn#序65000
说也	uoye#序65000
加到	jwdk#序65000
建造	jmzk#序65000
皇家	hdjw#序65000
玩呢	wjne#序65000
要分	ykff#序65000
周天	vbtm#序65000
牛排	nqpl#序65000
长出	vhiu#序65000
几部	jibu#序65000
个数	geuu#序65000
写信	xxxn#序65000
去电	qudm#序65000
就完	jqwj#序65000
时时	uiui#序65000
除湿	iuui#序65000
鲈鱼	luyu#序65000
退还	tvhr#序65000
是早	uizk#序65000
住着	vuve#序65000
剪刀	jmdk#序65000
和好	hehk#序65000
去听	quty#序65000
打包	dabk#序65000
是万	uiwj#序65000
你哥	nige#序65000
是晚	uiwj#序65000
火爆	hobk#序65000
下好	xwhk#序65000
逝去	uiqu#序65000
祈祷	qidk#序65000
及格	jige#序65000
打得	dade#序65000
医药	yiyk#序65000
等那	dgna#序65000
她做	tazo#序65000
济宁	jiny#序65000
申诉	ufsu#序65000
事都	uidb#序65000
七彩	qicl#序65000
理了	lile#序65000
消灭	xcmx#序65000
出场	iuih#序65000
血液	xtye#序65000
五毛	wumk#序65000
一笑	yixc#序65000
签到	qmdk#序65000
一打	yida#序65000
激光	jigd#序65000
对二	dver#序65000
和外	hewl#序65000
又开	ybkl#序65000
果没	gomz#序65000
许昌	xuih#序65000
诊断	vfdr#序65000
胡说	huuo#序65000
张继	vhji#序65000
一同	yits#序65000
一间	yijm#序65000
在是	zlui#序65000
句号	juhk#序65000
西单	xidj#序65000
多谢	doxx#序65000
检验	jmyj#序65000
没多	mzdo#序65000
下方	xwfh#序65000
要写	ykxx#序65000
我绝	wojt#序65000
预赛	yusl#序65000
五下	wuxw#序65000
五大	wuda#序65000
表姐	bcjx#序65000
极品	jipn#序65000
这老	velk#序65000
家来	jwll#序65000
市值	uivi#序65000
半订	bjdy#序65000
那可	nake#序65000
离职	livi#序65000
毫无	hkwu#序65000
掉到	dcdk#序65000
催眠	cvmm#序65000
店主	dmvu#序65000
延长	yjih#序65000
呼呼	huhu#序65000
来买	llml#序65000
会从	hvcs#序65000
一品	yipn#序65000
大宝	dabk#序65000
还原	hryr#序65000
回访	hvfh#序65000
稻香	dkxd#序65000
管道	grdk#序65000
海关	hlgr#序65000
机遇	jiyu#序65000
不扣	bukb#序65000
是山	uiuj#序65000
不良	buld#序65000
吃饱	iibk#序65000
一届	yijx#序65000
菠菜	bocl#序65000
务员	wuyr#序65000
毁灭	hvmx#序65000
职责	vize#序65000
去喝	quhe#序65000
淑女	uunv#序65000
移民	yimn#序65000
车是	ieui#序65000
吃醋	iicu#序65000
摇摆	ykbl#序65000
几万	jiwj#序65000
知名	vimy#序65000
记载	jizl#序65000
但当	djdh#序65000
诚意	igyi#序65000
鲁豫	luyu#序65000
吉安	jian#序65000
口罩	kbvk#序65000
派人	plrf#序65000
露露	lulu#序65000
要讲	ykjd#序65000
个毛	gemk#序65000
们对	mfdv#序65000
钱花	qmhw#序65000
学业	xtye#序65000
店儿	dmer#序65000
冰冰	byby#序65000
要重	ykvs#序65000
于我	yuwo#序65000
以便	yibm#序65000
就太	jqtl#序65000
一出	yiiu#序65000
梦柯	mgke#序65000
一节	yijx#序65000
有水	ybuv#序65000
指责	vize#序65000
陈瑞	ifrv#序65000
国美	gomz#序65000
巢湖	ikhu#序65000
见见	jmjm#序65000
声说	uguo#序65000
直说	viuo#序65000
帮人	bhrf#序65000
时段	uidr#序65000
有名	ybmy#序65000
要快	ykky#序65000
打炮	dapk#序65000
城一	igyi#序65000
总算	zssr#序65000
了该	legl#序65000
上好	uhhk#序65000
与我	yuwo#序65000
北平	bzpy#序65000
诸多	vudo#序65000
深入	ufru#序65000
钱多	qmdo#序65000
金莎	jnua#序65000
陛下	bixw#序65000
并按	byan#序65000
立案	lian#序65000
出事	iuui#序65000
闹心	nkxn#序65000
一处	yiiu#序65000
会送	hvss#序65000
别打	bxda#序65000
记不	jibu#序65000
一街	yijx#序65000
变身	bmuf#序65000
基站	jivj#序65000
京城	jyig#序65000
初级	iuji#序65000
导向	dkxd#序65000
扫地	skdi#序65000
人品	rfpn#序65000
是满	uimj#序65000
销号	xchk#序65000
祖父	zufu#序65000
过吧	goba#序65000
竹子	vuzi#序65000
几率	jilv#序65000
是错	uico#序65000
全不	qrbu#序65000
取一	quyi#序65000
干那	gjna#序65000
全名	qrmy#序65000
超速	iksu#序65000
移到	yidk#序65000
时效	uixc#序65000
十倍	uibz#序65000
交上	jcuh#序65000
战队	vjdv#序65000
储蓄	iuxu#序65000
好找	hkvk#序65000
重来	vsll#序65000
预警	yujy#序65000
都出	dbiu#序65000
录到	ludk#序65000
会经	hvjy#序65000
哪呢	nane#序65000
得交	dejc#序65000
近来	jnll#序65000
失效	uixc#序65000
些有	xxyb#序65000
云端	ypdr#序65000
无关	wugr#序65000
浮夸	fukw#序65000
已到	yidk#序65000
制服	vifu#序65000
无缘	wuyr#序65000
血压	xtya#序65000
想考	xdkk#序65000
视为	uiwz#序65000
是快	uiky#序65000
去住	quvu#序65000
活到	hodk#序65000
在帮	zlbh#序65000
发动	fads#序65000
鸟叔	ncuu#序65000
福安	fuan#序65000
来段	lldr#序65000
误导	wudk#序65000
为是	wzui#序65000
安安	anan#序65000
天道	tmdk#序65000
落到	lodk#序65000
要将	ykjd#序65000
物价	wujw#序65000
喊道	hjdk#序65000
叫上	jcuh#序65000
一箱	yixd#序65000
笨啊	bfaa#序65000
时都	uidb#序65000
与他	yuta#序65000
已出	yiiu#序65000
就近	jqjn#序65000
有害	ybhl#序65000
脚上	jcuh#序65000
去核	quhe#序65000
稀罕	xihj#序65000
到点	dkdm#序65000
响应	xdyy#序65000
会考	hvkk#序65000
香味	xdwz#序65000
被迫	bzpo#序65000
携手	xxub#序65000
事事	uiui#序65000
金沙	jnua#序65000
会先	hvxm#序65000
小型	xcxy#序65000
山药	ujyk#序65000
听换	tyhr#序65000
支队	vidv#序65000
之星	vixy#序65000
皮带	pidl#序65000
一通	yits#序65000
翻身	fjuf#序65000
向西	xdxi#序65000
墙角	qdjc#序65000
度数	duuu#序65000
你受	niub#序65000
费都	fzdb#序65000
钱儿	qmer#序65000
中海	vshl#序65000
太早	tlzk#序65000
学呀	xtya#序65000
红灯	hsdg#序65000
保住	bkvu#序65000
初始	iuui#序65000
子也	ziye#序65000
冒着	mkve#序65000
婷美	tymz#序65000
斯卡	sika#序65000
叫到	jcdk#序65000
冰雹	bybk#序65000
输错	uuco#序65000
口渴	kbke#序65000
淡水	djuv#序65000
要素	yksu#序65000
一向	yixd#序65000
星雨	xyyu#序65000
可笑	kexc#序65000
边在	bmzl#序65000
见着	jmve#序65000
岸边	anbm#序65000
柳树	lquu#序65000
武侠	wuxw#序65000
提下	tixw#序65000
金黄	jnhd#序65000
触摸	iumo#序65000
已接	yijx#序65000
钓到	dcdk#序65000
搞好	gkhk#序65000
走得	zbde#序65000
占到	vjdk#序65000
几楼	jilb#序65000
烂了	ljle#序65000
没定	mzdy#序65000
几颗	jike#序65000
号段	hkdr#序65000
欢快	hrky#序65000
眼影	yjyy#序65000
下山	xwuj#序65000
路路	lulu#序65000
纸条	vitc#序65000
西装	xivd#序65000
亳州	bovb#序65000
狗咬	gbyk#序65000
也开	yekl#序65000
五好	wuhk#序65000
就进	jqjn#序65000
有也	ybye#序65000
柱子	vuzi#序65000
按按	anan#序65000
抱住	bkvu#序65000
富人	furf#序65000
月我	ytwo#序65000
富有	fuyb#序65000
财年	clnm#序65000
几声	jiug#序65000
睫毛	jxmk#序65000
卖淫	mlyn#序65000
重返	isfj#序65000
和田	hetm#序65000
想为	xdwz#序65000
了结	lcjx#序65000
补了	bule#序65000
交行	jchh#序65000
合照	hevk#序65000
一进	yijn#序65000
需开	xukl#序65000
慢性	mjxy#序65000
倡导	ihdk#序65000
体位	tiwz#序65000
一金	yijn#序65000
艺校	yixc#序65000
一买	yiml#序65000
交接	jcjx#序65000
域名	yumy#序65000
饥饿	jiee#序65000
永州	ysvb#序65000
一见	yijm#序65000
地步	dibu#序65000
明道	mydk#序65000
出账	iuvh#序65000
脱贫	topn#序65000
字典	zidm#序65000
招募	vkmu#序65000
利亚	liya#序65000
他坐	tazo#序65000
青草	qyck#序65000
猫咪	mkmi#序65000
中还	vshl#序65000
李安	lian#序65000
孤岛	gudk#序65000
老来	lkll#序65000
西餐	xicj#序65000
鲫鱼	jiyu#序65000
倍数	bzuu#序65000
鸡爪	jivk#序65000
打倒	dadk#序65000
一减	yijm#序65000
既不	jibu#序65000
客观	kegr#序65000
有情	ybqy#序65000
昌吉	ihji#序65000
一单	yidj#序65000
对家	dvjw#序65000
老爹	lkdx#序65000
次都	cidb#序65000
立在	lizl#序65000
洗个	xige#序65000
西山	xiuj#序65000
前二	qmer#序65000
时为	uiwz#序65000
是蛮	uimj#序65000
洗脑	xink#序65000
满怀	mjhy#序65000
轰动	hsds#序65000
李大	lida#序65000
假冒	jwmk#序65000
加剧	jwju#序65000
号召	hkvk#序65000
教导	jcdk#序65000
了外	lewl#序65000
之道	vidk#序65000
地道	didk#序65000
去时	quui#序65000
有幸	ybxy#序65000
我抽	woib#序65000
姚晨	ykif#序65000
郭静	gojy#序65000
只说	viuo#序65000
低点	didm#序65000
八周	bavb#序65000
演得	yjde#序65000
夜快	yeky#序65000
离了	lile#序65000
齐全	qiqr#序65000
好到	hkdk#序65000
大报	dabk#序65000
巩固	gsgu#序65000
直觉	vijt#序65000
运转	ypvr#序65000
之父	vifu#序65000
记在	jizl#序65000
跳槽	tcck#序65000
志明	vimy#序65000
黄豆	hddb#序65000
起购	qigb#序65000
斧头	futb#序65000
是蓝	uilj#序65000
约我	ytwo#序65000
文凭	wfpy#序65000
要新	ykxn#序65000
区是	quui#序65000
修一	xqyi#序65000
气垫	qidm#序65000
上行	uhxy#序65000
不慎	buuf#序65000
寒风	hjfg#序65000
回放	hvfh#序65000
郴州	ifvb#序65000
等大	dgda#序65000
再补	zlbu#序65000
期盼	qipj#序65000
和规	hegv#序65000
宣城	xrig#序65000
郭靖	gojy#序65000
进我	jnwo#序65000
催促	cvcu#序65000
越野	ytye#序65000
易购	yigb#序65000
贱货	jmho#序65000
永定	ysdy#序65000
小片	xcpm#序65000
昼夜	vbye#序65000
游行	ybxy#序65000
对儿	dver#序65000
堵了	dule#序65000
河道	hedk#序65000
去化	quhw#序65000
理智	livi#序65000
几步	jibu#序65000
大到	dadk#序65000
讲点	jddm#序65000
驾到	jwdk#序65000
超高	ikgk#序65000
拿这	nave#序65000
他爹	tadx#序65000
晓东	xcds#序65000
先上	xmuh#序65000
双待	uddl#序65000
缅甸	mmdm#序65000
佩戴	pzdl#序65000
白狐	blhu#序65000
钱会	qmhv#序65000
得挺	dety#序65000
是卡	uika#序65000
纪律	jilv#序65000
起初	qiiu#序65000
迁就	qmjq#序65000
好考	hkkk#序65000
只对	vidv#序65000
小东	xcds#序65000
前儿	qmer#序65000
半路	bjlu#序65000
超多	ikdo#序65000
期满	qimj#序65000
李亚	liya#序65000
自觉	zijt#序65000
致富	vifu#序65000
聊斋	lcvl#序65000
出示	iuui#序65000
里带	lidl#序65000
个代	gedl#序65000
在世	zlui#序65000
迟早	iizk#序65000
异界	yijx#序65000
无价	wujw#序65000
大炮	dapk#序65000
姻缘	ynyr#序65000
多天	dotm#序65000
又跑	ybpk#序65000
情深	qyuf#序65000
试题	uiti#序65000
一刀	yidk#序65000
十条	uitc#序65000
在市	zlui#序65000
住这	vuve#序65000
说错	uoco#序65000
余元	yuyr#序65000
也到	yedk#序65000
之神	viuf#序65000
再是	zlui#序65000
托福	tofu#序65000
莲子	lmzi#序65000
事有	uiyb#序65000
陈妍	ifyj#序65000
互打	huda#序65000
几名	jimy#序65000
木材	mucl#序65000
十位	uiwz#序65000
解到	jxdk#序65000
杨明	yhmy#序65000
漩涡	xrwo#序65000
蒸发	vgfa#序65000
去拉	qula#序65000
二元	eryr#序65000
极大	jida#序65000
阴毛	ynmk#序65000
震荡	vfdh#序65000
四条	sitc#序65000
他非	tafz#序65000
是取	uiqu#序65000
文名	wfmy#序65000
去石	quui#序65000
奢侈	ueii#序65000
孵化	fuhw#序65000
负债	fuvl#序65000
家暴	jwbk#序65000
潇湘	xcxd#序65000
大招	davk#序65000
地貌	dimk#序65000
苦逼	kubi#序65000
晚睡	wjuv#序65000
有业	ybye#序65000
手柄	ubby#序65000
几大	jida#序65000
大包	dabk#序65000
去点	qudm#序65000
高阳	gkyh#序65000
四兆	sivk#序65000
军装	jpvd#序65000
几周	jivb#序65000
茂密	mkmi#序65000
起草	qick#序65000
时事	uiui#序65000
艺考	yikk#序65000
为代	wzdl#序65000
贝宁	bzny#序65000
账务	vhwu#序65000
会哭	hvku#序65000
下看	xwkj#序65000
沙县	uaxm#序65000
公关	gsgr#序65000
却说	qtuo#序65000
炸药	vayk#序65000
立了	lile#序65000
战舰	vjjm#序65000
退换	tvhr#序65000
逝世	uiui#序65000
喝到	hedk#序65000
七到	qidk#序65000
入到	rudk#序65000
五家	wujw#序65000
街口	jxkb#序65000
合规	hegv#序65000
声乐	ugyt#序65000
征税	vguv#序65000
毫不	hkbu#序65000
挺美	tymz#序65000
唱到	ihdk#序65000
几座	jizo#序65000
聊些	lcxx#序65000
愿得	yrde#序65000
运送	ypss#序65000
近况	jnkd#序65000
多讲	dojd#序65000
与她	yuta#序65000
五官	wugr#序65000
冤孽	yrnx#序65000
底部	dibu#序65000
那句	naju#序65000
我顶	wody#序65000
立志	livi#序65000
公馆	gsgr#序65000
腿儿	tver#序65000
器材	qicl#序65000
牧民	mumn#序65000
幅画	fuhw#序65000
一并	yiby#序65000
凌空	lyks#序65000
想从	xdcs#序65000
一招	yivk#序65000
嫁到	jwdk#序65000
还包	hlbk#序65000
既要	jiyk#序65000
思科	sike#序65000
一如	yiru#序65000
机车	jiie#序65000
起出	qiiu#序65000
容貌	rsmk#序65000
江阴	jdyn#序65000
灵通	lyts#序65000
奇瑞	qirv#序65000
那棵	nake#序65000
歇着	xxve#序65000
没骗	mzpm#序65000
旷课	kdke#序65000
没对	mzdv#序65000
蛋白	djbl#序65000
成大	igda#序65000
重回	vshv#序65000
抚州	fuvb#序65000
不笨	bubf#序65000
半径	bjjy#序65000
荔枝	livi#序65000
观测	grce#序65000
闪着	ujve#序65000
机要	jiyk#序65000
童声	tsug#序65000
匹马	pima#序65000
就满	jqmj#序65000
带饭	dlfj#序65000
叫道	jcdk#序65000
几何	jihe#序65000
之名	vimy#序65000
演到	yjdk#序65000
新路	xnlu#序65000
多些	doxx#序65000
以进	yijn#序65000
后去	hbqu#序65000
右眼	ybyj#序65000
前端	qmdr#序65000
为师	wzui#序65000
男声	njug#序65000
珍藏	vfch#序65000
背书	bzuu#序65000
一转	yivr#序65000
严禁	yjjn#序65000
喂奶	wznl#序65000
急切	jiqx#序65000
摊上	tjuh#序65000
界限	jxxm#序65000
过快	goky#序65000
带入	dlru#序65000
用个	ysge#序65000
唱戏	ihxi#序65000
一幺	yiyk#序65000
池子	iizi#序65000
一要	yiyk#序65000
剧照	juvk#序65000
医大	yida#序65000
一变	yibm#序65000
房门	fhmf#序65000
伊宁	yiny#序65000
知乎	vihu#序65000
吴家	wujw#序65000
富美	fumz#序65000
前段	qmdr#序65000
南城	njig#序65000
易经	yijy#序65000
是游	uiyb#序65000
小虾	xcxw#序65000
是软	uirr#序65000
待到	dldk#序65000
小波	xcbo#序65000
李强	liqd#序65000
买双	mlud#序65000
关照	grvk#序65000
周刊	vbkj#序65000
挥霍	hvho#序65000
揭晓	jxxc#序65000
避暑	biuu#序65000
趣事	quui#序65000
现这	xmve#序65000
少多	ukdo#序65000
家老	jwlk#序65000
嘉陵	jwly#序65000
移除	yiiu#序65000
严寒	yjhj#序65000
处长	iuvh#序65000
错觉	cojt#序65000
我丑	woib#序65000
与上	yuuh#序65000
去以	quyi#序65000
要会	ykhv#序65000
是跑	uipk#序65000
吃些	iixx#序65000
绒毛	rsmk#序65000
有定	ybdy#序65000
播首	boub#序65000
乞讨	qitk#序65000
凉菜	ldcl#序65000
大娘	dand#序65000
熄灭	ximx#序65000
眼科	yjke#序65000
迎面	yymm#序65000
有经	ybjy#序65000
勇哥	ysge#序65000
几科	jike#序65000
仇人	ibrf#序65000
老太	lktl#序65000
便在	bmzl#序65000
来安	llan#序65000
些新	xxxn#序65000
他作	tazo#序65000
小虫	xcis#序65000
力大	lida#序65000
和要	heyk#序65000
卫冕	wzmm#序65000
微带	wzdl#序65000
永明	ysmy#序65000
都哭	dbku#序65000
璐璐	lulu#序65000
豆沙	dbua#序65000
比在	bizl#序65000
金大	jnda#序65000
喘气	irqi#序65000
文华	wfhw#序65000
冰毒	bydu#序65000
天到	tmdk#序65000
之最	vizv#序65000
生说	uguo#序65000
哪句	naju#序65000
里买	liml#序65000
度了	dule#序65000
是城	uiig#序65000
吭声	kgug#序65000
见这	jmve#序65000
已达	yida#序65000
场戏	ihxi#序65000
献上	xmuh#序65000
起早	qizk#序65000
期都	qidb#序65000
执导	vidk#序65000
金鼎	jndy#序65000
有眼	ybyj#序65000
胆儿	djer#序65000
树苗	uumc#序65000
政法	vgfa#序65000
实实	uiui#序65000
东到	dsdk#序65000
可靠	kekk#序65000
手背	ubbz#序65000
被谁	bzuz#序65000
待售	dlub#序65000
刚接	ghjx#序65000
为家	wzjw#序65000
松动	ssds#序65000
致命	vimy#序65000
集结	jijx#序65000
宴会	yjhv#序65000
素养	suyh#序65000
可到	kedk#序65000
名都	mydb#序65000
几道	jidk#序65000
还考	hlkk#序65000
推车	tvie#序65000
激战	jivj#序65000
高我	gkwo#序65000
刘俊	lqjp#序65000
以大	yida#序65000
录录	lulu#序65000
呼喊	huhj#序65000
小孔	xcks#序65000
珠子	vuzi#序65000
补肾	buuf#序65000
链子	lmzi#序65000
成型	igxy#序65000
鸡毛	jimk#序65000
家宝	jwbk#序65000
与阿	yuaa#序65000
月夜	ytye#序65000
拄着	vuve#序65000
翱翔	aoxd#序65000
路与	luyu#序65000
与张	yuvh#序65000
模电	modm#序65000
秦明	qnmy#序65000
例外	liwl#序65000
宣称	xrig#序65000
屋外	wuwl#序65000
是梦	uimg#序65000
妇人	furf#序65000
批复	pifu#序65000
来带	lldl#序65000
下放	xwfh#序65000
黄家	hdjw#序65000
尽我	jnwo#序65000
值了	vile#序65000
有双	ybud#序65000
路都	ludb#序65000
猪脚	vujc#序65000
路多	ludo#序65000
食指	uivi#序65000
小霞	xcxw#序65000
燕化	yjhw#序65000
属虎	uuhu#序65000
小磊	xclz#序65000
患病	hrby#序65000
港姐	ghjx#序65000
随我	svwo#序65000
奇谭	qitj#序65000
必应	biyy#序65000
飘香	pcxd#序65000
那颗	nake#序65000
字幕	zimu#序65000
先得	xmde#序65000
方阵	fhvf#序65000
个台	getl#序65000
疏忽	uuhu#序65000
解药	jxyk#序65000
飞奔	fzbf#序65000
异乡	yixd#序65000
陈慧	ifhv#序65000
有明	ybmy#序65000
白富	blfu#序65000
和亲	heqn#序65000
闪耀	ujyk#序65000
警服	jyfu#序65000
聋了	lsle#序65000
小巷	xcxd#序65000
武大	wuda#序65000
在实	zlui#序65000
一顶	yidy#序65000
七毛	qimk#序65000
严谨	yjjn#序65000
备好	bzhk#序65000
直飞	vifz#序65000
记错	jico#序65000
奥拉	aola#序65000
五对	wudv#序65000
养病	yhby#序65000
刘丹	lqdj#序65000
一桶	yits#序65000
挤到	jidk#序65000
会算	hvsr#序65000
助教	vujc#序65000
楼顶	lbdy#序65000
直呼	vihu#序65000
迪厅	dity#序65000
中会	vshv#序65000
