---config@码表分类=主码-系统码表
---config@允许编辑=否
---config@码表别名=系统单字
的	debu#序999516
兆	vced#序998929
远	yrze#序998928
申	ufll#序998927
般	bjvy#序998926
衣	yiwy#序998925
米	midm#序998924
热	refh#序998923
毛	mcpv#序998922
离	liwd#序998921
载	zdui#序998920
差	ciyg#序998919
差	iayg#序998918
差	idyg#序998917
课	keyg#序998916
据	jufk#序998915
航	hhvj#序998914
根	gfmg#序998913
备	bwwt#序998912
置	visq#序998911
容	rsbk#序998910
满	mjdl#序998909
球	qqwq#序998908
功	gsgl#序998907
跑	pczs#序998906
兴	xkxb#序998905
坐	zort#序998904
推	tvff#序998903
婆	podn#序998902
拉	lafl#序998901
赔	pwkk#序998900
各	gewk#序998899
酒	jqdy#序998898
并	bkbk#序998897
脑	ncok#序998896
底	digd#序998895
账	vhki#序998894
低	dird#序998893
厅	tkid#序998892
河	hedk#序998891
统	tsse#序998890
菜	cdcm#序998889
村	cymc#序998888
未	wwan#序998887
评	pkyp#序998886
排	pdff#序998885
识	uiyb#序998884
识	viyb#序998883
存	cyuz#序998882
扣	kzfk#序998881
失	uipf#序998880
停	tkrd#序998879
约	ycsu#序998878
约	ytsu#序998877
穿	irby#序998876
掉	dnfu#序998875
希	xixj#序998874
介	jprl#序998873
刘	lqwd#序998872
由	yzla#序998871
频	pbvr#序998870
段	drpy#序998869
咨	zidk#序998868
青	qkfo#序998867
宽	krbe#序998866
复	fupw#序998865
懂	dsxv#序998864
必	bidd#序998863
往	whiv#序998862
烦	fjhr#序998861
剧	juud#序998860
优	yzry#序998859
久	jqpn#序998858
至	viat#序998857
随	svez#序998856
积	jihb#序998855
政	vgvw#序998854
指	vifo#序998853
属	uuuy#序998852
属	vuuy#序998851
赛	sdbr#序998850
预	yusr#序998849
母	muvd#序998848
夜	yewn#序998847
财	cdkc#序998846
喂	wwkn#序998845
慢	mjxy#序998844
速	suzu#序998843
喝	hekv#序998842
喝	yekv#序998841
型	xkkt#序998840
婚	hyno#序998839
步	buvp#序998838
祝	vupe#序998837
质	vipr#序998836
显	xmoy#序998835
企	qirv#序998834
术	uumd#序998833
术	vumd#序998832
战	vjlg#序998831
易	yiow#序998830
养	yhyl#序998829
操	ccfm#序998828
害	hdbk#序998827
黑	hwlh#序998826
楼	lzmn#序998825
规	gvfe#序998824
陈	ifed#序998823
深	ufdm#序998822
云	yyes#序998821
队	dver#序998820
室	uibt#序998819
助	vuql#序998818
拨	bofd#序998817
呐	nakn#序998816
呐	nekn#序998815
尔	erdx#序998814
春	iyfo#序998813
展	vjun#序998812
呗	bdkr#序998811
呗	bwkr#序998810
立	liwa#序998809
布	buuj#序998808
标	bnmx#序998807
句	jubk#序998806
怕	paxb#序998805
团	trkc#序998804
德	deix#序998803
技	jify#序998802
拍	pdfb#序998801
决	jtdg#序998800
概	gdmv#序998799
留	lqpt#序998798
绍	ucsk#序998797
麻	magm#序998796
妹	mwnw#序998795
切	qpqd#序998794
退	tvzg#序998793
蛋	djvi#序998792
忙	mhxw#序998791
许	xuyw#序998790
此	civb#序998789
洗	xide#序998788
斯	siqj#序998787
案	anbm#序998786
领	lkrr#序998785
香	xlho#序998784
议	yiyy#序998783
忘	whwx#序998782
父	fubx#序998781
登	dgva#序998780
社	uept#序998779
轻	qkig#序998778
模	momd#序998777
模	mumd#序998776
修	xqrp#序998775
床	ilgm#序998774
象	xldn#序998773
充	iswe#序998772
贵	gvvr#序998771
待	ddic#序998770
责	zefr#序998769
鸡	jiyn#序998768
借	jpro#序998767
阿	aaek#序998766
阿	eeek#序998765
奶	ndnn#序998764
石	djak#序998763
石	uiak#序998762
适	uizk#序998761
军	jybi#序998760
克	keue#序998759
奇	jidk#序998758
奇	qidk#序998757
择	vdfl#序998756
择	zefl#序998755
项	xlgr#序998754
历	liil#序998753
丽	liad#序998752
读	duyd#序998751
读	dzyd#序998750
共	gscb#序998749
俩	llrl#序998748
俩	lxrl#序998747
升	ugpc#序998746
牛	nqpl#序998745
供	gsrb#序998744
响	xlkk#序998743
料	lnmu#序998742
值	virq#序998741
双	ulyy#序998740
昨	zoov#序998739
参	cfsp#序998738
参	cjsp#序998737
参	sjsp#序998736
参	ufsp#序998735
密	mibe#序998734
翻	fjpx#序998733
划	hxgd#序998732
否	fzbk#序998731
否	pibk#序998730
彩	cdpp#序998729
众	vsrr#序998728
核	hemr#序998727
核	humr#序998726
街	jpii#序998725
订	dkyd#序998724
鱼	yuda#序998723
梦	mgmx#序998722
致	viaw#序998721
卫	wwea#序998720
卫	wwva#序998719
画	hxak#序998718
逼	bizt#序998717
雪	xtye#序998716
辑	jiie#序998715
爷	yebe#序998714
观	grye#序998713
愿	yrix#序998712
志	viux#序998711
累	lwtx#序998710
贷	ddrr#序998709
闭	bimc#序998708
灯	dghd#序998707
傻	uarw#序998706
终	vssd#序998705
论	lyyb#序998704
创	ilrd#序998703
售	uzrk#序998702
效	xnww#序998701
配	pwyj#序998700
答	davk#序998699
返	fjzy#序998698
药	yccu#序998697
另	lkkl#序998696
采	cdpm#序998695
版	bjpy#序998694
楚	iumr#序998693
挂	gxft#序998692
弄	lswc#序998691
弄	nswc#序998690
货	horr#序998689
际	jiex#序998688
增	zgto#序998687
巴	basl#序998686
巴	bavv#序998685
湖	hudo#序998684
健	jmrz#序998683
精	jkmo#序998682
初	iupd#序998681
古	guuk#序998680
宁	nkbd#序998679
弟	dibp#序998678
造	zczk#序998677
态	tdtx#序998676
闹	ncmj#序998675
康	khgn#序998674
紧	jblx#序998673
环	hrwb#序998672
县	xmqs#序998671
杰	jpmh#序998670
拜	bduf#序998669
座	zogt#序998668
简	jmvo#序998667
股	guoy#序998666
率	lvwu#序998665
率	ukwu#序998664
诶	eiyu#序998663
牌	pdpu#序998662
肉	rznr#序998661
杨	yhmp#序998660
减	jmdk#序998659
背	bwlo#序998658
键	jmjz#序998657
惠	hvax#序998656
细	xist#序998655
形	xkkp#序998654
亚	yaay#序998653
疗	lnbl#序998652
沙	uadu#序998651
词	ciyk#序998650
源	yrdx#序998649
言	yjwk#序998648
须	xupr#序998647
角	jndy#序998646
角	jtdy#序998645
油	yzdy#序998644
景	jkox#序998643
食	sirl#序998642
食	uirl#序998641
食	yirl#序998640
命	mkre#序998639
讯	xyyu#序998638
树	uumc#序998637
馆	gruk#序998636
武	wuav#序998635
突	tubq#序998634
搞	gcfk#序998633
软	rrir#序998632
局	juuk#序998631
抱	bcfs#序998630
农	nsdn#序998629
普	pubo#序998628
左	zoug#序998627
义	yidx#序998626
咋	vakv#序998625
咋	zakv#序998624
咋	zekv#序998623
脸	lmoa#序998622
组	zusq#序998621
跳	tnzd#序998620
尽	jbid#序998619
倒	dcrd#序998618
静	jkfl#序998617
称	ifhx#序998616
称	ighx#序998615
念	nmrx#序998614
负	fudr#序998613
休	xqrm#序998612
苏	sucb#序998611
障	vheu#序998610
育	yuwo#序998609
幸	xktg#序998608
呼	hukh#序998607
永	ysdn#序998606
享	xlwz#序998605
舞	wupl#序998604
急	jidx#序998603
围	wwkw#序998602
治	vidk#序998601
右	yzuk#序998600
礼	lipv#序998599
继	jisv#序998598
断	drmj#序998597
狗	gzqk#序998596
验	yjma#序998595
舍	uerk#序998594
皮	pivy#序998593
职	vieb#序998592
租	zuhq#序998591
坏	hktb#序998590
淘	tcdf#序998589
博	bouc#序998588
范	fjcv#序998587
慧	hvfx#序998586
呵	hekk#序998585
呵	kekk#序998584
板	bjmy#序998583
官	grbk#序998582
铁	tpju#序998581
译	yiyl#序998580
乘	igqn#序998579
乘	ugqn#序998578
唉	aiku#序998577
罗	losx#序998576
维	wwsf#序998575
招	vcfk#序998574
阴	ybeo#序998573
恋	lmwx#序998572
汉	hjdy#序998571
土	tuua#序998570
群	qyyy#序998569
艺	yicv#序998568
护	hufh#序998567
谈	tjyh#序998566
济	jidl#序998565
落	lack#序998564
落	lcck#序998563
落	lock#序998562
络	lcsk#序998561
络	losk#序998560
滚	gydy#序998559
贝	bwkr#序998558
赶	gjtg#序998557
毕	bibu#序998556
陪	pwek#序998555
木	muun#序998554
木	muan#序998553
损	syfr#序998552
余	yurh#序998551
疾	jibu#序998550
练	lmsd#序998549
旅	lvfn#序998548
闻	wfme#序998547
韩	hjuw#序998546
冰	bkdu#序998545
研	yjuk#序998544
补	bupb#序998543
庆	qkgd#序998542
寿	uzfc#序998541
猪	vuqo#序998540
顺	uyir#序998539
宿	subb#序998538
宿	xqbb#序998537
苦	kuck#序998536
诗	uiyc#序998535
兰	ljbs#序998534
汽	qidq#序998533
独	duqi#序998532
遇	yuzy#序998531
足	zukr#序998530
夫	fuan#序998529
邮	yzye#序998528
迎	ykze#序998527
乡	xlvp#序998526
权	qrmy#序998525
输	uuid#序998524
益	yibm#序998523
居	juuk#序998522
玉	yuwd#序998521
末	moan#序998520
降	jlel#序998519
降	xlel#序998518
括	gxfk#序998517
括	kofk#序998516
娘	nlnl#序998515
镇	vfjb#序998514
址	vitv#序998513
草	cccu#序998512
松	ssms#序998511
担	djfd#序998510
靠	kcnf#序998509
承	igvn#序998508
味	wwkw#序998507
状	vldq#序998506
港	ghds#序998505
严	yjyp#序998504
庄	vlgt#序998503
桥	qnml#序998502
极	jimj#序998501
敢	gjvw#序998500
列	lpdd#序998499
岛	dcpe#序998498
宜	yibq#序998497
虽	svki#序998496
击	jiak#序998495
破	pouy#序998494
绿	lusu#序998493
绿	lvsu#序998492
依	yiry#序998491
似	sirr#序998490
似	uirr#序998489
笔	bivm#序998488
苹	pgcp#序998487
苹	pkcp#序998486
压	yaid#序998485
腾	tgom#序998484
杀	uaxm#序998483
津	jbdy#序998482
帅	uklj#序998481
获	hocq#序998480
警	jkck#序998479
虑	lvhx#序998478
却	qtte#序998477
怪	gkxt#序998476
奖	jldd#序998475
曾	cgbo#序998474
曾	zgbo#序998473
纪	jisj#序998472
厂	ihap#序998471
奥	aopd#序998470
猫	mcqt#序998469
则	zekd#序998468
愉	yuxd#序998467
笨	bfvb#序998466
庭	tkgz#序998465
孙	syzx#序998464
境	jkte#序998463
唐	thgk#序998462
止	vila#序998461
血	xppm#序998460
血	xtpm#序998459
举	juxl#序998458
丝	siva#序998457
互	huaa#序998456
激	jidw#序998455
聚	juen#序998454
哇	wakt#序998453
夏	xxaw#序998452
漫	mjdy#序998451
漂	pndx#序998450
亿	yirv#序998449
史	uiln#序998448
启	qihk#序998447
蓝	ljcm#序998446
季	jihz#序998445
怀	hkxb#序998444
引	ybgl#序998443
印	ybpe#序998442
脚	jnoe#序998441
绑	bhse#序998440
浪	lhdl#序998439
争	vgdl#序998438
川	irpl#序998437
波	body#序998436
胡	huuo#序998435
绝	jtsb#序998434
皇	hlbw#序998433
晨	ifon#序998432
竟	jkle#序998431
朝	icuo#序998430
朝	vcuo#序998429
势	uifl#序998428
田	tmku#序998427
荐	jmcz#序998426
遍	bmzc#序998425
究	jqbj#序998424
豆	dzaa#序998423
吴	wukt#序998422
富	fubt#序998421
尾	wwum#序998420
尾	yium#序998419
姓	xknu#序998418
吉	jiuk#序998417
顾	guir#序998416
铃	lkjs#序998415
冬	dswd#序998414
府	fugc#序998413
含	hjrk#序998412
秋	qqhh#序998411
冲	isdv#序998410
控	ksfg#序998409
痛	tsby#序998408
即	jige#序998407
酷	kuyk#序998406
防	fhef#序998405
刻	kewd#序998404
追	dvzk#序998403
追	vvzk#序998402
秀	xqhn#序998401
顶	dkdr#序998400
疼	tgbd#序998399
烧	uchw#序998398
束	uuan#序998397
乎	hupl#序998396
监	jmlm#序998395
摄	npfy#序998394
摄	uefy#序998393
赠	zgko#序998392
洋	yhdy#序998391
层	cgus#序998390
救	jqqw#序998389
例	lird#序998388
测	cedd#序998387
郑	vgbe#序998386
仅	jbry#序998385
伟	wwrw#序998384
骗	pmmc#序998383
哭	kukq#序998382
审	ufbu#序998381
盘	pjvm#序998380
龄	lkvs#序998379
箱	xlvo#序998378
宾	bbbb#序998377
晓	xnow#序998376
童	tsll#序998375
叶	xpku#序998374
叶	yeku#序998373
雄	xsuf#序998372
构	gzms#序998371
羊	yhbl#序998370
灵	lkeh#序998369
欠	qmdr#序998368
粉	ffmd#序998367
噢	ookd#序998366
某	mzgm#序998365
材	cdmc#序998364
忽	huwx#序998363
委	wwhn#序998362
赵	vctx#序998361
净	jkdl#序998360
端	drle#序998359
姑	gunk#序998358
临	lbll#序998357
圈	jrkv#序998356
圈	qrkv#序998355
律	lviy#序998354
检	jmma#序998353
佳	jxrt#序998352
抢	igfv#序998351
抢	qlfv#序998350
敬	jkcw#序998349
剩	ugqd#序998348
厉	liiw#序998347
央	yhlg#序998346
藏	chci#序998345
藏	zhci#序998344
堂	thxt#序998343
典	dmlb#序998342
谱	puyo#序998341
疑	nibr#序998340
疑	yibr#序998339
针	vfju#序998338
歉	qmbr#序998337
训	xyyi#序998336
副	fuad#序998335
良	lldg#序998334
估	gurk#序998333
融	rsai#序998332
烟	yjhd#序998331
秦	qbfh#序998330
素	sufx#序998329
刷	uxud#序998328
爆	bchu#序998327
厦	uaiw#序998326
厦	xxiw#序998325
摇	ycff#序998324
困	kykm#序998323
峰	fgef#序998322
井	jkal#序998321
鸟	nnpa#序998320
鸟	nnwd#序998319
鸟	dnpa#序998318
鸟	dnwd#序998317
陆	lqej#序998316
陆	luej#序998315
兵	bkqb#序998314
暖	nroy#序998313
页	year#序998312
熟	uuwh#序998311
熟	uzwh#序998310
档	dhme#序998309
坚	jmlt#序998308
辆	llil#序998307
旁	phwf#序998306
详	xlyy#序998305
暂	zjio#序998304
折	uefj#序998303
折	vefj#序998302
策	cevn#序998301
圣	ugyt#序998300
族	zufu#序998299
露	luyk#序998298
露	lzyk#序998297
派	pddn#序998296
乱	lrqv#序998295
嘴	zvky#序998294
施	uify#序998293
肥	fwob#序998292
梅	mwmm#序998291
魔	mogg#序998290
牙	yaap#序998289
妇	fune#序998288
徐	xuih#序998287
伦	lyrb#序998286
湾	wjdg#序998285
鬼	gvps#序998284
屋	wuut#序998283
鞋	xpgt#序998282
冒	mcoo#序998281
冒	mcko#序998280
冒	mooo#序998279
冒	moko#序998278
架	jxlm#序998277
讨	tcyc#序998276
善	ujyk#序998275
签	qmva#序998274
盖	gdym#序998273
盖	geym#序998272
抓	vxfv#序998271
托	tofq#序998270
途	tuzh#序998269
威	wwwn#序998268
威	wwad#序998267
琴	qbwv#序998266
船	irvk#序998265
嘉	jxuk#序998264
恩	enkx#序998263
屁	piub#序998262
吸	xikj#序998261
虎	huhj#序998260
券	qrjd#序998259
券	xrjd#序998258
尊	zybc#序998257
舒	uurl#序998256
纸	visu#序998255
汤	thdp#序998254
镜	jkje#序998253
尼	niub#序998252
睛	jkoo#序998251
荣	rscm#序998250
宇	yuby#序998249
颜	yjir#序998248
伙	horh#序998247
屏	bkuk#序998246
屏	pkuk#序998245
雅	yayf#序998244
窗	ilbw#序998243
绩	jisr#序998242
劲	jbvl#序998241
劲	jkvl#序998240
贴	tpkk#序998239
递	dizp#序998238
兄	xske#序998237
毒	dufm#序998236
铺	pujf#序998235
齐	qiwl#序998234
璃	liwd#序998233
狐	huqg#序998232
洲	vzdl#序998231
洲	vzdv#序998230
耳	eraa#序998229
误	wuyt#序998228
透	tzzn#序998227
斗	dzdu#序998226
泰	tdfu#序998225
泉	qrbu#序998224
批	pifb#序998223
玻	bowy#序998222
雷	lwyt#序998221
瓜	gxpn#序998220
席	xigj#序998219
骂	makm#序998218
野	yell#序998217
碰	pguy#序998216
迪	dizy#序998215
固	gukk#序998214
协	xpub#序998213
锅	gojn#序998212
