一万	yiwj
上等	uhdg
上策	uhce
上算	uhsr
上篇	uhpm
上级	uhji
上线	uhxm
上网	uhwh
上翘	uhqn
上联	uhlm
上肢	uhvi
上膛	uhth
上色	uhse
上苍	uhch
上药	uhyc
上菜	uhcd
上行	uhxk
上街	uhjp
上衣	uhyi
上装	uhvl
上证	uhvg
上诉	uhsu
上课	uhke
上调	uhtn
上路	uhlu
上身	uhuf
上车	uhie
上边	uhbm
上进	uhjb
上述	uhuu
上部	uhbu
上钩	uhgz
上锁	uhso
上门	uhmf
上阵	uhvf
上面	uhmm
上颌	uhhe
上颚	uhee
上饶	uhrc
上马	uhma
下个	xxge
下乘	xxig
下乡	xxxl
下了	xxle
下令	xxlk
下体	xxti
下作	xxzo
下凡	xxfj
下列	xxlp
下午	xxwu
下单	xxdj
下厨	xxiu
下去	xxqu
下发	xxfa
下句	xxju
下台	xxtd
下同	xxts
下周	xxvz
下回	xxhv
下图	xxtu
下场	xxih
下坠	xxvv
下坡	xxpo
下垂	xxiv
下头	xxtz
下套	xxtc
下定	xxdk
下家	xxjx
下层	xxcg
下届	xxjp
下属	xxuu
下山	xxuj
下岗	xxgh
下巴	xxba
下床	xxil
下手	xxuz
下拉	xxla
下排	xxpd
下探	xxtj
下文	xxwf
下方	xxfh
下旬	xxxy
下月	xxyt
下来	xxld
下标	xxbn
下框	xxkl
下棋	xxqi
下楼	xxlz
下榻	xxta
下次	xxci
下水	xxuv
下沉	xxif
下注	xxvu
下流	xxlq
下浮	xxfu
下海	xxhd
下游	xxyz
下潜	xxqm
下班	xxbj
下盘	xxpj
下端	xxdr
下笔	xxbi
下等	xxdg
下策	xxce
下线	xxxm
下联	xxlm
下肚	xxdu
下肢	xxvi
下脚	xxjn
下落	xxlo
下葬	xxzh
下行	xxxk
下设	xxue
下课	xxke
下调	xxtn
下贱	xxjm
下跌	xxdp
下跪	xxgv
下身	xxuf
下车	xxie
下载	xxzd
下边	xxbm
下达	xxda
下部	xxbu
下酒	xxjq
下铺	xxpu
下降	xxjl
下雨	xxyu
下雪	xxxt
下面	xxmm
下页	xxye
下颌	xxhe
下颚	xxee
下风	xxfg
下马	xxma
不久	bujq
不买	bumd
不予	buyu
不二	buer
不仅	bujb
不会	buhv
不但	budj
不信	buxb
不做	buzo
不停	butk
不光	bugl
不免	bumm
不全	buqr
不公	bugs
不冷	bulg
不准	buvy
不凡	bufj
不到	budc
不去	buqu
不变	bubm
不同	buts
不含	buhj
不和	buhe
不哭	buku
不图	butu
不在	buzd
不坏	buhk
不堪	bukj
不备	bubw
不外	buwd
不多	budo
不够	bugz
不大	buda
不好	buhc
不如	buru
不妙	bumn
不妥	buto
不妨	bufh
不学	buxt
不安	buan
不宜	buyi
不容	burs
不对	budv
不小	buxn
不少	buuc
不屑	buxp
不巧	buqn
不差	buia
不平	bupk
不应	buyk
不当	budh
不很	buhf
不得	bude
不必	bubi
不忍	burf
不忘	buwh
不忙	bumh
不快	bukk
不怕	bupa
不急	buji
不怪	bugk
不悦	buyt
不惜	buxi
不想	buxl
不愁	buiz
不愧	bukv
不愿	buyr
不慌	buhl
不慎	buuf
不懂	buds
不成	buig
不提	buti
不敌	budi
不敢	bugj
不料	buln
不断	budr
不无	buwu
不日	buri
不明	bumk
不是	buui
不曾	bucg
不朽	buxq
不来	buld
不死	busi
不求	buqq
不测	buce
不满	bumj
不灭	bump
不灵	bulk
不热	bure
不然	burj
不爽	buul
不玩	buwj
不理	buli
不用	buys
不由	buyz
不留	bulq
不疼	butg
不符	bufu
不笨	bubf
不等	budg
不算	busr
不管	bugr
不累	bulw
不给	bugw
不缺	buqt
不肯	bukf
不胜	buug
不能	bung
不舍	buue
不良	bull
不菲	bufw
不行	buxk
不要	buyc
不觉	bujt
不解	bujp
不让	burh
不许	buxu
不论	buly
不该	bugd
不说	buuo
不败	bubd
不贵	bugv
不足	buzu
不跟	bugf
不辞	buci
不过	bugo
不还	buhr
不迟	buii
不送	buss
不逊	buxy
不都	budz
不配	bupw
不错	buco
不问	buwf
不限	buxm
不难	bunj
不雅	buya
不顺	buuy
不顾	bugu
不饿	buee
不高	bugc
与否	yufz
丐帮	gdbh
丑女	iznv
丑态	iztd
丑恶	izee
丑角	izjt
丑闻	izwf
丑陋	izlz
专业	vrye
专人	vrrf
专修	vrxq
专刊	vrkj
专列	vrlp
专利	vrli
专卖	vrmd
专员	vryr
专家	vrjx
专属	vruu
专干	vrgj
专座	vrzo
专心	vrxb
专拣	vrjm
专擅	vruj
专政	vrvg
专断	vrdr
专有	vryz
专杀	vrua
专柜	vrgv
专栏	vrlj
专案	vran
专横	vrhg
专注	vrvu
专版	vrbj
专用	vrys
专科	vrke
专程	vrig
专管	vrgr
专线	vrxm
专职	vrvi
专营	vryk
专设	vrue
专访	vrfh
专责	vrze
专车	vrie
专辑	vrji
专递	vrdi
专长	vrih
专门	vrmf
专题	vrti
且不	qpbu
且慢	qpmj
且有	qpyz
且看	qpkj
且说	qpuo
世仇	uiiz
世界	uijp
世道	uidc
丘陵	qqlk
业主	yevu
业余	yeyu
业内	yenw
业务	yewu
业已	yeyi
业界	yejp
业绩	yeji
业者	yeve
业障	yevh
丛林	cslb
丛生	csug
东东	dsds
东亚	dsya
东京	dsjk
东北	dsbw
东升	dsug
东南	dsnj
东坡	dspo
东家	dsjx
东山	dsuj
东方	dsfh
东欧	dsou
东汉	dshj
东海	dshd
东瀛	dsyk
东盟	dsmg
东站	dsvj
东莞	dsgr
东西	dsxi
东路	dslu
东边	dsbm
东部	dsbu
东郭	dsgo
东门	dsmf
东非	dsfw
东风	dsfg
丝带	sidd
丝毫	sihc
丝瓜	sigx
丝绸	siiz
丝袜	siwa
丢下	dqxx
丢丑	dqiz
丢了	dqle
丢人	dqrf
丢到	dqdc
丢失	dqui
丢弃	dqqi
丢掉	dqdn
丢给	dqgw
丢脸	dqlm
丢钱	dqqm
两万	llwj
两下	llxx
两个	llge
两人	llrf
两代	lldd
两位	llww
两侧	llce
两倍	llbw
两全	llqr
两匹	llpi
两千	llqm
两口	llkz
两句	llju
两台	lltd
两名	llmk
两周	llvz
两回	llhv
两国	llgo
两地	lldi
两天	lltm
两头	lltz
两套	lltc
两家	lljx
两对	lldv
两岁	llsv
两岸	llan
两年	llnm
两张	llvh
两弹	lldj
两手	lluz
两把	llba
两排	llpd
两旁	llph
两日	llri
两本	llbf
两条	lltn
两枚	llmw
两样	llyh
两根	llgf
两次	llci
两款	llkr
两步	llbu
两点	lldm
两瓶	llpk
两用	llys
两百	llbd
两盆	llpf
两盒	llhe
两盘	llpj
两眼	llyj
两种	llvs
两端	lldr
两篇	llpm
两米	llmi
两类	lllw
两翼	llyi
两者	llve
两脚	lljn
两腿	lltv
两臂	llbi
两行	llhh
两辆	llll
两遍	llbm
两道	lldc
两门	llmf
两难	llnj
两面	llmm
两颗	llke
严令	yjlk
严办	yjbj
严密	yjmi
严寒	yjhj
严峻	yjjy
严惩	yjig
严控	yjks
严明	yjmk
严查	yjia
严格	yjge
严禁	yjjb
严肃	yjsu
严谨	yjjb
严酷	yjku
严重	yjvs
严防	yjfh
丧偶	shou
丧命	shmk
丧失	shui
丧气	shqi
丧生	shug
丧礼	shli
丧胆	shdj
丧葬	shzh
丧钟	shvs
个体	geti
个别	gebp
个头	getz
个性	gexk
个把	geba
个数	geuu
个案	gean
个税	geuv
个股	gegu
丫头	yatz
丫环	yahr
中东	vsds
中亚	vsya
中介	vsjp
中伤	vsuh
中俄	vsee
中共	vsgs
中医	vsyi
中午	vswu
中华	vshx
中原	vsyr
中叶	vsye
中听	vstk
中国	vsgo
中场	vsih
中堂	vsth
中外	vswd
中央	vsyh
中奖	vsjl
中学	vsxt
中尉	vsww
中层	vscg
中山	vsuj
中年	vsnm
中德	vsde
中性	vsxk
中招	vsvc
中指	vsvi
中排	vspd
中文	vswf
中断	vsdr
中方	vsfh
中日	vsri
中旬	vsxy
中期	vsqi
中枢	vsuu
中枪	vsql
中档	vsdh
中欧	vsou
中毒	vsdu
中法	vsfa
中波	vsbo
中盘	vspj
中秋	vsqq
中立	vsli
中等	vsdg
中签	vsqm
中篇	vspm
中级	vsji
中线	vsxm
中美	vsmw
中考	vskc
中肯	vskf
中英	vsyk
中行	vshh
中西	vsxi
中路	vslu
中转	vsvr
中途	vstu
中邪	vsxp
中部	vsbu
中锋	vsfg
中间	vsjm
中队	vsdv
中非	vsfw
中韩	vshj
中音	vsyb
中餐	vscj
中饭	vsfj
丰乳	fgru
丰厚	fghz
丰富	fgfu
丰收	fguz
丰润	fgry
丰满	fgmj
丰田	fgtm
丰盈	fgyk
丰盛	fgug
丰硕	fguo
丰碑	fgbw
丰美	fgmw
丰胸	fgxs
丰足	fgzu
丰饶	fgrc
串串	irir
串供	irgs
串口	irkz
串烧	iruc
串联	irlm
串行	irhh
串门	irmf
临产	lbij
临别	lbbp
临到	lbdc
临去	lbqu
临头	lbtz
临帖	lbtp
临床	lbil
临战	lbvj
临摹	lbmo
临时	lbui
临死	lbsi
临潼	lbts
临界	lbjp
临盆	lbpf
临睡	lbuv
临空	lbks
临终	lbvs
临考	lbkc
临行	lbxk
临走	lbzz
临近	lbjb
临门	lbmf
临阵	lbvf
丸子	wjzi
丹东	djds
丹田	djtm
丹砂	djua
丹青	djqk
丹麦	djmd
为主	wwvu
为了	wwle
为人	wwrf
为何	wwhe
为佳	wwjx
为兄	wwxs
为准	wwvy
为啥	wwua
为国	wwgo
为患	wwhr
为本	wwbf
为此	wwci
为民	wwmb
为祸	wwho
为荣	wwrs
为重	wwvs
为难	wwnj
为首	wwuz
主仆	vupu
主任	vurf
主修	vuxq
主公	vugs
主办	vubj
主动	vuds
主卧	vuwo
主场	vuih
主婚	vuhy
主宰	vuzd
主导	vudc
主帅	vuuk
主席	vuxi
主干	vugj
主张	vuvh
主意	vuyi
主打	vuda
主抓	vuvx
主持	vuii
主推	vutv
主播	vubo
主机	vuji
主权	vuqr
主次	vuci
主流	vulq
主演	vuyj
主笔	vubi
主管	vugr
主线	vuxm
主编	vubm
主考	vukc
主营	vuyk
主要	vuyc
主观	vugr
主角	vujt
主语	vuyu
主谋	vumz
主选	vuxr
主页	vuye
主顾	vugu
主频	vupb
主题	vuti
丽日	liri
丽江	lijl
举例	juli
举凡	jufj
举出	juiu
举办	jubj
举动	juds
举国	jugo
举手	juuz
举报	jubc
举措	juco
举止	juvi
举着	juve
举荐	jujm
举行	juxk
举证	juvg
举起	juqi
乃至	ndvi
久仰	jqyh
久别	jqbp
久留	jqlq
久等	jqdg
久违	jqww
义务	yiwu
义女	yinv
之一	viyi
之上	viuh
之下	vixx
之中	vivs
之光	vigl
之内	vinw
之列	vilp
之前	viqm
之后	vihz
之外	viwd
之多	vido
之年	vinm
之战	vivj
之日	viri
之歌	vige
之母	vimu
之策	vice
之类	vilw
之路	vilu
之选	vixr
之门	vimf
之间	vijm
乌云	wuyy
乌纱	wuua
乌贼	wuzw
乌鸦	wuya
乌黑	wuhw
乌龙	wuls
乌龟	wugv
乍得	vade
乍见	vajm
乏味	faww
乐事	leui
乐于	leyu
乐器	ytqi
乐团	yttr
乐园	leyr
乐土	letu
乐子	lezi
乐山	leuj
乐得	lede
乐意	leyi
乐感	ytgj
乐手	ytuz
乐曲	ytqu
乐章	ytvh
乐观	legr
乐谱	ytpu
乐趣	lequ
乐迷	ytmi
乐队	ytdv
乒乓	pkph
乔木	qnmu
乔装	qnvl
乔迁	qnqm
乖乖	gkgk
乖巧	gkqn
乖戾	gkli
乘凉	igll
乘务	igwu
乘坐	igzo
乘客	igke
乘方	igfh
乘早	igzc
乘胜	igug
乘船	igir
乘车	igie
乙方	yifh
乙炔	yiqt
乙肝	yigj
乙醚	yimi
九万	jqwj
九个	jqge
九五	jqwu
九千	jqqm
九天	jqtm
九宫	jqgs
九岁	jqsv
九州	jqvz
九成	jqig
九折	jqve
九月	jqyt
九段	jqdr
九江	jqjl
九百	jqbd
九霄	jqxn
九龙	jqls
乞丐	qigd
乞讨	qitc
也不	yebu
也会	yehv
也别	yebp
也可	yeke
也好	yehc
也对	yedv
也就	yejq
也很	yehf
也得	yedw
也快	yekk
也怪	yegk
也想	yexl
也挺	yetk
也敢	yegj
也是	yeui
也曾	yecg
也有	yeyz
也来	yeld
也用	yeys
也看	yekj
也算	yesr
也罢	yeba
也能	yeng
也行	yexk
也要	yeyc
也许	yexu
也该	yegd
也还	yehd
也都	yedz
也门	yemf
也难	yenj
习作	xizo
习俗	xisu
习性	xixk
习惯	xigr
习武	xiwu
习题	xiti
乡下	xlxx
乡土	xltu
乡愁	xliz
乡村	xlcy
乡民	xlmb
乡绅	xluf
乡镇	xlvf
乡长	xlvh
乡音	xlyb
书上	uuuh
书亭	uutk
书写	uuxp
书刊	uukj
书包	uubc
书卷	uujr
书号	uuhc
书屋	uuwu
书库	uuku
书店	uudm
书房	uufh
书摊	uutj
书斋	uuvd
书本	uubf
书柜	uugv
书桌	uuvo
书法	uufa
书生	uuug
书画	uuhx
书眉	uumw
书社	uuue
书稿	uugc
书签	uuqm
书籍	uuji
书虫	uuis
书记	uuji
书评	uupk
书面	uumm
买主	mdvu
买了	mdle
买入	mdru
买到	mddc
买单	mddj
买卖	mdmd
买家	mdjx
买房	mdfh
买断	mddr
买来	mdld
买盘	mdpj
买票	mdpn
买药	mdyc
买菜	mdcd
买进	mdjb
买通	mdts
乱世	lrui
乱了	lrle
乱伦	lrly
乱写	lrxp
乱动	lrds
乱发	lrfa
乱叫	lrjn
乱套	lrtc
乱局	lrju
乱序	lrxu
乱想	lrxl
乱扯	lrie
乱搞	lrgc
乱摸	lrmo
乱来	lrld
乱用	lrys
乱真	lrvf
乱码	lrma
乱窜	lrcr
乱臣	lrif
乱花	lrhx
乱讲	lrjl
乱说	lruo
乱转	lrvr
乱闯	lril
乱飞	lrfw
乳名	rumk
乳品	rupb
乳头	rutz
乳娘	runl
乳房	rufh
乳母	rumu
乳沟	rugz
乳牛	runq
乳白	rubd
乳罩	ruvc
乳胶	rujn
乳腺	ruxm
乳酪	rulc
乳酸	rusr
乾坤	qmky
乾隆	qmls
了却	lnqt
了得	lnde
了断	lndr
了无	lnwu
了然	lnrj
了解	lnjp
了账	lnvh
予以	yuyi
争先	vgxm
争光	vggl
争创	vgil
争取	vgqu
争吵	vgic
争夺	vgdo
争抢	vgql
争持	vgii
争斗	vgdz
争着	vgve
争端	vgdr
争议	vgyi
争论	vgly
争辩	vgbm
争雄	vgxs
争霸	vgba
事业	uiye
事前	uiqm
事变	uibm
事态	uitd
事情	uiqk
事故	uigu
事项	uixl
二五	erwu
二人	errf
二代	erdd
二位	erww
二元	eryr
二八	erba
二分	erff
二回	erhv
二奶	ernd
二婚	erhy
二度	erdu
二心	erxb
二战	ervj
二房	erfh
二手	eruz
二日	erri
二月	eryt
二期	erqi
二次	erci
二流	erlq
二百	erbd
二等	erdg
二类	erlw
二线	erxm
二者	erve
二胡	erhu
于是	yuui
亏了	kvle
亏待	kvdd
亏心	kvxb
亏损	kvsy
亏本	kvbf
亏欠	kvqm
亏空	kvks
云南	yynj
云吞	yyty
云层	yycg
云彩	yycd
云朵	yydo
云梯	yyti
云海	yyhd
云游	yyyz
云烟	yyyj
云盘	yypj
云端	yydr
云雀	yyqt
云集	yyji
云雾	yywu
云霄	yyxn
云霞	yyxx
互信	huxb
互动	huds
互惠	huhv
互搏	hubo
互派	hupd
互爱	huai
互相	huxl
互联	hulm
互补	hubu
互让	hurh
互访	hufh
互通	huts
五万	wuwj
五个	wuge
五千	wuqm
五天	wutm
五岁	wusv
五彩	wucd
五成	wuig
五折	wuve
五月	wuyt
五次	wuci
五洲	wuvz
五百	wubd
五脏	wuzh
井喷	jkpf
井水	jkuv
亘古	gfgu
亚于	yayu
亚军	yajy
亚太	yatd
亚当	yadh
亚洲	yavz
亚麻	yama
些微	xpww
些许	xpxu
亟待	jidd
亡命	whmk
亡故	whgu
亡灵	whlk
亡魂	whhy
亢奋	khff
交互	jnhu
交付	jnfu
交代	jndd
交出	jniu
交割	jnge
交加	jnjx
交叉	jnia
交友	jnyz
交媾	jngz
交差	jnid
交往	jnwh
交心	jnxb
交恶	jnee
交战	jnvj
交投	jntz
交换	jnhr
交接	jnjp
交易	jnyi
交替	jnti
交流	jnlq
交涉	jnue
交界	jnjp
交给	jngw
交融	jnrs
交行	jnhh
交警	jnjk
交谈	jntj
交货	jnho
交通	jnts
交配	jnpw
交钱	jnqm
交锋	jnfg
交错	jnco
交际	jnji
产业	ijye
产于	ijyu
产值	ijvi
产假	ijjx
产出	ijiu
产前	ijqm
产区	ijqu
产卵	ijlr
产后	ijhz
产品	ijpb
产地	ijdi
产房	ijfh
产期	ijqi
产权	ijqr
产物	ijwu
产生	ijug
产科	ijke
产能	ijng
产自	ijzi
产量	ijll
产销	ijxn
亩产	muij
享乐	xlle
享受	xluz
享用	xlys
京剧	jkju
京城	jkig
京广	jkgl
京族	jkzu
京沪	jkhu
京腔	jkql
亭子	tkzi
亮了	llle
亮光	llgl
亮堂	llth
亮度	lldu
亮相	llxl
亮色	llse
亲临	qblb
亲亲	qbqb
亲人	qbrf
亲信	qbxb
亲切	qbqp
亲历	qbli
亲友	qbyz
亲口	qbkz
亲吻	qbwf
亲和	qbhe
亲善	qbuj
亲嘴	qbzv
亲密	qbmi
亲属	qbuu
亲情	qbqk
亲戚	qbqi
亲昵	qbni
亲朋	qbpg
亲热	qbre
亲爹	qbdp
亲王	qbwh
亲生	qbug
亲眼	qbyj
亲笔	qbbi
亲耳	qber
亲自	qbzi
亲身	qbuf
亲近	qbjb
亵渎	xpdu
亵玩	xpwj
人们	rfmf
人体	rfti
人像	rfxl
人力	rfli
人参	rfuf
人口	rfkz
人员	rfyr
人品	rfpb
人均	rfjy
人大	rfda
人头	rftz
人妖	rfyc
人家	rfjx
人工	rfgs
人影	rfyk
人情	rfqk
人才	rfcd
人文	rfwf
人权	rfqr
人杰	rfjp
人格	rfge
人民	rfmb
人气	rfqi
人流	rflq
人海	rfhd
人渣	rfva
人潮	rfic
人烟	rfyj
人犯	rffj
人生	rfug
人种	rfvs
人称	rfig
人类	rflw
人群	rfqy
人肉	rfrz
人脑	rfnc
人行	rfhh
人选	rfxr
人造	rfzc
人道	rfdc
人间	rfjm
人际	rfji
人马	rfma
什么	ufme
仁兄	rfxs
仁厚	rfhz
仁慈	rfci
仁爱	rfai
仄声	zeug
仅为	jbww
仅仅	jbjb
仅凭	jbpk
仅存	jbcy
仅有	jbyz
仅此	jbci
仅限	jbxm
仆人	purf
仇人	izrf
仇家	izjx
仇怨	izyr
仇恨	izhf
仇敌	izdi
仇杀	izua
仇视	izui
今后	jbhz
今夜	jbye
今天	jbtm
今宵	jbxn
今年	jbnm
今日	jbri
今早	jbzc
今昔	jbxi
今晚	jbwj
今晨	jbif
今朝	jbvc
今生	jbug
介乎	jphu
介于	jpyu
介入	jpru
介怀	jphk
介意	jpyi
介绍	jpuc
仍以	rgyi
仍会	rghv
仍旧	rgjq
仍是	rgui
仍未	rgww
仍然	rgrj
仍能	rgng
仍要	rgyc
从不	csbu
从业	csye
从严	csyj
从中	csvs
从事	csui
从今	csjb
从优	csyz
从何	cshe
从军	csjy
从前	csqm
从头	cstz
从容	csrs
从宽	cskr
从小	csxn
从属	csuu
从政	csvg
从早	cszc
从未	csww
从来	csld
从此	csci
从没	csmw
从犯	csfj
从略	cslt
从简	csjm
从而	cser
从良	csll
从轻	csqk
从速	cssu
仓位	chww
仓促	chcu
仓储	chiu
仓库	chku
仓皇	chhl
仓颉	chjp
仔细	zixi
他人	tarf
他们	tamf
他日	tari
他杀	taua
仗义	vhyi
仗着	vhve
付出	fuiu
付款	fukr
付清	fuqk
付给	fugw
付费	fufw
付钱	fuqm
仙女	xmnv
仙姑	xmgu
仙子	xmzi
仙桃	xmtc
仙翁	xmwg
仙草	xmcc
代为	ddww
代价	ddjx
代办	ddbj
代劳	ddlc
代号	ddhc
代工	ddgs
代征	ddvg
代扣	ddkz
代收	dduz
代替	ddti
代沟	ddgz
代理	ddli
代码	ddma
代笔	ddbi
代管	ddgr
代表	ddbn
代言	ddyj
代词	ddci
代课	ddke
代谢	ddxp
代销	ddxn
令人	lkrf
令尊	lkzy
令爱	lkai
令牌	lkpd
令狐	lkhu
令郎	lklh
以上	yiuh
以下	yixx
以为	yiww
以免	yimm
以内	yinw
以前	yiqm
以及	yiji
以后	yihz
以往	yiwh
以求	yiqq
仪器	yiqi
仪容	yirs
仪表	yibn
仰仗	yhvh
仰卧	yhwo
仰头	yhtz
仰慕	yhmu
仰望	yhwh
仰泳	yhys
仰赖	yhld
仰面	yhmm
价位	jxww
价值	jxvi
价差	jxia
价格	jxge
价款	jxkr
价目	jxmu
价钱	jxqm
任何	rfhe
任免	rfmm
任凭	rfpk
任务	rfwu
任命	rfmk
任性	rfxk
任意	rfyi
任教	rfjn
任用	rfys
任由	rfyz
任职	rfvi
份额	ffee
仿佛	fhfu
仿冒	fhmc
仿效	fhxn
仿照	fhvc
仿造	fhzc
企业	qiye
企图	qitu
企鹅	qiee
伉俪	khli
伊朗	yilh
伏兵	fubk
伏击	fuji
伏案	fuan
伏笔	fubi
伐木	famu
休业	xqye
休假	xqjx
休克	xqke
休学	xqxt
休庭	xqtk
休怪	xqgk
休息	xqxi
休想	xqxl
休战	xqvj
休止	xqvi
休眠	xqmm
休闲	xqxm
众人	vsrf
众多	vsdo
众怒	vsnu
众筹	vsiz
优先	yzxm
优劣	yzlp
优势	yzui
优化	yzhx
优厚	yzhz
优惠	yzhv
优点	yzdm
优秀	yzxq
优美	yzmw
优良	yzll
优质	yzvi
优越	yzyt
优酷	yzku
优雅	yzya
伙伴	hobj
伙同	hots
伙房	hofh
伙计	hoji
伙食	houi
会同	hvts
会后	hvhz
会员	hvyr
会商	hvuh
会场	hvih
会堂	hvth
会客	hvke
会展	hvvj
会徽	hvhv
会所	hvso
会有	hvyz
会玩	hvwj
会用	hvys
会签	hvqm
会考	hvkc
会见	hvjm
会计	kkji
会议	hvyi
会诊	hvvf
会说	hvuo
会谈	hvtj
会费	hvfw
会长	hvvh
会面	hvmm
会餐	hvcj
会馆	hvgr
伟业	wwye
伟哥	wwge
伟大	wwda
传世	irui
传人	irrf
传令	irlk
传入	irru
传出	iriu
传单	irdj
传呼	irhu
传唤	irhr
传奇	irqi
传媒	irmw
传导	irdc
传开	irkd
传扬	iryh
传承	irig
传抄	iric
传授	iruz
传播	irbo
传教	irjn
传来	irld
传染	irrj
传热	irre
传球	irqq
传真	irvf
传神	iruf
传给	irgw
传统	irts
传言	iryj
传讯	irxy
传话	irhx
传说	iruo
传谣	iryc
传输	iruu
传达	irda
传送	irss
传递	irdi
传遍	irbm
传销	irxn
传闻	irwf
伤口	uhkz
伤员	uhyr
伤寒	uhhj
伤心	uhxb
伤怀	uhhk
伤悲	uhbw
伤愈	uhyu
伤感	uhgj
伤残	uhcj
伤疤	uhba
伤病	uhbk
伤痕	uhhf
伤痛	uhts
伤者	uhve
伤风	uhfg
伦常	lyih
伦敦	lydy
伦理	lyli
伪军	wwjy
伪劣	wwlp
伪装	wwvl
伪造	wwzc
伪钞	wwic
伯乐	bole
伯伯	bobo
伯母	bomu
伯爵	bojt
估摸	gumo
估算	gusr
估计	guji
估量	gull
伴侣	bjlv
伴奏	bjzz
伴娘	bjnl
伴舞	bjwu
伴读	bjdu
伴郎	bjlh
伴随	bjsv
伶仃	lkdk
伸出	ufiu
伸到	ufdc
伸展	ufvj
伸开	ufkd
伸张	ufvh
伸手	ufuz
伸缩	ufso
伸腿	uftv
伸进	ufjb
似乎	sihu
伽马	gama
但也	djye
但凡	djfj
但却	djqt
但愿	djyr
但是	djui
但求	djqq
但能	djng
位于	wwyu
位子	wwzi
位置	wwvi
位高	wwgc
低了	dile
低于	diyu
