---config@码表分类=主码-7
---config@允许编辑=是
---config@码表别名=系统唐诗
渭川田家	wwirtmjxdb#序52000
童稚开荆扉	tsvikdjkfwlh#序52000
绿竹入幽径	lvvuruyzjksr#序52000
绿竹入幽径	lvvuruyzjksx#序52000
青萝拂行衣	qklofuxkyifd#序52000
青萝拂行衣	qklofuxkyiod#序52000
青萝拂行衣	qklofuxkyiyd#序52000
欢言得所憩	hryjdesoqiyx#序52000
美酒聊共挥	mwjqlngshvdf#序52000
美酒聊共挥	mwjqlngshvdt#序52000
美酒聊共挥	mwjqlngshvyf#序52000
美酒聊共挥	mwjqlngshvyt#序52000
长歌吟松风	vhgeybssfgpj#序52000
曲尽河星稀	qujbhexkxiah#序52000
曲尽河星稀	qujbhexkxioh#序52000
曲尽河星稀	qujbhexkxirh#序52000
曲尽河星稀	qujbhexkxiuh#序52000
我醉君复乐	wozvjyfulepp#序52000
陶然共忘机	tcrjgswhjiem#序52000
花间一壶酒	hxjmyihujqcd#序52000
举杯邀明月	jubwycmkytdo#序52000
举杯邀明月	jubwycmkytdy#序52000
举杯邀明月	jubwycmkytdp#序52000
举杯邀明月	jubwycmkytxo#序52000
举杯邀明月	jubwycmkytxy#序52000
举杯邀明月	jubwycmkytxp#序52000
对影成三人	dvykigsjrfcp#序52000
对影成三人	dvykigsjrfyp#序52000
月既不解饮	ytjibujpybou#序52000
月既不解饮	ytjibujpybyu#序52000
月既不解饮	ytjibujpybpu#序52000
影徒随我身	yktusvwoufpp#序52000
暂伴月将影	zjbjytjlykop#序52000
暂伴月将影	zjbjytjlykrp#序52000
行乐须及春	xklexujiiyrf#序52000
行乐须及春	xklexujiiyro#序52000
行乐须及春	xklexujiiyrr#序52000
行乐须及春	xklexujiiyxf#序52000
行乐须及春	xklexujiiyxo#序52000
行乐须及春	xklexujiiyxr#序52000
我歌月徘徊	wogeytpdhkpr#序52000
我歌月徘徊	wogeytpdhkpx#序52000
我舞影零乱	wowuyklklrpu#序52000
醒时同交欢	xkuitsjnhryy#序52000
醉后各分散	zvhzgeffsjyw#序52000
永结无情游	ysjpwuqkyzdd#序52000
相期邈云汉	xlqimnyyhjmd#序52000
燕草如碧丝	yjccrubisica#序52000
燕草如碧丝	yjccrubisich#序52000
燕草如碧丝	yjccrubisida#序52000
燕草如碧丝	yjccrubisidh#序52000
燕草如碧丝	yjccrubisiha#序52000
燕草如碧丝	yjccrubisihh#序52000
秦桑低绿枝	qbshdilvvifm#序52000
秦桑低绿枝	qbshdilvvihm#序52000
当君怀归日	dhjyhkgvrixo#序52000
当君怀归日	dhjyhkgvrixr#序52000
当君怀归日	dhjyhkgvrixa#序52000
当君怀归日	dhjyhkgvrixu#序52000
是妾断肠时	uiqpdrihuioo#序52000
是妾断肠时	uiqpdrihuior#序52000
是妾断肠时	uiqpdrihuiro#序52000
是妾断肠时	uiqpdrihuirr#序52000
春风不相识	iyfgbuxluify#序52000
春风不相识	iyfgbuxluioy#序52000
春风不相识	iyfgbuxluiry#序52000
何事入罗帏	heuirulowwrj#序52000
岱宗夫如何	ddzsfuruheur#序52000
齐鲁青未了	qiluqkwwlnwa#序52000
齐鲁青未了	qiluqkwwlnwv#序52000
造化钟神秀	zchxvsufxqzh#序52000
阴阳割昏晓	ybyhgehyxneo#序52000
阴阳割昏晓	ybyhgehyxner#序52000
荡胸生层云	dhxsugcgyyce#序52000
荡胸生层云	dhxsugcgyycs#序52000
决眦入归鸟	jtzirugvnndn#序52000
决眦入归鸟	jtzirugvnndp#序52000
赠卫八处士	zgwwbaiuuiba#序52000
赠卫八处士	zgwwbaiuuibh#序52000
赠卫八处士	zgwwbaiuuibu#序52000
人生不相见	rfugbuxljmpa#序52000
人生不相见	rfugbuxljmpe#序52000
人生不相见	rfugbuxljmpk#序52000
人生不相见	rfugbuxljmpu#序52000
动如参与商	dsrucjyuuhld#序52000
动如参与商	dsrucjyuuhll#序52000
动如参与商	dsrucjyuuhlw#序52000
动如参与商	dsrucjyuuhyd#序52000
动如参与商	dsrucjyuuhyl#序52000
动如参与商	dsrucjyuuhyw#序52000
今夕复何夕	jbxifuhexirp#序52000
共此灯烛光	gscidgvuglbe#序52000
共此灯烛光	gscidgvuglbx#序52000
共此灯烛光	gscidgvuglce#序52000
共此灯烛光	gscidgvuglcx#序52000
少壮能几时	ucvlngjiuixo#序52000
少壮能几时	ucvlngjiuixr#序52000
鬓发各已苍	bbfageyichbc#序52000
鬓发各已苍	bbfageyichic#序52000
访旧半为鬼	fhjqbjwwgvyp#序52000
惊呼热中肠	jkhurevsihxo#序52000
惊呼热中肠	jkhurevsihxy#序52000
焉知二十载	yjvieruizdvg#序52000
焉知二十载	yjvieruizdvi#序52000
重上君子堂	vsuhjyzithpd#序52000
重上君子堂	vsuhjyzithpt#序52000
重上君子堂	vsuhjyzithpx#序52000
昔别君未婚	xibpjywwhycn#序52000
昔别君未婚	xibpjywwhyon#序52000
昔别君未婚	xibpjywwhyrn#序52000
儿女忽成行	ernvhuighhpr#序52000
儿女忽成行	ernvhuighhpx#序52000
怡然敬父执	yirjjkfuvixf#序52000
怡然敬父执	yirjjkfuvixt#序52000
问我来何方	wfwoldhefhkd#序52000
问我来何方	wfwoldhefhkw#序52000
问我来何方	wfwoldhefhmd#序52000
问我来何方	wfwoldhefhmw#序52000
问答乃未已	wfdandwwyika#序52000
问答乃未已	wfdandwwyikv#序52000
问答乃未已	wfdandwwyima#序52000
问答乃未已	wfdandwwyimv#序52000
驱儿罗酒浆	querlojqjlmu#序52000
夜雨剪春韭	yeyujmiyjqdf#序52000
夜雨剪春韭	yeyujmiyjqwf#序52000
新炊间黄粱	xbivjmhllljm#序52000
主称会面难	vuighvmmnjdy#序52000
一举累十觞	yijulwuiuhaj#序52000
一举累十觞	yijulwuiuhhj#序52000
十觞亦不醉	uiuhyibuzvay#序52000
十觞亦不醉	uiuhyibuzvhy#序52000
感子故意长	gjziguyivhxp#序52000
明日隔山岳	mkrigeujytoq#序52000
明日隔山岳	mkrigeujytou#序52000
明日隔山岳	mkrigeujytrq#序52000
明日隔山岳	mkrigeujytru#序52000
世事两茫茫	uiuillmhmhac#序52000
世事两茫茫	uiuillmhmhcc#序52000
世事两茫茫	uiuillmhmhhc#序52000
绝代有佳人	jtddyzjxrfsp#序52000
幽居在空谷	yzjuzdksguub#序52000
幽居在空谷	yzjuzdksguuk#序52000
自云良家女	ziyylljxnvpa#序52000
自云良家女	ziyylljxnvpv#序52000
零落依草木	lkloyiccmuya#序52000
零落依草木	lkloyiccmuyh#序52000
关中昔丧乱	grvsxishlrbu#序52000
关中昔丧乱	grvsxishlrqu#序52000
兄弟遭杀戮	xsdizcualukg#序52000
官高何足论	grgchezulyby#序52000
不得收骨肉	budeuzgurzaa#序52000
不得收骨肉	budeuzgurzak#序52000
不得收骨肉	budeuzgurzau#序52000
不得收骨肉	budeuzgurzha#序52000
不得收骨肉	budeuzgurzhk#序52000
不得收骨肉	budeuzgurzhu#序52000
世情恶衰歇	uiqkeeukxpaq#序52000
世情恶衰歇	uiqkeeukxpcq#序52000
世情恶衰歇	uiqkeeukxphq#序52000
万事随转烛	wjuisvvrvuah#序52000
万事随转烛	wjuisvvrvuhh#序52000
夫婿轻薄儿	fuxuqkboerap#序52000
夫婿轻薄儿	fuxuqkboerep#序52000
夫婿轻薄儿	fuxuqkboerhp#序52000
新人美如玉	xbrfmwruyuja#序52000
新人美如玉	xbrfmwruyujh#序52000
新人美如玉	xbrfmwruyujw#序52000
合昏尚知时	hehyuhviuiro#序52000
合昏尚知时	hehyuhviuirr#序52000
鸳鸯不独宿	yryhbudusunb#序52000
但见新人笑	djjmxbrfxnrv#序52000
那闻旧人哭	nawfjqrfkuek#序52000
那闻旧人哭	nawfjqrfkueq#序52000
在山泉水清	zdujqruvqktd#序52000
在山泉水清	zdujqruvqkud#序52000
出山泉水浊	iuujqruvvocd#序52000
出山泉水浊	iuujqruvvoud#序52000
侍婢卖珠回	uibimdvuhvrk#序52000
牵萝补茅屋	qmlobumcwudu#序52000
牵萝补茅屋	qmlobumcwunu#序52000
摘花不插发	vdhxbuiafafa#序52000
摘花不插发	vdhxbuiafaff#序52000
摘花不插发	vdhxbuiafafv#序52000
摘花不插发	vdhxbuiafafy#序52000
摘花不插发	vdhxbuiafata#序52000
摘花不插发	vdhxbuiafatf#序52000
摘花不插发	vdhxbuiafatv#序52000
摘花不插发	vdhxbuiafaty#序52000
采柏动盈掬	cdbddsykjumf#序52000
采柏动盈掬	cdbddsykjumt#序52000
采柏动盈掬	cdbddsykjuvf#序52000
采柏动盈掬	cdbddsykjuvt#序52000
天寒翠袖薄	tmhjcvxqbcac#序52000
天寒翠袖薄	tmhjcvxqbchc#序52000
日暮倚修竹	rimuyixqvuop#序52000
日暮倚修竹	rimuyixqvuov#序52000
日暮倚修竹	rimuyixqvurp#序52000
日暮倚修竹	rimuyixqvurv#序52000
日暮倚修竹	rimuyixqvuap#序52000
日暮倚修竹	rimuyixqvuav#序52000
日暮倚修竹	rimuyixqvuup#序52000
日暮倚修竹	rimuyixqvuuv#序52000
死别已吞声	sibpyityugdu#序52000
生别常恻恻	ugbpihcecenx#序52000
江南瘴疠地	jlnjvhlididt#序52000
逐客无消息	vukewuxnxizx#序52000
逐客无消息	vukewuxnxizz#序52000
故人入我梦	gurfruwomgwm#序52000
故人入我梦	gurfruwomgwx#序52000
明我常相忆	mkwoihxlyiox#序52000
明我常相忆	mkwoihxlyirx#序52000
君今在罗网	jyjbzdlowhkk#序52000
何以有羽翼	heyiyzyuyiry#序52000
恐非平生魂	ksfwpkughyxg#序52000
恐非平生魂	ksfwpkughyxy#序52000
路远不可测	luyrbukecezd#序52000
魂来枫林青	hyldfglbqkgf#序52000
魂来枫林青	hyldfglbqkgo#序52000
魂来枫林青	hyldfglbqkgy#序52000
魂来枫林青	hyldfglbqkyf#序52000
魂来枫林青	hyldfglbqkyo#序52000
魂来枫林青	hyldfglbqkyy#序52000
魂返关塞黑	hyfjgrsdhwga#序52000
魂返关塞黑	hyfjgrsdhwgd#序52000
魂返关塞黑	hyfjgrsdhwgh#序52000
魂返关塞黑	hyfjgrsdhwgu#序52000
魂返关塞黑	hyfjgrsdhwya#序52000
魂返关塞黑	hyfjgrsdhwyd#序52000
魂返关塞黑	hyfjgrsdhwyh#序52000
魂返关塞黑	hyfjgrsdhwyu#序52000
落月满屋梁	loytmjwullcm#序52000
犹疑照颜色	yzyivcyjseqd#序52000
水深波浪阔	uvufbolhkoum#序52000
水深波浪阔	uvufbolhkoam#序52000
无使蛟龙得	wuuijnlsdear#序52000
无使蛟龙得	wuuijnlsdeax#序52000
无使蛟龙得	wuuijnlsdeer#序52000
无使蛟龙得	wuuijnlsdeex#序52000
无使蛟龙得	wuuijnlsdehr#序52000
无使蛟龙得	wuuijnlsdehx#序52000
浮云终日行	fuyyvsrixkdr#序52000
浮云终日行	fuyyvsrixkdx#序52000
游子久不至	yzzijqbuvidt#序52000
游子久不至	yzzijqbuvidv#序52000
三夜频梦君	sjyepbmgjyak#序52000
三夜频梦君	sjyepbmgjyhk#序52000
情亲见君意	qkqbjmjyyixl#序52000
情亲见君意	qkqbjmjyyixx#序52000
告归常局促	gcgvihjucukr#序52000
告归常局促	gcgvihjucunr#序52000
苦道来不易	kudcldbuyico#序52000
苦道来不易	kudcldbuyicr#序52000
江湖多风波	jlhudofgbodd#序52000
舟楫恐失坠	vzjiksuivvpt#序52000
出门搔白首	iumfscbduzcq#序52000
出门搔白首	iumfscbduzuq#序52000
若负平生志	rofupkugvicu#序52000
若负平生志	rofupkugvicx#序52000
冠盖满京华	grgdmjjkhxbu#序52000
孰云网恢恢	uuyywhhvhvwx#序52000
孰云网恢恢	uuyywhhvhvxx#序52000
将老身反累	jllcuffjlwds#序52000
将老身反累	jllcuffjlwdt#序52000
将老身反累	jllcuffjlwjs#序52000
将老身反累	jllcuffjlwjt#序52000
将老身反累	jllcuffjlwps#序52000
将老身反累	jllcuffjlwpt#序52000
千秋万岁名	qmqqwjsvmkpx#序52000
寂寞身后事	jimoufhzuiba#序52000
寂寞身后事	jimoufhzuibh#序52000
圣代无隐者	ugddwuybvetl#序52000
圣代无隐者	ugddwuybveto#序52000
圣代无隐者	ugddwuybvetr#序52000
圣代无隐者	ugddwuybveyl#序52000
圣代无隐者	ugddwuybveyo#序52000
圣代无隐者	ugddwuybveyr#序52000
英灵尽来归	yklkjbldgvca#序52000
英灵尽来归	yklkjbldgvcd#序52000
英灵尽来归	yklkjbldgvcu#序52000
遂令东山客	svlkdsujkezb#序52000
不得顾采薇	budegucdwwac#序52000
不得顾采薇	budegucdwwhc#序52000
既至金门远	jivijbmfyrgz#序52000
孰云吾道非	uuyywudcfwwa#序52000
孰云吾道非	uuyywudcfwwh#序52000
孰云吾道非	uuyywudcfwws#序52000
孰云吾道非	uuyywudcfwxa#序52000
孰云吾道非	uuyywudcfwxh#序52000
孰云吾道非	uuyywudcfwxs#序52000
江淮度寒食	jlhkduhjuidp#序52000
江淮度寒食	jlhkduhjuidr#序52000
京洛缝春衣	jklofgiyyidd#序52000
京洛缝春衣	jklofgiyyiwd#序52000
置酒长安道	vijqvhandcsz#序52000
同心与我违	tsxbyuwowwkz#序52000
行当浮桂棹	hhdhfugvvcrm#序52000
行当浮桂棹	hhdhfugvvcxm#序52000
未几拂荆扉	wwjifujkfwah#序52000
未几拂荆扉	wwjifujkfweh#序52000
未几拂荆扉	wwjifujkfwhh#序52000
远树带行客	yruuddxkkezb#序52000
孤城当落晖	guigdhlohvzo#序52000
孤城当落晖	guigdhlohvzr#序52000
吾谋适不用	wumzuibuyskk#序52000
吾谋适不用	wumzuibuyswk#序52000
勿谓知音稀	wuwwviybxibh#序52000
勿谓知音稀	wuwwviybxigh#序52000
下马饮君酒	xxmaybjyjqad#序52000
下马饮君酒	xxmaybjyjqhd#序52000
问君何所之	wfjyhesovikd#序52000
问君何所之	wfjyhesovimd#序52000
君言不得意	jyyjbudeyikl#序52000
君言不得意	jyyjbudeyikx#序52000
归卧南山陲	gvwonjujivae#序52000
归卧南山陲	gvwonjujivde#序52000
归卧南山陲	gvwonjujivue#序52000
但去莫复问	djqumofuwfrk#序52000
但去莫复问	djqumofuwfrm#序52000
白云无尽时	bdyywujbuipo#序52000
白云无尽时	bdyywujbuipr#序52000
言入黄花川	yjruhlhxirdp#序52000
言入黄花川	yjruhlhxirwp#序52000
每逐青溪水	mwvuqkxiuvpu#序52000
每逐青溪水	mwvuqkxiuvpa#序52000
每逐青溪水	mwvuqkxiuvru#序52000
每逐青溪水	mwvuqkxiuvra#序52000
随山将万转	svujjlwjvrei#序52000
趣途无百里	qutuwubdliza#序52000
趣途无百里	qutuwubdlizt#序52000
趣途无百里	qutuwubdlizu#序52000
声喧乱石中	ugxrlruivsua#序52000
声喧乱石中	ugxrlruivsuk#序52000
声喧乱石中	ugxrlruivsuu#序52000
色静深松里	sejkufsslida#序52000
色静深松里	sejkufsslidt#序52000
色静深松里	sejkufsslidu#序52000
漾漾泛菱荇	yhyhfjlkxkdc#序52000
澄澄映葭苇	igigykjxwwdc#序52000
我心素已闲	woxbsuyixmpm#序52000
清川澹如此	qkirdjrucidv#序52000
请留盘石上	qklqpjuiuhya#序52000
请留盘石上	qklqpjuiuhyb#序52000
请留盘石上	qklqpjuiuhyu#序52000
垂钓将已矣	ivdnjlyiyips#序52000
斜光照墟落	xpglvcxulodc#序52000
穷巷牛羊归	qsxlnqyhgvba#序52000
穷巷牛羊归	qsxlnqyhgvbd#序52000
穷巷牛羊归	qsxlnqyhgvbu#序52000
穷巷牛羊归	qsxlnqyhgvxa#序52000
穷巷牛羊归	qsxlnqyhgvxd#序52000
穷巷牛羊归	qsxlnqyhgvxu#序52000
野老念牧童	yelcnmmutsll#序52000
野老念牧童	yelcnmmutsyl#序52000
倚杖候荆扉	yivhhzjkfwrh#序52000
雉雊麦苗秀	vigzmdmnxquh#序52000
蚕眠桑叶稀	cjmmshyexiih#序52000
蚕眠桑叶稀	cjmmshyexith#序52000
田夫荷锄至	tmfuheiuviat#序52000
田夫荷锄至	tmfuheiuviav#序52000
田夫荷锄至	tmfuheiuviut#序52000
田夫荷锄至	tmfuheiuviuv#序52000
相见语依依	xljmyuyiyimr#序52000
即此羡闲逸	jicixmxmyiez#序52000
即此羡闲逸	jicixmxmyigz#序52000
怅然吟式微	ihrjybuiwwxr#序52000
怅然吟式微	ihrjybuiwwxx#序52000
艳色天下重	yjsetmxxvsfp#序52000
西施宁久微	xiuinkjqwwar#序52000
西施宁久微	xiuinkjqwwax#序52000
西施宁久微	xiuinkjqwwhr#序52000
西施宁久微	xiuinkjqwwhx#序52000
朝为越溪女	icwwytxinvoa#序52000
朝为越溪女	icwwytxinvov#序52000
朝为越溪女	icwwytxinvua#序52000
朝为越溪女	icwwytxinvuv#序52000
朝为越溪女	icwwytxinvya#序52000
朝为越溪女	icwwytxinvyv#序52000
暮作吴宫妃	muzowugsfwcn#序52000
暮作吴宫妃	muzowugsfwon#序52000
暮作吴宫妃	muzowugsfwrn#序52000
贱日岂殊众	jmriqiuuvsbr#序52000
贵来方悟稀	gvldfhwuxibh#序52000
贵来方悟稀	gvldfhwuxivh#序52000
邀人傅粉粉	ycrffuffffzm#序52000
不自著罗衣	buzivuloyiad#序52000
不自著罗衣	buzivuloyihd#序52000
君宠益娇态	jyisyijntdkx#序52000
君怜无是非	jylmwuuifwka#序52000
君怜无是非	jylmwuuifwkh#序52000
君怜无是非	jylmwuuifwks#序52000
当时浣纱伴	dhuihruabjxr#序52000
莫得同车归	modetsiegvca#序52000
莫得同车归	modetsiegvcd#序52000
莫得同车归	modetsiegvcu#序52000
持谢邻家子	iixplbjxzifa#序52000
持谢邻家子	iixplbjxzifv#序52000
持谢邻家子	iixplbjxzita#序52000
持谢邻家子	iixplbjxzitv#序52000
效颦安可希	xnpbankexiwi#序52000
效颦安可希	xnpbankexiwj#序52000
北山白云里	bwujbdyyliaa#序52000
北山白云里	bwujbdyyliat#序52000
北山白云里	bwujbdyyliau#序52000
北山白云里	bwujbdyyliba#序52000
北山白云里	bwujbdyylibt#序52000
北山白云里	bwujbdyylibu#序52000
北山白云里	bwujbdyyliha#序52000
北山白云里	bwujbdyyliht#序52000
北山白云里	bwujbdyylihu#序52000
隐者自怡悦	ybveziyiytex#序52000
相望始登高	xlwhuidggcmd#序52000
相望始登高	xlwhuidggcmw#序52000
心随雁飞灭	xbsvyjfwmpda#序52000
心随雁飞灭	xbsvyjfwmpdh#序52000
愁因薄暮起	izybbomuqixz#序52000
兴是清秋发	xkuiqkqqfaba#序52000
兴是清秋发	xkuiqkqqfabf#序52000
兴是清秋发	xkuiqkqqfabv#序52000
兴是清秋发	xkuiqkqqfaby#序52000
兴是清秋发	xkuiqkqqfada#序52000
兴是清秋发	xkuiqkqqfadf#序52000
兴是清秋发	xkuiqkqqfadv#序52000
兴是清秋发	xkuiqkqqfady#序52000
时见归村人	uijmgvcyrfop#序52000
时见归村人	uijmgvcyrfrp#序52000
沙行渡头歇	uaxkdutzxpdq#序52000
天边树若荠	tmbmuurojiac#序52000
天边树若荠	tmbmuurojihc#序52000
江畔洲如月	jlpjvzruytdo#序52000
江畔洲如月	jlpjvzruytdy#序52000
江畔洲如月	jlpjvzruytdp#序52000
何当载酒来	hedhzdjqldra#序52000
何当载酒来	hedhzdjqldrh#序52000
何当载酒来	hedhzdjqldrw#序52000
共醉重阳节	gszvisyhjpbc#序52000
共醉重阳节	gszvisyhjpcc#序52000
山光忽西落	ujglhuxiloac#序52000
山光忽西落	ujglhuxilouc#序52000
池月渐东上	iiytjmdsuhda#序52000
池月渐东上	iiytjmdsuhdb#序52000
池月渐东上	iiytjmdsuhdu#序52000
散发乘夕凉	sjfaigxillwd#序52000
开轩卧闲敞	kdxrwoxmihaw#序52000
开轩卧闲敞	kdxrwoxmihhw#序52000
荷风送香气	hefgssxlqicp#序52000
荷风送香气	hefgssxlqicr#序52000
竹露滴清响	vuludiqkxlpk#序52000
竹露滴清响	vuludiqkxlvk#序52000
欲取鸣琴弹	yuqumkqbdjgg#序52000
欲取鸣琴弹	yuqumkqbdjqg#序52000
恨无知音赏	hfwuviybuhxb#序52000
恨无知音赏	hfwuviybuhxd#序52000
恨无知音赏	hfwuviybuhxx#序52000
感此怀故人	gjcihkgurfxp#序52000
中宵劳梦想	vsxnlcmgxlax#序52000
中宵劳梦想	vsxnlcmgxlkx#序52000
中宵劳梦想	vsxnlcmgxlux#序52000
夕阳度西岭	xiyhduxilkpu#序52000
群壑倏已暝	qyheuuyimkyo#序52000
群壑倏已暝	qyheuuyimkyr#序52000
松月生夜凉	ssytugyellmd#序52000
风泉满清听	fgqrmjqktkjk#序52000
樵人归尽欲	qnrfgvjbyumg#序52000
樵人归尽欲	qnrfgvjbyumq#序52000
烟鸟栖初定	yjnnqiiudkhb#序52000
之子期宿来	viziqisuldda#序52000
之子期宿来	viziqisulddh#序52000
之子期宿来	viziqisulddw#序52000
孤琴候萝径	guqbhzlojkzr#序52000
孤琴候萝径	guqbhzlojkzx#序52000
高卧南斋时	gcwonjvduido#序52000
高卧南斋时	gcwonjvduidr#序52000
高卧南斋时	gcwonjvduiwo#序52000
高卧南斋时	gcwonjvduiwr#序52000
开帷月初吐	kdwwytiutuak#序52000
开帷月初吐	kdwwytiutuhk#序52000
清辉淡水木	qkhvdjuvmuda#序52000
清辉淡水木	qkhvdjuvmudh#序52000
演漾在窗户	yjyhzdilhudd#序52000
苒苒几盈虚	rjrjjiykxuch#序52000
澄澄变今古	igigbmjbgudu#序52000
美人清江畔	mwrfqkjlpjdt#序52000
美人清江畔	mwrfqkjlpjyt#序52000
是夜越吟苦	uiyeytybkuoc#序52000
是夜越吟苦	uiyeytybkurc#序52000
千里其如何	qmliqiruhepr#序52000
