---config@码表分类=主码-7
---config@允许编辑=是
---config@码表别名=系统唐诗
渭川田家	wzirtmjwdb#序52000
行乐须及春	xklexujiiyio#序52000
行乐须及春	xklexujiiyir#序52000
我歌月徘徊	wogeytpdhkpi#序52000
我舞影零乱	wowuyklklrpu#序52000
醒时同交欢	xkuitsjnhryy#序52000
醉后各分散	zvhbgeffsjyw#序52000
永结无情游	ysjpwuqkybdd#序52000
相期邈云汉	xxqimnyyhjmd#序52000
燕草如碧丝	yjccrubisica#序52000
燕草如碧丝	yjccrubisich#序52000
燕草如碧丝	yjccrubisida#序52000
燕草如碧丝	yjccrubisidh#序52000
燕草如碧丝	yjccrubisiha#序52000
燕草如碧丝	yjccrubisihh#序52000
秦桑低绿枝	qlshdilvvifm#序52000
秦桑低绿枝	qlshdilvvihm#序52000
当君怀归日	dhjyhkgvrixo#序52000
当君怀归日	dhjyhkgvrixr#序52000
当君怀归日	dhjyhkgvrixa#序52000
当君怀归日	dhjyhkgvrixu#序52000
是妾断肠时	uiqpdrihuirr#序52000
春风不相识	iyfgbuxxuify#序52000
春风不相识	iyfgbuxxuioy#序52000
春风不相识	iyfgbuxxuiry#序52000
何事入罗帏	heuirulowzrj#序52000
岱宗夫如何	ddzsfuruheur#序52000
齐鲁青未了	qiluqkwzlnwa#序52000
齐鲁青未了	qiluqkwzlnwv#序52000
造化钟神秀	zchwvsufxqzh#序52000
阴阳割昏晓	ylyhgehyxner#序52000
荡胸生层云	dhxsugcgyyce#序52000
荡胸生层云	dhxsugcgyycs#序52000
决眦入归鸟	jtzirugvnndp#序52000
赠卫八处士	zgwzbaiuuiba#序52000
赠卫八处士	zgwzbaiuuibh#序52000
赠卫八处士	zgwzbaiuuibu#序52000
人生不相见	rfugbuxxjmpa#序52000
人生不相见	rfugbuxxjmpe#序52000
人生不相见	rfugbuxxjmpk#序52000
人生不相见	rfugbuxxjmpu#序52000
动如参与商	dsrucjyuuhld#序52000
动如参与商	dsrucjyuuhll#序52000
动如参与商	dsrucjyuuhlw#序52000
动如参与商	dsrucjyuuhyd#序52000
动如参与商	dsrucjyuuhyl#序52000
动如参与商	dsrucjyuuhyw#序52000
今夕复何夕	jlxifuhexirp#序52000
共此灯烛光	gscidgvugxae#序52000
共此灯烛光	gscidgvugxax#序52000
少壮能几时	ucvxngjiuixr#序52000
鬓发各已苍	blfageyichbc#序52000
鬓发各已苍	blfageyichic#序52000
访旧半为鬼	fhjqbjwzgvyp#序52000
惊呼热中肠	jkhurevsihxy#序52000
焉知二十载	yjvieruizdvg#序52000
焉知二十载	yjvieruizdvi#序52000
重上君子堂	vsuhjyzithpd#序52000
重上君子堂	vsuhjyzithpt#序52000
重上君子堂	vsuhjyzithpx#序52000
昔别君未婚	xibpjywzhycn#序52000
昔别君未婚	xibpjywzhyon#序52000
昔别君未婚	xibpjywzhyrn#序52000
儿女忽成行	ernvhuighhpi#序52000
怡然敬父执	yirjjkfuvixf#序52000
怡然敬父执	yirjjkfuvixt#序52000
问我来何方	wfwoldhefhkd#序52000
问我来何方	wfwoldhefhkw#序52000
问我来何方	wfwoldhefhmd#序52000
问我来何方	wfwoldhefhmw#序52000
问答乃未已	wfdandwzyika#序52000
问答乃未已	wfdandwzyikv#序52000
问答乃未已	wfdandwzyima#序52000
问答乃未已	wfdandwzyimv#序52000
驱儿罗酒浆	querlojqjxmu#序52000
夜雨剪春韭	yeyujmiyjqdf#序52000
夜雨剪春韭	yeyujmiyjqwf#序52000
新炊间黄粱	xlivjmhxlxqm#序52000
主称会面难	vuighvmmnjdy#序52000
一举累十觞	yijulzuiuhaj#序52000
十觞亦不醉	uiuhyibuzvay#序52000
感子故意长	gjziguyivhxp#序52000
明日隔山岳	mkrigeujytrq#序52000
世事两茫茫	uiuilxmhmhac#序52000
绝代有佳人	jtddybjwrfsp#序52000
幽居在空谷	ybjuzdksguub#序52000
自云良家女	ziyylxjwnvpa#序52000
自云良家女	ziyylxjwnvpv#序52000
零落依草木	lkloyiccmuya#序52000
零落依草木	lkloyiccmuyh#序52000
关中昔丧乱	grvsxishlrbu#序52000
兄弟遭杀戮	xsdizcualukg#序52000
官高何足论	grgchezulyby#序52000
不得收骨肉	budeubgurbaa#序52000
不得收骨肉	budeubgurbak#序52000
不得收骨肉	budeubgurbau#序52000
世情恶衰歇	uiqkeeukxpar#序52000
万事随转烛	wjuisvvrvuah#序52000
夫婿轻薄儿	fuxuqkboerap#序52000
新人美如玉	xlrfmzruyuqa#序52000
新人美如玉	xlrfmzruyuqh#序52000
新人美如玉	xlrfmzruyuqw#序52000
合昏尚知时	hehyuhviuirr#序52000
鸳鸯不独宿	yryhbudusunb#序52000
但见新人笑	djjmxlrfxnrv#序52000
那闻旧人哭	nawfjqrfkuek#序52000
那闻旧人哭	nawfjqrfkueq#序52000
在山泉水清	zdujqruvqktd#序52000
在山泉水清	zdujqruvqkud#序52000
出山泉水浊	iuujqruvvocd#序52000
出山泉水浊	iuujqruvvoud#序52000
侍婢卖珠回	uibimdvuhvrk#序52000
牵萝补茅屋	qmlobumcwudu#序52000
牵萝补茅屋	qmlobumcwunu#序52000
摘花不插发	vdhwbuiafafa#序52000
摘花不插发	vdhwbuiafaff#序52000
摘花不插发	vdhwbuiafafv#序52000
摘花不插发	vdhwbuiafafy#序52000
摘花不插发	vdhwbuiafata#序52000
摘花不插发	vdhwbuiafatf#序52000
摘花不插发	vdhwbuiafatv#序52000
摘花不插发	vdhwbuiafaty#序52000
采柏动盈掬	cdbddsykjumf#序52000
采柏动盈掬	cdbddsykjumt#序52000
采柏动盈掬	cdbddsykjuvf#序52000
采柏动盈掬	cdbddsykjuvt#序52000
天寒翠袖薄	tmhjcvxqbcac#序52000
日暮倚修竹	rimuyixqvuop#序52000
日暮倚修竹	rimuyixqvurp#序52000
日暮倚修竹	rimuyixqvuap#序52000
日暮倚修竹	rimuyixqvuup#序52000
死别已吞声	sibpyityugdu#序52000
生别常恻恻	ugbpihcecenx#序52000
江南瘴疠地	jxnjvhlididt#序52000
逐客无消息	vukewuxnxizz#序52000
故人入我梦	gurfruwomgwl#序52000
明我常相忆	mkwoihxxyirx#序52000
君今在罗网	jyjlzdlowhkk#序52000
何以有羽翼	heyiybyuyiry#序52000
恐非平生魂	ksfzpkughyxg#序52000
恐非平生魂	ksfzpkughyxy#序52000
路远不可测	luyrbukecezd#序52000
魂来枫林青	hyldfgllqkgf#序52000
魂来枫林青	hyldfgllqkgo#序52000
魂来枫林青	hyldfgllqkgy#序52000
魂来枫林青	hyldfgllqkyf#序52000
魂来枫林青	hyldfgllqkyo#序52000
魂来枫林青	hyldfgllqkyy#序52000
魂返关塞黑	hyfjgrsdhzgl#序52000
魂返关塞黑	hyfjgrsdhzyl#序52000
落月满屋梁	loytmjwulxcm#序52000
犹疑照颜色	ybyivcyjseqd#序52000
水深波浪阔	uvufbolhkolm#序52000
无使蛟龙得	wuuijnlsdeai#序52000
浮云终日行	fuyyvsrixkdi#序52000
游子久不至	ybzijqbuvida#序52000
三夜频梦君	sjyeplmgjyak#序52000
情亲见君意	qkqljmjyyixy#序52000
告归常局促	gcgvihjucukr#序52000
告归常局促	gcgvihjucunr#序52000
苦道来不易	kudcldbuyicr#序52000
江湖多风波	jxhudofgbodd#序52000
舟楫恐失坠	vbjiksuivvpt#序52000
出门搔白首	iumfscbdubcb#序52000
出门搔白首	iumfscbdubub#序52000
若负平生志	rofupkugvicu#序52000
若负平生志	rofupkugvicx#序52000
冠盖满京华	grgdmjjkhwbu#序52000
孰云网恢恢	uuyywhhvhvwx#序52000
孰云网恢恢	uuyywhhvhvxx#序52000
将老身反累	jxlcuffjlzds#序52000
将老身反累	jxlcuffjlzdt#序52000
将老身反累	jxlcuffjlzjs#序52000
将老身反累	jxlcuffjlzjt#序52000
将老身反累	jxlcuffjlzps#序52000
将老身反累	jxlcuffjlzpt#序52000
千秋万岁名	qmqqwjsvmkpx#序52000
寂寞身后事	jimoufhbuiba#序52000
圣代无隐者	ugddwuylvetl#序52000
圣代无隐者	ugddwuylveyl#序52000
英灵尽来归	yklkjlldgvcl#序52000
遂令东山客	svlkdsujkezb#序52000
不得顾采薇	budegucdwzac#序52000
既至金门远	jivijlmfyrgz#序52000
孰云吾道非	uuyywudcfzwl#序52000
孰云吾道非	uuyywudcfzxl#序52000
江淮度寒食	jxhkduhjuidp#序52000
江淮度寒食	jxhkduhjuidr#序52000
京洛缝春衣	jklofgiyyidd#序52000
京洛缝春衣	jklofgiyyiwd#序52000
置酒长安道	vijqvhandcsz#序52000
同心与我违	tsxlyuwowzkz#序52000
行当浮桂棹	hhdhfugvvcim#序52000
未几拂荆扉	wzjifujkfzah#序52000
远树带行客	yruuddxkkezb#序52000
孤城当落晖	guigdhlohvzr#序52000
吾谋适不用	wumbuibuyskk#序52000
吾谋适不用	wumbuibuyswk#序52000
勿谓知音稀	wuwzviylxibh#序52000
勿谓知音稀	wuwzviylxiph#序52000
下马饮君酒	xwmayljyjqad#序52000
问君何所之	wfjyhesovikd#序52000
问君何所之	wfjyhesovimd#序52000
君言不得意	jyyjbudeyiky#序52000
归卧南山陲	gvwonjujivle#序52000
但去莫复问	djqumofuwfrk#序52000
但去莫复问	djqumofuwfrm#序52000
白云无尽时	bdyywujluipr#序52000
言入黄花川	yjruhxhwirdp#序52000
言入黄花川	yjruhxhwirwp#序52000
每逐青溪水	mzvuqkxiuvpl#序52000
每逐青溪水	mzvuqkxiuvrl#序52000
随山将万转	svujjxwjvrei#序52000
趣途无百里	qutuwubdlizl#序52000
声喧乱石中	ugxrlruivsul#序52000
色静深松里	sejkufsslidl#序52000
漾漾泛菱荇	yhyhfjlkxkdc#序52000
澄澄映葭苇	igigykjwwzdc#序52000
我心素已闲	woxlsuyixmpm#序52000
清川澹如此	qkirdjrucidv#序52000
请留盘石上	qklqpjuiuhyl#序52000
垂钓将已矣	ivdnjxyiyips#序52000
斜光照墟落	xpgxvcxulodc#序52000
穷巷牛羊归	qsxxnqyhgvxl#序52000
野老念牧童	yelcnmmutsll#序52000
倚杖候荆扉	yivhhbjkfzrh#序52000
雉雊麦苗秀	vigbmdmnxquh#序52000
蚕眠桑叶稀	cjmmshyexith#序52000
田夫荷锄至	tmfuheiuviaa#序52000
田夫荷锄至	tmfuheiuviua#序52000
相见语依依	xxjmyuyiyimr#序52000
即此羡闲逸	jicixmxmyiez#序52000
即此羡闲逸	jicixmxmyigz#序52000
怅然吟式微	ihrjyluiwzxi#序52000
艳色天下重	yjsetmxwvsfp#序52000
西施宁久微	xiuinkjqwzai#序52000
朝为越溪女	icwzytxinvoa#序52000
朝为越溪女	icwzytxinvov#序52000
朝为越溪女	icwzytxinvua#序52000
朝为越溪女	icwzytxinvuv#序52000
朝为越溪女	icwzytxinvya#序52000
朝为越溪女	icwzytxinvyv#序52000
暮作吴宫妃	muzowugsfzcn#序52000
暮作吴宫妃	muzowugsfzon#序52000
暮作吴宫妃	muzowugsfzrn#序52000
贱日岂殊众	jmriqiuuvsbr#序52000
贵来方悟稀	gvldfhwuxivh#序52000
邀人傅粉粉	ycrffuffffzm#序52000
不自著罗衣	buzivuloyiad#序52000
君宠益娇态	jyisyijntdkx#序52000
君怜无是非	jylmwuuifzkl#序52000
当时浣纱伴	dhuihruabjxr#序52000
莫得同车归	modetsiegvcl#序52000
持谢邻家子	iixplljwzifa#序52000
持谢邻家子	iixplljwzifv#序52000
持谢邻家子	iixplljwzita#序52000
持谢邻家子	iixplljwzitv#序52000
效颦安可希	xnplankexiwi#序52000
效颦安可希	xnplankexiwj#序52000
北山白云里	bzujbdyylill#序52000
隐者自怡悦	ylveziyiytex#序52000
相望始登高	xxwhuidggcmd#序52000
相望始登高	xxwhuidggcmw#序52000
心随雁飞灭	xlsvyjfzmpda#序52000
愁因薄暮起	ibylbomuqixz#序52000
兴是清秋发	xkuiqkqqfaba#序52000
兴是清秋发	xkuiqkqqfabf#序52000
兴是清秋发	xkuiqkqqfabv#序52000
兴是清秋发	xkuiqkqqfaby#序52000
兴是清秋发	xkuiqkqqfada#序52000
兴是清秋发	xkuiqkqqfadf#序52000
兴是清秋发	xkuiqkqqfadv#序52000
兴是清秋发	xkuiqkqqfady#序52000
时见归村人	uijmgvcyrfrp#序52000
沙行渡头歇	uaxkdutbxpdr#序52000
天边树若荠	tmbmuurojiac#序52000
江畔洲如月	jxpjvbruytdo#序52000
江畔洲如月	jxpjvbruytdy#序52000
江畔洲如月	jxpjvbruytdp#序52000
何当载酒来	hedhzdjqldra#序52000
共醉重阳节	gszvisyhjpac#序52000
山光忽西落	ujgxhuxilolc#序52000
池月渐东上	iiytjmdsuhdl#序52000
散发乘夕凉	sjfaigxilxwd#序52000
开轩卧闲敞	kdxrwoxmihaw#序52000
荷风送香气	hefgssxxqicp#序52000
荷风送香气	hefgssxxqicr#序52000
竹露滴清响	vuludiqkxxpk#序52000
欲取鸣琴弹	yuqumkqldjgg#序52000
恨无知音赏	hfwuviyluhxx#序52000
恨无知音赏	hfwuviyluhxd#序52000
感此怀故人	gjcihkgurfxp#序52000
中宵劳梦想	vsxnlcmgxxlx#序52000
夕阳度西岭	xiyhduxilkpu#序52000
群壑倏已暝	qyheuuyimkyr#序52000
松月生夜凉	ssytugyelxmd#序52000
风泉满清听	fgqrmjqktkjk#序52000
樵人归尽欲	qnrfgvjlyumg#序52000
烟鸟栖初定	yjnnqiiudkhb#序52000
之子期宿来	viziqisuldda#序52000
孤琴候萝径	guqlhblojkzi#序52000
高卧南斋时	gcwonjvduidr#序52000
高卧南斋时	gcwonjvduiwr#序52000
开帷月初吐	kdwzytiutuak#序52000
清辉淡水木	qkhvdjuvmuda#序52000
清辉淡水木	qkhvdjuvmudh#序52000
演漾在窗户	yjyhzdixhudd#序52000
苒苒几盈虚	rjrjjiykxuch#序52000
澄澄变今古	igigbmjlgudu#序52000
美人清江畔	mzrfqkjxpjdt#序52000
美人清江畔	mzrfqkjxpjyt#序52000
是夜越吟苦	uiyeytylkurc#序52000
千里其如何	qmliqiruhepr#序52000
微风吹兰杜	wzfgivljduim#序52000
绝顶一茅茨	jtdkyimccisc#序52000
直上三十里	viuhsjuilial#序52000
直上三十里	viuhsjuilihl#序52000
直上三十里	viuhsjuiliul#序52000
叩关无僮仆	kbgrwutspukr#序52000
窥室惟案几	kvuiwzanjibp#序52000
若非巾柴车	rofzjlidieca#序52000
应是钓秋水	ykuidnqquvgl#序52000
差池不相见	iaiibuxxjmya#序52000
差池不相见	iaiibuxxjmye#序52000
差池不相见	iaiibuxxjmyk#序52000
差池不相见	iaiibuxxjmyu#序52000
黾勉空仰止	mlmmksyhvikl#序52000
草色新雨中	ccsexlyuvscl#序52000
松声晚窗里	ssugwjixliml#序52000
及兹契幽绝	jiziqiybjtns#序52000
及兹契幽绝	jiziqiybjtps#序52000
自足荡心耳	zizudhxlerpa#序52000
虽无宾主意	svwublvuyiky#序52000
颇得清净理	podeqkjkliyw#序52000
兴尽方下山	xkjlfhxwujbl#序52000
兴尽方下山	xkjlfhxwujdl#序52000
何必待之子	hebiddvizira#序52000
何必待之子	hebiddvizirv#序52000
春泛若耶溪	iyfjroyexifd#序52000
春泛若耶溪	iyfjroyexiod#序52000
春泛若耶溪	iyfjroyexird#序52000
幽意无断绝	ybyiwudrjtus#序52000
此去随所偶	ciqusvsoouvr#序52000
晚风吹行舟	wjfgivxkvbrp#序52000
花路入溪口	hwluruxikbcl#序52000
际夜转西壑	jiyevrxiheel#序52000
隔山望南斗	geujwhnjdbed#序52000
潭烟飞溶溶	tjyjfzrsrsdd#序52000
林月低向后	llytdixxhbmp#序52000
生事且弥漫	uguiqpmimjnd#序52000
愿为持竿叟	yrwziigjsbxj#序52000
愿为持竿叟	yrwziigjsbxy#序52000
清溪深不测	qkxiufbucedd#序52000
隐处惟孤云	yliuwzguyyee#序52000
隐处惟孤云	yliuwzguyyes#序52000
松际露微月	ssjiluwzytmo#序52000
松际露微月	ssjiluwzytmy#序52000
松际露微月	ssjiluwzytmp#序52000
清光犹为君	qkgxybwzjydk#序52000
茅亭宿花影	mctksuhwykcj#序52000
药院滋苔纹	ycyrzitdwfcs#序52000
余亦谢时去	yuyixpuiqurt#序52000
西山鸾鹤群	xiujlrheqyay#序52000
塔势如涌出	tauiruysiutc#序52000
塔势如涌出	tauiruysiutu#序52000
孤高耸天宫	gugcsstmgszb#序52000
登临出世界	dglliuuijpdt#序52000
蹬道盘虚空	dgdcpjxukszx#序52000
突兀压神州	tuwuyaufvbxd#序52000
突兀压神州	tuwuyaufvbxi#序52000
峥嵘如鬼工	vgrsrugvgsua#序52000
四角碍白日	sijnaibdriao#序52000
四角碍白日	sijnaibdriar#序52000
四角碍白日	sijnaibdriaa#序52000
四角碍白日	sijnaibdriau#序52000
四角碍白日	sijnaibdriko#序52000
四角碍白日	sijnaibdrikr#序52000
四角碍白日	sijnaibdrika#序52000
四角碍白日	sijnaibdriku#序52000
四角碍白日	sijnaibdriuo#序52000
四角碍白日	sijnaibdriur#序52000
四角碍白日	sijnaibdriua#序52000
四角碍白日	sijnaibdriuu#序52000
七层摩苍穹	qicgmochqsax#序52000
下窥指高鸟	xwkvvigcnnap#序52000
俯听闻惊风	futkwfjkfgrj#序52000
连山若波涛	lmujrobotczd#序52000
奔凑如朝东	bfcbruicdsda#序52000
奔凑如朝东	bfcbruicdsdq#序52000
青槐夹驰道	qkhkjwiidcfz#序52000
青槐夹驰道	qkhkjwiidcoz#序52000
青槐夹驰道	qkhkjwiidcyz#序52000
宫馆何玲珑	gsgrhelklsbw#序52000
秋色从西来	qqsecsxildha#序52000
苍然满关中	chrjmjgrvscl#序52000
五陵北原上	wulkbzyruhal#序52000
万古青蒙蒙	wjguqkmgmgac#序52000
净理了可悟	jklilekewudx#序52000
胜因夙所宗	ugylsusozsyb#序52000
誓将挂冠去	uijxgwgrquvt#序52000
觉道资无穷	jtdcziwuqsdx#序52000
觉道资无穷	jtdcziwuqsjx#序52000
贼退示官吏	zztvuigrliba#序52000
兵卫森画戟	bkwzsfhwjiqg#序52000
兵卫森画戟	bkwzsfhwjiqu#序52000
燕寝凝清香	yjqlnkqkxxch#序52000
燕寝凝清香	yjqlnkqkxxdh#序52000
燕寝凝清香	yjqlnkqkxxhh#序52000
海上风雨至	hduhfgyuvida#序52000
逍遥池阁凉	xnyciigelxzd#序52000
烦疴近消散	fjkejlxnsjhw#序52000
嘉宾复满堂	jwblfumjthud#序52000
嘉宾复满堂	jwblfumjthut#序52000
嘉宾复满堂	jwblfumjthux#序52000
自惭居处崇	zicjjuiuispu#序52000
未睹斯民康	wzdusimlkhag#序52000
理会是非遣	lihvuifzqmwz#序52000
性达形迹忘	xkdaxkjiwhxx#序52000
鲜肥属时禁	xmfzuuuijlyl#序52000
蔬果幸见尝	uugoxkjmihcd#序52000
蔬果幸见尝	uugoxkjmihcx#序52000
俯饮一杯酒	fuylyibzjqrd#序52000
仰聆金玉章	yhlkjlyuvhrl#序52000
神欢体自轻	ufhrtiziqkui#序52000
意欲凌风翔	yiyulkfgxxyy#序52000
吴中盛文史	wuvsugwfuikl#序52000
吴中盛文史	wuvsugwfuikk#序52000
群彦今汪洋	qyyjjlwhyhyd#序52000
方知大藩地	fhvidafjdidt#序52000
方知大藩地	fhvidafjdiwt#序52000
岂曰财赋强	qiytcdfuqxug#序52000
凄凄去亲爱	qiqiquqlaidv#序52000
泛泛入烟雾	fjfjruyjwudy#序52000
归棹洛阳人	gvvcloyhrflp#序52000
残钟广陵树	cjvsgxlkuudm#序52000
今朝为此别	jlvcwzcibprd#序52000
何处还相遇	heiuhdxxyurz#序52000
世事波上舟	uiuibouhvbap#序52000
沿洄安得住	yjhvandevudr#序52000
今朝郡斋冷	jlvcjyvdlgrd#序52000
忽念山中客	hunmujvskexb#序52000
涧底束荆薪	jmdiuujkxldc#序52000
归来煮白石	gvldvubduila#序52000
欲恃一瓢酒	yuuiyipnjqgd#序52000
远慰风雨夕	yrwzfgyuxizp#序52000
落叶满空山	loyemjksujcl#序52000
何处寻行迹	heiuxyxkjirz#序52000
长安遇冯著	ihanyufgvupc#序52000
客从东方来	kecsdsfhldba#序52000
衣上灞陵雨	yiuhbalkyuda#序52000
问客何为来	wfkehewzldka#序52000
问客何为来	wfkehewzldma#序52000
采山因买斧	cdujylmdfumf#序52000
采山因买斧	cdujylmdfuvf#序52000
冥冥花正开	mkmkhwvgkdba#序52000
扬扬燕新乳	yhyhyjxlruff#序52000
扬扬燕新乳	yhyhyjxlrufg#序52000
扬扬燕新乳	yhyhyjxlrutf#序52000
扬扬燕新乳	yhyhyjxlrutg#序52000
昨别今已春	zobpjlyiiyrf#序52000
昨别今已春	zobpjlyiiyro#序52000
昨别今已春	zobpjlyiiyrr#序52000
鬓丝生几缕	blsiugjilvbs#序52000
鬓丝生几缕	blsiugjilvis#序52000
夕次盱眙县	xicixuyixmpq#序52000
落帆逗淮镇	lofjdbhkvfcj#序52000
停舫临孤驿	tkfhllguyirm#序52000
浩浩风起波	hchcfgqibodd#序52000
冥冥日沉夕	mkmkriifxibp#序52000
人归山郭暗	rfgvujgoanpr#序52000
雁下芦洲白	yjxwluvbbdip#序52000
独夜忆秦关	duyeyiqlgrqb#序52000
听钟未眠客	tkvswzmmkekb#序52000
吏舍跼终年	liuejuvsnmap#序52000
吏舍跼终年	liuejuvsnmar#序52000
出郊旷清曙	iujnkxqkuucr#序52000
出郊旷清曙	iujnkxqkuuur#序52000
杨柳散和风	yhlqsjhefgmj#序52000
青山澹吾虑	qkujdjwulvfh#序52000
青山澹吾虑	qkujdjwulvfx#序52000
青山澹吾虑	qkujdjwulvoh#序52000
青山澹吾虑	qkujdjwulvox#序52000
青山澹吾虑	qkujdjwulvyh#序52000
青山澹吾虑	qkujdjwulvyx#序52000
依丛适自憩	yicsuiziqiru#序52000
缘涧还复去	yrjmhdfuqust#序52000
微雨霭芳原	wzyuaifhyrii#序52000
春鸠鸣何处	iyjqmkheiufw#序52000
春鸠鸣何处	iyjqmkheiuow#序52000
春鸠鸣何处	iyjqmkheiurw#序52000
乐幽心屡止	leybxllvvipl#序52000
遵事迹犹遽	zyuijiybjuzz#序52000
终罢斯结庐	vsbasijplusg#序52000
慕陶真可庶	mutcvfkeuucg#序52000
慕陶真可庶	mutcvfkeuuxg#序52000
永日方戚戚	ysrifhqiqidg#序52000
